yORF	gene name	GFP tagged?	GFP visualized?	abundance	
YDR248C		tagged	visualized	504	
YDR288W		tagged	visualized	2540	
YIL108W		tagged	visualized	195	
YKR077W		tagged	visualized	861	
YKL102C		tagged	visualized	not visualized	
YMR171C		tagged	visualized	656	
YLR001C		tagged	visualized	206	
YPL184C		tagged	visualized	7950	
YFR006W		tagged	visualized	not visualized	
YIL064W		tagged	visualized	1620	
YGR102C		tagged	visualized	172	
YOR193W		tagged	visualized	382	
YHR199C		tagged	visualized	4420	
YPR174C		tagged	visualized	3420	
YDL180W		tagged	visualized	not visualized	
YNR004W		tagged	visualized	1720	
YFR039C		tagged	visualized	3170	
YMR258C		tagged	visualized	3080	
YGR207C		tagged	visualized	2400	
YDR186C		tagged	visualized	195	
YMR253C		tagged	visualized	not visualized	
YMR073C		tagged	visualized	450	
YDL238C		tagged	visualized	279	
YDL129W		tagged	visualized	450	
YMR291W		tagged	visualized	10200	
YGR269W		tagged	visualized	279	
YJL131C		tagged	visualized	319	
YNL152W		tagged	visualized	technical problem	
YJL169W		tagged	visualized	not visualized	
YBR159W		tagged	visualized	41900	
YLR132C		tagged	visualized	486	
YJR070C		tagged	visualized	39900	
YNL063W		tagged	visualized	13200	
YCL056C		tagged	visualized	not visualized	
YDR411C		tagged	visualized	technical problem	
YML053C		tagged	visualized	656	
YGR068C		tagged	visualized	1970	
YBR137W		tagged	visualized	1200	
YLR194C		tagged	visualized	688	
YDR132C		tagged	visualized	172	
YKL023W		tagged	visualized	1730	
YMR031C		tagged	visualized	5570	
YJL012C-A		tagged	visualized	8710	
YER128W		tagged	visualized	967	
YKR021W		tagged	visualized	414	
YDR067C		tagged	visualized	low signal	
YOR291W		tagged	visualized	technical problem	
YPR172W		tagged	visualized	358	
YIL172C		tagged	visualized	166	
YOR322C		tagged	visualized	295	
YLR454W		tagged	visualized	1360	
YBR090C		tagged	visualized	not visualized	
YGR117C		tagged	visualized	1280	
YDL036C		tagged	visualized	639	
YBL010C		tagged	visualized	1320	
YNR021W		tagged	visualized	34900	
YLR091W		tagged	visualized	low signal	
YDR527W		tagged	visualized	688	
YLR187W		tagged	visualized	low signal	
YAR009C		tagged	visualized	2220	
YPL150W		tagged	visualized	low signal	
YML082W		tagged	visualized	2810	
YNR048W		tagged	visualized	4510	
YLL034C		tagged	visualized	4490	
YBR056W		tagged	visualized	1960	
YKR070W		tagged	visualized	3870	
YFR046C		tagged	visualized	1300	
YPL229W		tagged	visualized	922	
YBR030W		tagged	visualized	7880	
YJL043W		tagged	visualized	not visualized	
YJL207C		tagged	visualized	300	
YOR304C-A		tagged	visualized	656	
YOR296W		tagged	visualized	300	
YHR138C		tagged	visualized	319	
YBR085C-A		tagged	visualized	not visualized	
YEL048C		tagged	visualized	8660	
YJR116W		tagged	visualized	technical problem	
YGL250W		tagged	visualized	1820	
YIR014W		tagged	visualized	low signal	
YMR295C		tagged	visualized	10800	
YKR075C		tagged	visualized	1960	
YDL173W		tagged	visualized	1140	
YOL159C-A		tagged	visualized	125	
YLR426W		tagged	visualized	2130	
YER049W		tagged	visualized	8910	
YML079W		tagged	visualized	low signal	
YJR015W		tagged	visualized	639	
YJL162C		tagged	visualized	184	
YHL008C		tagged	visualized	low signal	
YGL211W		tagged	visualized	low signal	
YDR065W		tagged	visualized	1670	
YLR257W		tagged	visualized	18600	
YOR252W		tagged	visualized	5350	
YFL049W		tagged	visualized	3180	
YDL089W		tagged	visualized	606	
YDR185C		tagged	visualized	672	
YPL158C		tagged	visualized	238	
YDR031W		tagged	visualized	not visualized	
YNL046W		tagged	visualized	704	
YBL029C-A		tagged	visualized	996	
YIL056W		tagged	visualized	279	
YLR290C		tagged	visualized	1420	
YLR179C		tagged	visualized	6230	
YML011C		tagged	visualized	1080	
YGL157W		tagged	visualized	2950	
YDR493W		tagged	visualized	279	
YML020W		tagged	visualized	377	
YGL079W		tagged	visualized	1630	
YML059C		tagged	visualized	521	
YDL012C		tagged	visualized	2250	
YDR476C		tagged	visualized	2120	
YMR310C		tagged	visualized	2540	
YOR060C		tagged	visualized	1690	
YKL187C		tagged	visualized	not visualized	
YHR159W		tagged	visualized	504	
YDL119C		tagged	visualized	1550	
YDR196C		tagged	visualized	1660	
YML081W		tagged	visualized	672	
YLR016C		tagged	visualized	1470	
YNR029C		tagged	visualized	1560	
YLR051C		tagged	visualized	not visualized	
YML025C		tagged	visualized	1180	
YML096W		tagged	visualized	3750	
YKL077W		tagged	visualized	606	
YBR077C		tagged	visualized	3490	
YFR011C		tagged	visualized	3550	
YPR147C		tagged	visualized	2010	
YKL091C		tagged	visualized	2870	
YMR269W		tagged	visualized	technical problem	
YBL036C		tagged	visualized	4890	
YLR065C		tagged	visualized	not visualized	
YBR267W		tagged	visualized	830	
YPL183C		tagged	visualized	3450	
YBR141C		tagged	visualized	623	
YGR205W		tagged	visualized	4280	
YNL100W		tagged	visualized	5460	
YIL055C		tagged	visualized	low signal	
YBR273C		tagged	visualized	2190	
YNL134C		tagged	visualized	3490	
YMR090W		tagged	visualized	704	
YMR315W		tagged	visualized	9600	
YLR385C		tagged	visualized	4240	
YCL026C-B		tagged	visualized	low signal	
YDR326C		tagged	visualized	low signal	
YIL092W		tagged	visualized	105	
YGR106C		tagged	visualized	12800	
YJR111C		tagged	visualized	1890	
YDR348C		tagged	visualized	1480	
YPL225W		tagged	visualized	37500	
YGR283C		tagged	visualized	2820	
YDR540C		tagged	visualized	172	
YJL017W		tagged	visualized	172	
YER048W-A		tagged	visualized	2440	
YPR061C		tagged	visualized	414	
YHR112C		tagged	visualized	1360	
YBR042C		tagged	visualized	2010	
YGL059W		tagged	visualized	450	
YLR262C-A		tagged	visualized	3100	
YBR016W		tagged	visualized	1760	
YJR097W		tagged	visualized	2010	
YHR121W		tagged	visualized	8320	
YPR013C		tagged	visualized	195	
YHL013C		tagged	visualized	172	
YDR291W		tagged	visualized	259	
YOR215C		tagged	visualized	2870	
YDR026C		tagged	visualized	432	
