yORF	gene name	GFP tagged?	GFP visualized?	
YPR091C		tagged	visualized	
YLR023C		tagged	visualized	
YLR064W		tagged	visualized	
YDR307W		tagged	visualized	
YJL097W		tagged	visualized	
YIL039W		tagged	visualized	
YPR071W		tagged	visualized	
YLL014W		tagged	visualized	
YKR022C		tagged	visualized	
YNL181W		tagged	visualized	
YEL043W		tagged	visualized	
YFR041C		tagged	visualized	
YDR437W		tagged	visualized	
YLL023C		tagged	visualized	
YHR045W		tagged	visualized	
YLR440C		tagged	visualized	
YBR273C		tagged	visualized	
YPL137C		tagged	visualized	
YDR492W		tagged	visualized	
YJL171C		tagged	visualized	
YNL149C		tagged	visualized	
YMR134W		tagged	visualized	
YDL121C		tagged	visualized	
YBR096W		tagged	visualized	
YOR175C		tagged	visualized	
YGL047W		tagged	visualized	
YJR088C		tagged	visualized	
YJR015W		tagged	visualized	
YPL207W		tagged	visualized	
YBR159W		tagged	visualized	
YGL010W		tagged	visualized	
YOR044W		tagged	visualized	
YGR263C		tagged	visualized	
YDR221W		tagged	visualized	
YLL055W		tagged	visualized	
YOR214C		tagged	visualized	
YDR411C		tagged	visualized	
YNL046W		tagged	visualized	
YHR036W		tagged	visualized	
YDL072C		tagged	visualized	
YLR194C		tagged	visualized	
YNL190W		tagged	visualized	
YDR056C		tagged	visualized	
YOR285W		tagged	visualized	
YJL012C-A		tagged	visualized	
YDL193W		tagged	visualized	
YIL090W		tagged	visualized	
YER053C-A		tagged	visualized	
YER004W		tagged	visualized	
YML059C		tagged	visualized	
YCL045C		tagged	visualized	
YGR266W		tagged	visualized	
YEL001C		tagged	visualized	
YPR003C		tagged	visualized	
YJR013W		tagged	visualized	
YDR476C		tagged	visualized	
YLR050C		tagged	visualized	
YPR063C		tagged	visualized	
YOR291W		tagged	visualized	
YOL101C		tagged	visualized	
YMR122W-A		tagged	visualized	
YGL231C		tagged	visualized	
YPR114W		tagged	visualized	
YLR042C		tagged	visualized	
YNL095C		tagged	visualized	
YML125C		tagged	visualized	
YNL146W		tagged	visualized	
YBR287W		tagged	visualized	
YDR196C		tagged	visualized	
YNR021W		tagged	visualized	
YCR011C	ADP1	tagged	visualized	
YNR044W	AGA1	tagged	visualized	
YCL025C	AGP1	tagged	visualized	
YBR132C	AGP2	tagged	visualized	
YBR110W	ALG1	tagged	visualized	
YNL048W	ALG11	tagged	visualized	
YGL065C	ALG2	tagged	visualized	
YPL227C	ALG5	tagged	visualized	
YOR002W	ALG6	tagged	visualized	
YNL219C	ALG9	tagged	visualized	
YIL040W	APQ12	tagged	visualized	
YLL052C	AQY2	tagged	visualized	
YCR048W	ARE1	tagged	visualized	
YNR019W	ARE2	tagged	visualized	
YDL100C	ARR4	tagged	visualized	
YOR377W	ATF1	tagged	visualized	
YGR177C	ATF2	tagged	visualized	
YKL146W	AVT3	tagged	visualized	
