yORF	gene name	GFP tagged?	GFP visualized?	
YHR097C		tagged	visualized	
YIL096C		tagged	visualized	
YNR009W		tagged	visualized	
YDR288W		tagged	visualized	
YDR193W		tagged	visualized	
YOR342C		tagged	visualized	
YNL224C		tagged	visualized	
YER079W		tagged	visualized	
YGR151C		tagged	visualized	
YKR077W		tagged	visualized	
YKL102C		tagged	visualized	
YML108W		tagged	visualized	
YLR363W-A		tagged	visualized	
YCR016W		tagged	visualized	
YMR114C		tagged	visualized	
YDR330W		tagged	visualized	
YJL122W		tagged	visualized	
YBR242W		tagged	visualized	
YDR533C		tagged	visualized	
YMR258C		tagged	visualized	
YIL083C		tagged	visualized	
YLR424W		tagged	visualized	
YLR327C		tagged	visualized	
YDL129W		tagged	visualized	
YMR291W		tagged	visualized	
YGR269W		tagged	visualized	
YPL245W		tagged	visualized	
YGR126W		tagged	visualized	
YDL144C		tagged	visualized	
YJL169W		tagged	visualized	
YER156C		tagged	visualized	
YLR132C		tagged	visualized	
YMR178W		tagged	visualized	
YJR070C		tagged	visualized	
YGL082W		tagged	visualized	
YOR131C		tagged	visualized	
YPL208W		tagged	visualized	
YML053C		tagged	visualized	
YJL065C		tagged	visualized	
YGR203W		tagged	visualized	
YDR132C		tagged	visualized	
YBL029W		tagged	visualized	
YOR179C		tagged	visualized	
YBL028C		tagged	visualized	
YDL233W		tagged	visualized	
YJR056C		tagged	visualized	
YJR146W		tagged	visualized	
YAL027W		tagged	visualized	
YNL108C		tagged	visualized	
YER163C		tagged	visualized	
YNL155W		tagged	visualized	
YPR172W		tagged	visualized	
YKR074W		tagged	visualized	
YNR024W		tagged	visualized	
YOR052C		tagged	visualized	
YNL157W		tagged	visualized	
YER064C		tagged	visualized	
YPR118W		tagged	visualized	
YPL014W		tagged	visualized	
YBR090C		tagged	visualized	
YDL036C		tagged	visualized	
YOR006C		tagged	visualized	
YJR096W		tagged	visualized	
YGR081C		tagged	visualized	
YHR034C		tagged	visualized	
YIL019W		tagged	visualized	
YML082W		tagged	visualized	
YLL034C		tagged	visualized	
YFR046C		tagged	visualized	
YKR022C		tagged	visualized	
YBR030W		tagged	visualized	
YBR281C		tagged	visualized	
YDR391C		tagged	visualized	
YBR085C-A		tagged	visualized	
YNR046W		tagged	visualized	
YDL156W		tagged	visualized	
YGL250W		tagged	visualized	
YKR079C		tagged	visualized	
YKR075C		tagged	visualized	
YDR514C		tagged	visualized	
YBR197C		tagged	visualized	
YML079W		tagged	visualized	
YER049W		tagged	visualized	
YJL162C		tagged	visualized	
YNL143C		tagged	visualized	
YOR252W		tagged	visualized	
YGL232W		tagged	visualized	
YPL146C		tagged	visualized	
YFL049W		tagged	visualized	
YER030W		tagged	visualized	
YDR031W		tagged	visualized	
YJL055W		tagged	visualized	
YIL056W		tagged	visualized	
YOR302W		tagged	visualized	
YDR079C-A		tagged	visualized	
YLR179C		tagged	visualized	
YML011C		tagged	visualized	
YNL136W		tagged	visualized	
YGL157W		tagged	visualized	
YLR003C		tagged	visualized	
YLR022C		tagged	visualized	
YDL085C-A		tagged	visualized	
YBR100W		tagged	visualized	
YOL125W		tagged	visualized	
YDL063C		tagged	visualized	
YMR310C		tagged	visualized	
YOR060C		tagged	visualized	
YCR082W		tagged	visualized	
YDL152W		tagged	visualized	
YGL101W		tagged	visualized	
YGR093W		tagged	visualized	
YKL169C		tagged	visualized	
YML081W		tagged	visualized	
YKR103W		tagged	visualized	
YLR016C		tagged	visualized	
YKR018C		tagged	visualized	
YNL010W		tagged	visualized	
YER134C		tagged	visualized	
YKL091C		tagged	visualized	
YHR087W		tagged	visualized	
YHR009C		tagged	visualized	
YOR315W		tagged	visualized	
YBL036C		tagged	visualized	
YDR020C		tagged	visualized	
YGR205W		tagged	visualized	
YJR008W		tagged	visualized	
YNL274C		tagged	visualized	
YNL134C		tagged	visualized	
YDR520C		tagged	visualized	
YOL032W		tagged	visualized	
YGR024C		tagged	visualized	
YMR315W		tagged	visualized	
YLR385C		tagged	visualized	
YBL059C-A		tagged	visualized	
YCL026C-B		tagged	visualized	
YCR090C		tagged	visualized	
YGR251W		tagged	visualized	
YLR271W		tagged	visualized	
YIL092W		tagged	visualized	
YFL006W		tagged	visualized	
YDR063W		tagged	visualized	
YLR301W		tagged	visualized	
YKR043C		tagged	visualized	
