yORF	gene name	GFP tagged?	GFP visualized?	abundance	localization summary	ambiguous	mitochondrion	vacuole	spindle pole	cell periphery	punctate composite	vacuolar membrane	ER	nuclear periphery	endosome	bud neck	microtubule	Golgi	late Golgi	peroxisome	actin	nucleolus	cytoplasm	ER to Golgi	early Golgi	lipid particle	nucleus	bud	
YDL204W	RTN2	tagged	visualized	low signal	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YDL212W	SHR3	tagged	visualized	6510	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YDL232W	OST4	tagged	visualized	2430	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YDR055W	PST1	tagged	visualized	11700	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YDR056C		tagged	visualized	1600	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YDR062W	LCB2	tagged	visualized	54500	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YDR077W	SED1	tagged	visualized	1630	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YDR086C	SSS1	tagged	visualized	not visualized	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YDR196C		tagged	visualized	1660	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YDR205W	MSC2	tagged	visualized	1070	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YDR221W		tagged	visualized	9760	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YDR233C	RTN1	tagged	visualized	37100	ER,cell periphery	F	F	F	F	T	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YDR294C	DPL1	tagged	visualized	13100	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YDR297W	SUR2	tagged	visualized	54300	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YDR302W	GPI11	tagged	visualized	technical problem	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YDR307W		tagged	visualized	technical problem	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YDR331W	GPI8	tagged	visualized	1560	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YDR349C	YPS7	tagged	visualized	149	ER,cytoplasm	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
YDR410C	STE14	tagged	visualized	2690	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YDR411C		tagged	visualized	technical problem	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YDR424C	DYN2	tagged	visualized	1310	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YDR434W	GPI17	tagged	visualized	7520	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YDR437W		tagged	visualized	752	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YDR476C		tagged	visualized	2120	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YDR492W		tagged	visualized	technical problem	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YDR498C	SEC20	tagged	visualized	4910	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YDR508C	GNP1	tagged	visualized	10600	ER,cell periphery	F	F	F	F	T	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YDR519W	FPR2	tagged	visualized	5400	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YEL001C		tagged	visualized	7110	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YEL002C	WBP1	tagged	visualized	14900	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YEL027W	CUP5	tagged	visualized	8450	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YEL031W	SPF1	tagged	visualized	1870	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YEL040W	UTR2	tagged	visualized	technical problem	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YEL043W		tagged	visualized	149	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YER004W		tagged	visualized	1340	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YER011W	TIR1	tagged	visualized	623	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YER019C-A	SBH2	tagged	visualized	414	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YER044C	ERG28	tagged	visualized	377	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YER053C-A		tagged	visualized	2360	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YER072W	VTC1	tagged	visualized	12100	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YER083C	RMD7	tagged	visualized	not visualized	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YER100W	UBC6	tagged	visualized	1900	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YER120W	SCS2	tagged	visualized	3500	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YFL004W	VTC2	tagged	visualized	2910	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YFL025C	BST1	tagged	visualized	technical problem	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YFR041C		tagged	visualized	not visualized	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YGL001C	ERG26	tagged	visualized	2580	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YGL010W		tagged	visualized	486	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YGL012W	ERG4	tagged	visualized	1640	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YGL020C	MDM39	tagged	visualized	2250	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YGL022W	STT3	tagged	visualized	3000	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YGL047W		tagged	visualized	1950	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YGL054C	ERV14	tagged	visualized	7110	ER,vacuole	F	F	T	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YGL055W	OLE1	tagged	visualized	technical problem	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YGL065C	ALG2	tagged	visualized	1840	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YGL084C	GUP1	tagged	visualized	672	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YGL126W	SCS3	tagged	visualized	538	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YGL145W	TIP20	tagged	visualized	6020	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YGL167C	PMR1	tagged	visualized	6900	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YGL186C	TPN1	tagged	visualized	not visualized	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YGL226C-A	OST5	tagged	visualized	1010	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YGL231C		tagged	visualized	1320	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YGL255W	ZRT1	tagged	visualized	technical problem	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YGR036C	CAX4	tagged	visualized	technical problem	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YGR038W	ORM1	tagged	visualized	2800	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YGR060W	ERG25	tagged	visualized	77100	ER,vacuole	F	F	T	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YGR089W	NNF2	tagged	visualized	996	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YGR157W	CHO2	tagged	visualized	1810	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YGR175C	ERG1	tagged	visualized	65400	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YGR177C	ATF2	tagged	visualized	3000	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YGR191W	HIP1	tagged	visualized	688	ER,cell periphery,vacuole,bud	F	F	T	F	T	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T		
YGR260W	TNA1	tagged	visualized	technical problem	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YGR263C		tagged	visualized	technical problem	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YGR266W		tagged	visualized	3230	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YGR284C	ERV29	tagged	visualized	technical problem	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YHL003C	LAG1	tagged	visualized	technical problem	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YHR007C	ERG11	tagged	visualized	73200	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YHR026W	PPA1	tagged	visualized	not visualized	ER,vacuole	F	F	T	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YHR036W		tagged	visualized	1280	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YHR039C	MSC7	tagged	visualized	2500	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YHR042W	NCP1	tagged	visualized	46600	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YHR045W		tagged	visualized	not visualized	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YHR060W	VMA22	tagged	visualized	752	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YHR079C	IRE1	tagged	visualized	259	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YHR101C	BIG1	tagged	visualized	3460	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
