yORF	gene name	GFP tagged?	GFP visualized?	abundance	localization summary	ambiguous	mitochondrion	vacuole	spindle pole	cell periphery	punctate composite	vacuolar membrane	ER	nuclear periphery	endosome	bud neck	microtubule	Golgi	late Golgi	peroxisome	actin	nucleolus	cytoplasm	ER to Golgi	early Golgi	lipid particle	nucleus	bud	
YLR034C	SMF3	tagged	visualized	low signal	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YLR042C		tagged	visualized	not visualized	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YLR050C		tagged	visualized	358	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YLR056W	ERG3	tagged	visualized	36200	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YLR064W		tagged	visualized	2240	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YLR066W	SPC3	tagged	visualized	6840	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YLR074C	BUD20	tagged	visualized	5630	ER,nucleus	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
YLR088W	GAA1	tagged	visualized	low signal	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YLR110C	CCW12	tagged	visualized	158000	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YLR120C	YPS1	tagged	visualized	5440	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YLR130C	ZRT2	tagged	visualized	technical problem	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YLR194C		tagged	visualized	688	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YLR292C	SEC72	tagged	visualized	5290	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YLR350W	ORM2	tagged	visualized	5240	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YLR372W	SUR4	tagged	visualized	technical problem	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YLR378C	SEC61	tagged	visualized	24800	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YLR390W-A	CCW14	tagged	visualized	42000	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YLR440C		tagged	visualized	1840	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YML012W	ERV25	tagged	visualized	51700	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YML013W	SEL1	tagged	visualized	12600	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YML048W	GSF2	tagged	visualized	21400	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YML055W	SPC2	tagged	visualized	4890	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YML059C		tagged	visualized	521	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YML067C	ERV41	tagged	visualized	3000	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YML101C	CUE4	tagged	visualized	1850	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YML105C	SEC65	tagged	visualized	technical problem	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YML125C		tagged	visualized	29000	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YML128C	MSC1	tagged	visualized	1070	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YMR015C	ERG5	tagged	visualized	24700	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YMR022W	QRI8	tagged	visualized	2100	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YMR029C	FAR8	tagged	visualized	4010	ER,ambiguous,cytoplasm	T	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
YMR052W	FAR3	tagged	visualized	1540	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YMR058W	FET3	tagged	visualized	1050	ER,cell periphery,bud	F	F	F	F	T	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T		
YMR122W-A		tagged	visualized	49500	ER,cytoplasm	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
YMR123W	PKR1	tagged	visualized	5750	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YMR134W		tagged	visualized	2950	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YMR149W	SWP1	tagged	visualized	8450	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YMR152W	YIM1	tagged	visualized	6540	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YMR161W	HLJ1	tagged	visualized	1840	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YMR200W	ROT1	tagged	visualized	2360	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YMR215W	GAS3	tagged	visualized	16400	ER,cytoplasm	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
YMR238W	DFG5	tagged	visualized	2950	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YMR264W	CUE1	tagged	visualized	589	ER,cytoplasm	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
YMR272C	SCS7	tagged	visualized	3290	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YMR292W	GOT1	tagged	visualized	not visualized	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YMR296C	LCB1	tagged	visualized	22400	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YMR307W	GAS1	tagged	visualized	12400	ER,mitochondrion,nuclear periphery	F	T	F	F	F	F	F	T	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YNL046W		tagged	visualized	704	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YNL048W	ALG11	tagged	visualized	3140	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YNL095C		tagged	visualized	low signal	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YNL111C	CYB5	tagged	visualized	5390	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YNL125C	ESBP6	tagged	visualized	not visualized	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YNL146W		tagged	visualized	not visualized	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YNL149C		tagged	visualized	not visualized	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YNL156C	YIG2	tagged	visualized	3390	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YNL181W		tagged	visualized	13900	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YNL190W		tagged	visualized	1380	ER,cell periphery	F	F	F	F	T	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YNL219C	ALG9	tagged	visualized	technical problem	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YNL258C	DSL1	tagged	visualized	8970	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YNL280C	ERG24	tagged	visualized	1600	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YNL300W	TOS6	tagged	visualized	1480	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YNL322C	KRE1	tagged	visualized	623	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YNL323W	LEM3	tagged	visualized	2460	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YNL327W	EGT2	tagged	visualized	not visualized	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YNR013C	PHO91	tagged	visualized	4280	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YNR019W	ARE2	tagged	visualized	279	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YNR021W		tagged	visualized	34900	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YNR026C	SEC12	tagged	visualized	6160	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YNR030W	ECM39	tagged	visualized	3550	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YNR039C	ZRG17	tagged	visualized	technical problem	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YNR044W	AGA1	tagged	visualized	not visualized	ER,ambiguous	T	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YNR075W	COS10	tagged	visualized	2370	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YOL013C	HRD1	tagged	visualized	2660	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YOL030W	GAS5	tagged	visualized	11700	ER,nucleus	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
YOL101C		tagged	visualized	technical problem	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YOR002W	ALG6	tagged	visualized	not visualized	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YOR016C	ERP4	tagged	visualized	2710	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YOR044W		tagged	visualized	4280	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YOR087W	YVC1	tagged	visualized	1310	ER,cytoplasm	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
YOR092W	ECM3	tagged	visualized	low signal	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YOR175C		tagged	visualized	technical problem	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YOR198C	BFR1	tagged	visualized	33400	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YOR214C		tagged	visualized	technical problem	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YOR245C	DGA1	tagged	visualized	907	ER,cytoplasm	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
YOR254C	SEC63	tagged	visualized	17700	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YOR285W		tagged	visualized	7470	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YOR291W		tagged	visualized	technical problem	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YOR307C	SLY41	tagged	visualized	784	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YOR311C	HSD1	tagged	visualized	784	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YOR317W	FAA1	tagged	visualized	7470	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YOR321W	PMT3	tagged	visualized	2720	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YOR377W	ATF1	tagged	visualized	1990	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YPL076W	GPI2	tagged	visualized	low signal	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YPL094C	SEC62	tagged	visualized	16500	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YPL137C		tagged	visualized	656	ER,cytoplasm	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
YPL170W	DAP1	tagged	visualized	6300	ER,cytoplasm	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
YPL192C	PRM3	tagged	visualized	low signal	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YPL207W		tagged	visualized	5410	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YPL210C	SRP72	tagged	visualized	11800	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YPL227C	ALG5	tagged	visualized	5800	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YPL234C	TFP3	tagged	visualized	538	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YPL274W	SAM3	tagged	visualized	1300	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YPR003C		tagged	visualized	low signal	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YPR028W	YOP1	tagged	visualized	1760	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YPR063C		tagged	visualized	2140	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YPR071W		tagged	visualized	technical problem	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YPR091C		tagged	visualized	861	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YPR113W	PIS1	tagged	visualized	3810	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YPR114W		tagged	visualized	1920	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YPR183W	DPM1	tagged	visualized	1890	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
