yORF	gene name	GFP tagged?	GFP visualized?	abundance	
YOR332W	VMA4	tagged	visualized	16100	
YOR335C	ALA1	tagged	visualized	33800	
YOL069W	NUF2	tagged	visualized	1550	
YGL119W	ABC1	tagged	visualized	952	
YOL059W	GPD2	tagged	visualized	8970	
YIL173W	VTH1	tagged	visualized	319	
YPR025C	CCL1	tagged	visualized	8700	
YDR248C		tagged	visualized	504	
YJR091C	JSN1	tagged	visualized	784	
YKL145W	RPT1	tagged	visualized	105	
YDR288W		tagged	visualized	2540	
YPL031C	PHO85	tagged	visualized	6160	
YIL108W		tagged	visualized	195	
YOR212W	STE4	tagged	visualized	2050	
YDR006C	SOK1	tagged	visualized	not visualized	
YGL122C	NAB2	tagged	visualized	9670	
YLR292C	SEC72	tagged	visualized	5290	
YLR134W	PDC5	tagged	visualized	471000	
YGL135W	RPL1B	tagged	visualized	265000	
YKR077W		tagged	visualized	861	
YKL102C		tagged	visualized	not visualized	
YMR171C		tagged	visualized	656	
YLR110C	CCW12	tagged	visualized	158000	
YCR017C	CWH43	tagged	visualized	not visualized	
YLR439W	MRPL4	tagged	visualized	7700	
YJR161C	COS5	tagged	visualized	815	
YKL167C	MRP49	tagged	visualized	not visualized	
YHR082C	KSP1	tagged	visualized	1270	
YLR001C		tagged	visualized	206	
YHL040C	ARN1	tagged	visualized	technical problem	
YHR216W	IMD2	tagged	visualized	7870	
YGR267C	FOL2	tagged	visualized	2840	
YDL055C	PSA1	tagged	visualized	97100	
YPL184C		tagged	visualized	7950	
YDR228C	PCF11	tagged	visualized	2800	
YFR006W		tagged	visualized	not visualized	
YOL027C	MDM38	tagged	visualized	7390	
YIL064W		tagged	visualized	1620	
YPR182W	SMX3	tagged	visualized	2570	
YPL219W	PCL8	tagged	visualized	396	
YBL097W	BRN1	tagged	visualized	704	
YGL145W	TIP20	tagged	visualized	6020	
YBL013W	FMT1	tagged	visualized	1070	
YPL226W	NEW1	tagged	visualized	37600	
YBR105C	VID24	tagged	visualized	6650	
YDR226W	ADK1	tagged	visualized	123000	
YGR102C		tagged	visualized	172	
YPR037C	ERV2	tagged	visualized	259	
YOR193W		tagged	visualized	382	
YHR199C		tagged	visualized	4420	
YMR232W	FUS2	tagged	visualized	not visualized	
YJL146W	IDS2	tagged	visualized	1850	
YEL017W	GTT3	tagged	visualized	1300	
YDL005C	MED2	tagged	visualized	10800	
YKL182W	FAS1	tagged	visualized	91800	
YML120C	NDI1	tagged	visualized	5240	
YNL261W	ORC5	tagged	visualized	768	
YBL014C	RRN6	tagged	visualized	237	
YDL135C	RDI1	tagged	visualized	1670	
YPR174C		tagged	visualized	3420	
YBR009C	HHF1	tagged	visualized	524000	
YDR096W	GIS1	tagged	visualized	432	
YDL180W		tagged	visualized	not visualized	
YNR004W		tagged	visualized	1720	
YFR039C		tagged	visualized	3170	
YLR025W	SNF7	tagged	visualized	3270	
YBR208C	DUR1,2	tagged	visualized	952	
YJL115W	ASF1	tagged	visualized	6230	
YPR102C	RPL11A	tagged	visualized	39000	
YLR144C	ACF2	tagged	visualized	1420	
YER136W	GDI1	tagged	visualized	7280	
YPL090C	RPS6A	tagged	visualized	66000	
YDR471W	RPL27B	tagged	visualized	22900	
YMR258C		tagged	visualized	3080	
YGR207C		tagged	visualized	2400	
YBR244W	GPX2	tagged	visualized	2010	
YLR453C	RIF2	tagged	visualized	589	
YNL064C	YDJ1	tagged	visualized	119000	
YDR356W	SPC110	tagged	visualized	279	
YLR398C	SKI2	tagged	visualized	5770	
YDR186C		tagged	visualized	195	
YMR253C		tagged	visualized	not visualized	
YLR044C	PDC1	tagged	visualized	8970	
YDR054C	CDC34	tagged	visualized	8170	
YHR147C	MRPL6	tagged	visualized	5680	
YFR010W	UBP6	tagged	visualized	6770	
YOR109W	INP53	tagged	visualized	1520	
YOL076W	MDM20	tagged	visualized	5800	
YOR299W	BUD7	tagged	visualized	2070	
YDL020C	RPN4	tagged	visualized	low signal	
YMR073C		tagged	visualized	450	
YIR022W	SEC11	tagged	visualized	3150	
YIL107C	PFK26	tagged	visualized	1710	
YDL238C		tagged	visualized	279	
YGL001C	ERG26	tagged	visualized	2580	
YDL129W		tagged	visualized	450	
YDR407C	TRS120	tagged	visualized	259	
YLR148W	PEP3	tagged	visualized	2020	
YBR167C	POP7	tagged	visualized	low signal	
YMR291W		tagged	visualized	10200	
YJL063C	MRPL8	tagged	visualized	3030	
YGR269W		tagged	visualized	279	
YKL028W	TFA1	tagged	visualized	35900	
YJR083C	ACF4	tagged	visualized	1140	
YDR441C	APT2	tagged	visualized	937	
YJL131C		tagged	visualized	319	
YAL047C	SPC72	tagged	visualized	639	
YPL178W	CBC2	tagged	visualized	6200	
YDL043C	PRP11	tagged	visualized	3460	
YML032C	RAD52	tagged	visualized	1080	
YPR043W	RPL43A	tagged	visualized	44600	
YMR089C	YTA12	tagged	visualized	11500	
YFL036W	RPO41	tagged	visualized	not visualized	
YNR034W	SOL1	tagged	visualized	1970	
YOR018W	ROD1	tagged	visualized	386	
YIL078W	THS1	tagged	visualized	42600	
YGR180C	RNR4	tagged	visualized	88900	
YNL152W		tagged	visualized	technical problem	
YLR299W	ECM38	tagged	visualized	672	
YDR477W	SNF1	tagged	visualized	589	
YJL169W		tagged	visualized	not visualized	
YNL007C	SIS1	tagged	visualized	20300	
YLR388W	RPS29A	tagged	visualized	6490	
YGR214W	RPS0A	tagged	visualized	93700	
YBR159W		tagged	visualized	41900	
YNL061W	NOP2	tagged	visualized	18700	
YLR132C		tagged	visualized	486	
YFR031C	SMC2	tagged	visualized	3290	
YHR030C	SLT2	tagged	visualized	3230	
YDR379W	RGA2	tagged	visualized	254	
YDR363W-A	SEM1	tagged	visualized	5590	
YBR107C	IML3	tagged	visualized	125	
YJR070C		tagged	visualized	39900	
YBR046C	ZTA1	tagged	visualized	not visualized	
YLL040C	VPS13	tagged	visualized	125	
YDR511W	ACN9	tagged	visualized	195	
YDR293C	SSD1	tagged	visualized	1100	
YDR528W	HLR1	tagged	visualized	259	
YJL042W	MHP1	tagged	visualized	279	
YGR088W	CTT1	tagged	visualized	319	
YKL152C	GPM1	tagged	visualized	172000	
YDR310C	SUM1	tagged	visualized	149	
YNL063W		tagged	visualized	13200	
YCL056C		tagged	visualized	not visualized	
YDR411C		tagged	visualized	technical problem	
YBR279W	PAF1	tagged	visualized	1040	
YML053C		tagged	visualized	656	
YML057W	CMP2	tagged	visualized	7110	
YLR423C	APG17	tagged	visualized	358	
YLR117C	CLF1	tagged	visualized	2140	
YDR364C	CDC40	tagged	visualized	1630	
YKL127W	PGM1	tagged	visualized	9820	
YGR068C		tagged	visualized	1970	
YLR268W	SEC22	tagged	visualized	396	
YDL134C	PPH21	tagged	visualized	5620	
YGR248W	SOL4	tagged	visualized	4320	
YBR137W		tagged	visualized	1200	
YHR201C	PPX1	tagged	visualized	3170	
YML073C	RPL6A	tagged	visualized	37100	
YPR139C	VPS66	tagged	visualized	6630	
YPL259C	APM1	tagged	visualized	4420	
YDR033W	MRH1	tagged	visualized	182000	
YLR194C		tagged	visualized	688	
YDR132C		tagged	visualized	172	
YMR179W	SPT21	tagged	visualized	low signal	
YGR200C	ELP2	tagged	visualized	6090	
YBR015C	MNN2	tagged	visualized	6730	
YMR060C	TOM37	tagged	visualized	1580	
YOR058C	ASE1	tagged	visualized	556	
YPR135W	CTF4	tagged	visualized	3280	
YOR341W	RPA190	tagged	visualized	2840	
YHR143W-A	RPC10	tagged	visualized	907	
YKL023W		tagged	visualized	1730	
YHR007C	ERG11	tagged	visualized	73200	
YIL046W	MET30	tagged	visualized	217	
YBR067C	TIP1	tagged	visualized	35600	
YPL232W	SSO1	tagged	visualized	450	
YIL069C	RPS24B	tagged	visualized	6160	
YMR031C		tagged	visualized	5570	
YCL016C	DCC1	tagged	visualized	1660	
YDR194C	MSS116	tagged	visualized	10300	
YNL156C	YIG2	tagged	visualized	3390	
YER112W	LSM4	tagged	visualized	3440	
YML098W	TAF13	tagged	visualized	2080	
YJL012C-A		tagged	visualized	8710	
YDR069C	DOA4	tagged	visualized	428	
YKR090W	PXL1	tagged	visualized	1310	
YOR346W	REV1	tagged	visualized	521	
YOL102C	TPT1	tagged	visualized	672	
YLR342W	FKS1	tagged	visualized	technical problem	
YIL104C	SHQ1	tagged	visualized	7060	
YBR233W-A	DAD3	tagged	visualized	468	
YER063W	THO1	tagged	visualized	6580	
YER013W	PRP22	tagged	visualized	907	
YNL001W	DOM34	tagged	visualized	1720	
YIL037C	PRM2	tagged	visualized	not visualized	
YER128W		tagged	visualized	967	
YER033C	ZRG8	tagged	visualized	not visualized	
YBR236C	ABD1	tagged	visualized	not visualized	
YDR184C	ATC1	tagged	visualized	846	
YLR401C	DUS3	tagged	visualized	3630	
YDL159W	STE7	tagged	visualized	672	
YKR021W		tagged	visualized	414	
YDR067C		tagged	visualized	low signal	
YER044C	ERG28	tagged	visualized	377	
YBR111C	YSA1	tagged	visualized	7330	
YER025W	GCD11	tagged	visualized	20800	
YHR197W	RIX1	tagged	visualized	7820	
YIR023W	DAL81	tagged	visualized	704	
YLR360W	VPS38	tagged	visualized	1070	
YCR033W	SNT1	tagged	visualized	396	
YLR197W	SIK1	tagged	visualized	13500	
YJR025C	BNA1	tagged	visualized	2330	
YAL024C	LTE1	tagged	visualized	304	
YNL067W	RPL9B	tagged	visualized	76000	
YMR113W	FOL3	tagged	visualized	2340	
YOR098C	NUP1	tagged	visualized	468	
YLR300W	EXG1	tagged	visualized	4280	
YPR178W	PRP4	tagged	visualized	1770	
YDR389W	SAC7	tagged	visualized	1420	
YOR291W		tagged	visualized	technical problem	
YPR172W		tagged	visualized	358	
YHR179W	OYE2	tagged	visualized	15100	
YJL024C	APS3	tagged	visualized	1240	
YIL172C		tagged	visualized	166	
YBL080C	PET112	tagged	visualized	1390	
YBR085W	AAC3	tagged	visualized	1080	
YMR266W	RSN1	tagged	visualized	low signal	
YBR283C	SSH1	tagged	visualized	704	
YGR192C	TDH3	tagged	visualized	169000	
YGR120C	COG2	tagged	visualized	3270	
YDR281C	PHM6	tagged	visualized	not visualized	
YKL032C	IXR1	tagged	visualized	low signal	
YOR322C		tagged	visualized	295	
YLR034C	SMF3	tagged	visualized	low signal	
YPR141C	KAR3	tagged	visualized	3250	
YDL040C	NAT1	tagged	visualized	7600	
YGL130W	CEG1	tagged	visualized	279	
YER073W	ALD5	tagged	visualized	23300	
YKL042W	SPC42	tagged	visualized	not visualized	
YHR156C	LIN1	tagged	visualized	799	
YDL188C	PPH22	tagged	visualized	4110	
YLR454W		tagged	visualized	1360	
YOL126C	MDH2	tagged	visualized	5260	
YGL083W	SCY1	tagged	visualized	1480	
YER176W	ECM32	tagged	visualized	736	
YLL060C	GTT2	tagged	visualized	low signal	
YIL094C	LYS12	tagged	visualized	19100	
YJR075W	HOC1	tagged	visualized	7160	
YBR090C		tagged	visualized	not visualized	
YDR265W	PEX10	tagged	visualized	not visualized	
YGR117C		tagged	visualized	1280	
YDL036C		tagged	visualized	639	
YBL010C		tagged	visualized	1320	
YMR192W	APP2	tagged	visualized	2010	
YOL094C	RFC4	tagged	visualized	2760	
YNR021W		tagged	visualized	34900	
YLR427W	MAG2	tagged	visualized	922	
YLR091W		tagged	visualized	low signal	
YLR131C	ACE2	tagged	visualized	538	
YDR280W	RRP45	tagged	visualized	4800	
YDL116W	NUP84	tagged	visualized	8580	
YKR035W-A	DID2	tagged	visualized	2440	
YDR044W	HEM13	tagged	visualized	22000	
YDR527W		tagged	visualized	688	
YLR187W		tagged	visualized	low signal	
YGR255C	COQ6	tagged	visualized	2940	
YLR058C	SHM2	tagged	visualized	67600	
YGL227W	VID30	tagged	visualized	1500	
YKR082W	NUP133	tagged	visualized	3060	
YIR011C	STS1	tagged	visualized	2120	
YML128C	MSC1	tagged	visualized	1070	
YHR027C	RPN1	tagged	visualized	306000	
YPL094C	SEC62	tagged	visualized	16500	
YDR469W	SDC1	tagged	visualized	937	
YLR141W	RRN5	tagged	visualized	low signal	
YAR009C		tagged	visualized	2220	
YPL150W		tagged	visualized	low signal	
YBR103W	SIF2	tagged	visualized	1620	
YML082W		tagged	visualized	2810	
YDR519W	FPR2	tagged	visualized	5400	
YNR048W		tagged	visualized	4510	
YLL034C		tagged	visualized	4490	
YLR384C	IKI3	tagged	visualized	10500	
YHR049W	FSH1	tagged	visualized	14600	
YKL049C	CSE4	tagged	visualized	not visualized	
YPL139C	UME1	tagged	visualized	3040	
YPL233W	NSL1	tagged	visualized	3710	
YBR056W		tagged	visualized	1960	
YGL008C	PMA1	tagged	visualized	1260000	
YKR070W		tagged	visualized	3870	
YDL215C	GDH2	tagged	visualized	7400	
YOR221C	MCT1	tagged	visualized	1360	
YDR099W	BMH2	tagged	visualized	47600	
YPL194W	DDC1	tagged	visualized	238	
YFR046C		tagged	visualized	1300	
YHR117W	TOM71	tagged	visualized	4110	
YPL112C	PEX25	tagged	visualized	2420	
YLR245C	CDD1	tagged	visualized	3120	
YMR165C	SMP2	tagged	visualized	3910	
YPL229W		tagged	visualized	922	
YLR375W	STP3	tagged	visualized	1240	
YPR175W	DPB2	tagged	visualized	3110	
YOL115W	TRF4	tagged	visualized	7550	
YGR105W	VMA21	tagged	visualized	1480	
YMR104C	YPK2	tagged	visualized	1310	
YPR137W	RRP9	tagged	visualized	5130	
YHR086W	NAM8	tagged	visualized	1480	
YDR392W	SPT3	tagged	visualized	1710	
YBR030W		tagged	visualized	7880	
YBR120C	CBP6	tagged	visualized	2130	
YJL043W		tagged	visualized	not visualized	
YGL186C	TPN1	tagged	visualized	not visualized	
YJL207C		tagged	visualized	300	
YOR304C-A		tagged	visualized	656	
YOR296W		tagged	visualized	300	
YGL240W	DOC1	tagged	visualized	1360	
YLR382C	NAM2	tagged	visualized	2120	
YBR048W	RPS11B	tagged	visualized	1200	
YHR138C		tagged	visualized	319	
YBR085C-A		tagged	visualized	not visualized	
YIR010W	DSN1	tagged	visualized	1310	
YIL005W	EPS1	tagged	visualized	6020	
YBR058C	UBP14	tagged	visualized	3040	
YBR231C	AOR1	tagged	visualized	1680	
YJL013C	MAD3	tagged	visualized	3170	
YGL009C	LEU1	tagged	visualized	96300	
YML008C	ERG6	tagged	visualized	53800	
YML056C	IMD4	tagged	visualized	2970	
YBR110W	ALG1	tagged	visualized	1890	
YMR043W	MCM1	tagged	visualized	8970	
YHR105W	YPT35	tagged	visualized	not visualized	
YKL125W	RRN3	tagged	visualized	138	
YEL036C	ANP1	tagged	visualized	not visualized	
YGR094W	VAS1	tagged	visualized	358	
YEL048C		tagged	visualized	8660	
YHR193C	EGD2	tagged	visualized	38000	
YHR013C	ARD1	tagged	visualized	3310	
YDR322W	MRPL35	tagged	visualized	7700	
YJR073C	OPI3	tagged	visualized	5890	
YMR011W	HXT2	tagged	visualized	technical problem	
YJR134C	SGM1	tagged	visualized	300	
YML034W	SRC1	tagged	visualized	2100	
YNL052W	COX5A	tagged	visualized	3670	
YLL015W	BPT1	tagged	visualized	technical problem	
YJR116W		tagged	visualized	technical problem	
YBR133C	HSL7	tagged	visualized	1180	
YHR114W	BZZ1	tagged	visualized	5440	
YIL093C	RSM25	tagged	visualized	1920	
YGR063C	SPT4	tagged	visualized	4490	
YGL250W		tagged	visualized	1820	
YIR014W		tagged	visualized	low signal	
YGR159C	NSR1	tagged	visualized	77400	
YGR087C	PDC6	tagged	visualized	1520	
YMR295C		tagged	visualized	10800	
YMR297W	PRC1	tagged	visualized	44000	
YKR075C		tagged	visualized	1960	
YPL135W	ISU1	tagged	visualized	10800	
YPL082C	MOT1	tagged	visualized	6560	
YOR224C	RPB8	tagged	visualized	6210	
YBR158W	AMN1	tagged	visualized	2020	
YDL173W		tagged	visualized	1140	
YFL018C	LPD1	tagged	visualized	24600	
YCL039W	GID7	tagged	visualized	1200	
YOR273C	TPO4	tagged	visualized	21400	
YOL088C	MPD2	tagged	visualized	1520	
YOL159C-A		tagged	visualized	125	
YLR426W		tagged	visualized	2130	
YGR220C	MRPL9	tagged	visualized	3190	
YLR403W	SFP1	tagged	visualized	259	
YKL038W	RGT1	tagged	visualized	195	
YCR088W	ABP1	tagged	visualized	606	
YMR071C	TVP18	tagged	visualized	technical problem	
YER049W		tagged	visualized	8910	
YML079W		tagged	visualized	low signal	
YLR332W	MID2	tagged	visualized	low signal	
YJL173C	RFA3	tagged	visualized	4280	
YJR015W		tagged	visualized	639	
YJL162C		tagged	visualized	184	
YPR107C	YTH1	tagged	visualized	3690	
YBL093C	ROX3	tagged	visualized	6120	
YHL008C		tagged	visualized	low signal	
YGL211W		tagged	visualized	low signal	
YDR065W		tagged	visualized	1670	
YKL173W	SNU114	tagged	visualized	300	
YPL079W	RPL21B	tagged	visualized	66400	
YDL197C	ASF2	tagged	visualized	1910	
YCL031C	RRP7	tagged	visualized	2610	
YLR257W		tagged	visualized	18600	
YOR229W	WTM2	tagged	visualized	3750	
YIL075C	RPN2	tagged	visualized	4750	
YOR252W		tagged	visualized	5350	
YOR061W	CKA2	tagged	visualized	4540	
YIL145C	PAN6	tagged	visualized	2400	
YKL209C	STE6	tagged	visualized	technical problem	
YFL049W		tagged	visualized	3180	
YDL089W		tagged	visualized	606	
YKL176C	LST4	tagged	visualized	low signal	
YLL038C	ENT4	tagged	visualized	1960	
YHR187W	IKI1	tagged	visualized	3870	
YOL001W	PHO80	tagged	visualized	technical problem	
YDR185C		tagged	visualized	672	
YBR140C	IRA1	tagged	visualized	not visualized	
YJL041W	NSP1	tagged	visualized	2400	
YPL158C		tagged	visualized	238	
YJR147W	HMS2	tagged	visualized	2050	
YDL106C	PHO2	tagged	visualized	6420	
YJL036W	SNX4	tagged	visualized	450	
YDR031W		tagged	visualized	not visualized	
YBR115C	LYS2	tagged	visualized	7430	
YLR195C	NMT1	tagged	visualized	not visualized	
YOL148C	SPT20	tagged	visualized	4150	
YGL213C	SKI8	tagged	visualized	1710	
YBR155W	CNS1	tagged	visualized	672	
YGR163W	GTR2	tagged	visualized	2610	
YNL046W		tagged	visualized	704	
YBL029C-A		tagged	visualized	996	
YOL142W	RRP40	tagged	visualized	6050	
YIL056W		tagged	visualized	279	
YPL246C	RBD2	tagged	visualized	7850	
YOR276W	CAF20	tagged	visualized	26900	
YDL136W	RPL35B	tagged	visualized	19100	
YLR290C		tagged	visualized	1420	
YMR292W	GOT1	tagged	visualized	not visualized	
YLR179C		tagged	visualized	6230	
YPR110C	RPC40	tagged	visualized	13000	
YMR271C	URA10	tagged	visualized	815	
YPR128C	ANT1	tagged	visualized	2250	
YML011C		tagged	visualized	1080	
YOL054W	PSH1	tagged	visualized	6490	
YJR059W	PTK2	tagged	visualized	1420	
YGR128C	UTP8	tagged	visualized	16800	
YBL011W	SCT1	tagged	visualized	1050	
YGL157W		tagged	visualized	2950	
YLR319C	BUD6	tagged	visualized	2610	
YDR284C	DPP1	tagged	visualized	3040	
YPL256C	CLN2	tagged	visualized	1270	
YGL077C	HNM1	tagged	visualized	technical problem	
YLR323C	CWC24	tagged	visualized	996	
YJL198W	PHO90	tagged	visualized	3430	
YDR493W		tagged	visualized	279	
YBR291C	CTP1	tagged	visualized	not visualized	
YDR414C	ERD1	tagged	visualized	not visualized	
