yORF	gene name	GFP tagged?	GFP visualized?	abundance	localization summary	
YDL043C	PRP11	tagged	visualized	3460	nucleus	
YML032C	RAD52	tagged	visualized	1080	nucleus	
YPR043W	RPL43A	tagged	visualized	44600	cytoplasm	
YMR089C	YTA12	tagged	visualized	11500	mitochondrion	
YFL036W	RPO41	tagged	visualized	not visualized	punctate composite	
YNR034W	SOL1	tagged	visualized	1970	cytoplasm,nucleus	
YOR018W	ROD1	tagged	visualized	386	cytoplasm	
YIL078W	THS1	tagged	visualized	42600	cytoplasm	
YGR180C	RNR4	tagged	visualized	88900	cytoplasm,nucleus	
YNL152W		tagged	visualized	technical problem	cytoplasm	
YLR299W	ECM38	tagged	visualized	672	ambiguous	
YDR477W	SNF1	tagged	visualized	589	cytoplasm	
YJL169W		tagged	visualized	not visualized	cytoplasm,nucleus	
YNL007C	SIS1	tagged	visualized	20300	cytoplasm,nucleus	
YLR388W	RPS29A	tagged	visualized	6490	cytoplasm	
YGR214W	RPS0A	tagged	visualized	93700	cytoplasm	
YBR159W		tagged	visualized	41900	ER	
YNL061W	NOP2	tagged	visualized	18700	nucleolus,nucleus	
YLR132C		tagged	visualized	486	cytoplasm,mitochondrion,nucleus	
YFR031C	SMC2	tagged	visualized	3290	cytoplasm,nucleus	
YHR030C	SLT2	tagged	visualized	3230	cytoplasm,nucleus	
YDR379W	RGA2	tagged	visualized	254	cytoplasm	
YDR363W-A	SEM1	tagged	visualized	5590	nucleus	
YBR107C	IML3	tagged	visualized	125	nucleus,spindle pole	
YJR070C		tagged	visualized	39900	cytoplasm,nucleus	
YBR046C	ZTA1	tagged	visualized	not visualized	cytoplasm,nucleus	
YLL040C	VPS13	tagged	visualized	125	cytoplasm,endosome	
YDR511W	ACN9	tagged	visualized	195	mitochondrion	
YDR293C	SSD1	tagged	visualized	1100	cytoplasm	
YDR528W	HLR1	tagged	visualized	259	cytoplasm	
YJL042W	MHP1	tagged	visualized	279	cytoplasm	
YGR088W	CTT1	tagged	visualized	319	cytoplasm	
YKL152C	GPM1	tagged	visualized	172000	cytoplasm	
YDR310C	SUM1	tagged	visualized	149	nucleus	
YNL063W		tagged	visualized	13200	mitochondrion	
YCL056C		tagged	visualized	not visualized	punctate composite	
YDR411C		tagged	visualized	technical problem	ER	
YBR279W	PAF1	tagged	visualized	1040	nucleus	
YML053C		tagged	visualized	656	cytoplasm,nucleus	
YML057W	CMP2	tagged	visualized	7110	cytoplasm	
YLR423C	APG17	tagged	visualized	358	punctate composite	
YLR117C	CLF1	tagged	visualized	2140	nucleus	
YDR364C	CDC40	tagged	visualized	1630	cytoplasm,nucleus	
YKL127W	PGM1	tagged	visualized	9820	cytoplasm	
YGR068C		tagged	visualized	1970	ambiguous	
YLR268W	SEC22	tagged	visualized	396	Golgi	
YDL134C	PPH21	tagged	visualized	5620	cytoplasm,nucleus	
YGR248W	SOL4	tagged	visualized	4320	cytoplasm,nucleus	
YBR137W		tagged	visualized	1200	cytoplasm	
YHR201C	PPX1	tagged	visualized	3170	cytoplasm,nucleus	
YML073C	RPL6A	tagged	visualized	37100	cytoplasm	
YPR139C	VPS66	tagged	visualized	6630	ambiguous	
