yORF	gene name	GFP tagged?	GFP visualized?	abundance	localization summary	
YGR240C	PFK1	tagged	visualized	89800	cytoplasm	
YDL112W	TRM3	tagged	visualized	861	cytoplasm	
YNR027W	BUD17	tagged	visualized	6580	cytoplasm,nucleus	
YJL079C	PRY1	tagged	visualized	556	vacuole	
YNL148C	ALF1	tagged	visualized	656	ambiguous	
YIL065C	FIS1	tagged	visualized	2410	ambiguous	
YMR145C	NDE1	tagged	visualized	4930	mitochondrion	
YMR138W	CIN4	tagged	visualized	468	cytoplasm	
YLR249W	YEF3	tagged	visualized	871000	cytoplasm	
YHR066W	SSF1	tagged	visualized	8150	nucleolus,nucleus	
YEL052W	AFG1	tagged	visualized	3570	mitochondrion	
YLR118C		tagged	visualized	1480	cytoplasm,nucleus	
YER053C-A		tagged	visualized	2360	ER	
YOR220W		tagged	visualized	967	cytoplasm	
YGR271C-A		tagged	visualized	2840	nucleolus	
YPR080W	TEF1	tagged	visualized	377	cytoplasm	
YAL054C	ACS1	tagged	visualized	2890	cytoplasm,nucleus	
YML021C	UNG1	tagged	visualized	4820	cytoplasm,nucleus	
YIR015W	RPR2	tagged	visualized	2070	nucleus	
YDR137W	RGP1	tagged	visualized	589	early Golgi	
YMR214W	SCJ1	tagged	visualized	8260	ambiguous	
YER052C	HOM3	tagged	visualized	48100	cytoplasm	
YNL118C	DCP2	tagged	visualized	8530	punctate composite	
YNL241C	ZWF1	tagged	visualized	15000	cytoplasm	
YAL023C	PMT2	tagged	visualized	6510	ER	
YHL018W		tagged	visualized	752	mitochondrion	
YKR065C		tagged	visualized	3000	mitochondrion	
YLR050C		tagged	visualized	358	ER	
YLL024C	SSA2	tagged	visualized	364000	cytoplasm,nucleus	
YIL035C	CKA1	tagged	visualized	7180	cytoplasm,nucleus	
YML038C	YMD8	tagged	visualized	technical problem	early Golgi	
YKL154W	SRP102	tagged	visualized	8250	ER	
YLR116W	MSL5	tagged	visualized	4380	nucleus	
YEL066W	HPA3	tagged	visualized	1160	cytoplasm,nucleus	
YDR400W	URH1	tagged	visualized	technical problem	cytoplasm,nucleus	
YGR030C	POP6	tagged	visualized	3180	nucleus	
YFL014W	HSP12	tagged	visualized	4490	cytoplasm,nucleus	
YDL090C	RAM1	tagged	visualized	3910	cytoplasm	
YER007C-A		tagged	visualized	4220	cytoplasm	
YKR003W	OSH6	tagged	visualized	2550	cell periphery	
YNL311C		tagged	visualized	432	cytoplasm	
YNL049C	SFB2	tagged	visualized	1720	ER to Golgi	
YDL150W	RPC53	tagged	visualized	998	nucleus	
YIL129C	TAO3	tagged	visualized	206	ambiguous	
YPL116W	HOS3	tagged	visualized	4420	bud neck	
YOR083W	WHI5	tagged	visualized	1440	cytoplasm,nucleus	
YGR086C	PIL1	tagged	visualized	115000	punctate composite	
YGL012W	ERG4	tagged	visualized	1640	ER	
YOR148C	SPP2	tagged	visualized	752	cytoplasm,nucleus	
YDR323C	PEP7	tagged	visualized	768	endosome	
YPR113W	PIS1	tagged	visualized	3810	ER	
YNL073W	MSK1	tagged	visualized	2280	mitochondrion	
YDR007W	TRP1	tagged	visualized	1850	cytoplasm,nucleus	
YKL094W	YJU3	tagged	visualized	2140	ER	
YIR021W	MRS1	tagged	visualized	5240	mitochondrion	
YPR159W	KRE6	tagged	visualized	4760	vacuole	
YMR283C	RIT1	tagged	visualized	259	cytoplasm	
YJR138W	IML1	tagged	visualized	279	vacuolar membrane	
YER040W	GLN3	tagged	visualized	589	cytoplasm,nucleus	
YHR119W	SET1	tagged	visualized	172	ambiguous,nucleus	
YML125C		tagged	visualized	29000	ER	
YHR006W	STP2	tagged	visualized	6490	cytoplasm,nucleus	
YHR064C	SSZ1	tagged	visualized	73600	cytoplasm	
YDR213W	UPC2	tagged	visualized	752	nucleus	
YDR429C	TIF35	tagged	visualized	not visualized	cytoplasm	
YDL080C	THI3	tagged	visualized	2140	nucleus	
YMR226C		tagged	visualized	3210	cytoplasm,nucleus	
YLR343W		tagged	visualized	not visualized	cytoplasm	
YOR281C	PLP2	tagged	visualized	7700	cytoplasm	
YBR271W		tagged	visualized	217	cytoplasm	
YLR210W	CLB4	tagged	visualized	98.9	nucleus,spindle pole	
YDR270W	CCC2	tagged	visualized	not visualized	punctate composite	
YOR128C	ADE2	tagged	visualized	5410	cytoplasm	
YOR238W		tagged	visualized	892	cytoplasm	
YKL216W	URA1	tagged	visualized	264000	cytoplasm,nucleus	
YLR321C	SFH1	tagged	visualized	3940	nucleus	
YPR108W	RPN7	tagged	visualized	51900	nucleus	
YIL091C		tagged	visualized	172	nucleolus,nucleus	
YOR304W	ISW2	tagged	visualized	1520	nucleus	
YBR089C-A	NHP6B	tagged	visualized	4590	nucleus	
YDR251W	PAM1	tagged	visualized	300	ambiguous,bud neck,bud	
YJR080C		tagged	visualized	2290	mitochondrion	
YGR101W	PCP1	tagged	visualized	technical problem	mitochondrion	
YPL163C	SVS1	tagged	visualized	688	vacuole	
YOR377W	ATF1	tagged	visualized	1990	ER	
YDL208W	NHP2	tagged	visualized	not visualized	nucleolus	
YER120W	SCS2	tagged	visualized	3500	ER	
YGR136W	LSB1	tagged	visualized	not visualized	cytoplasm,nucleus	
YOR385W		tagged	visualized	504	cytoplasm	
YPL122C	TFB2	tagged	visualized	8900	nucleus	
YKR072C	SIS2	tagged	visualized	3750	cytoplasm	
YER087C-B	SBH1	tagged	visualized	217	ambiguous	
YOR181W	LAS17	tagged	visualized	8580	actin	
YOL135C	MED7	tagged	visualized	7600	nucleus	
YDR515W	SLF1	tagged	visualized	861	cytoplasm	
YDL236W	PHO13	tagged	visualized	2980	cytoplasm,nucleus	
YPL096W	PNG1	tagged	visualized	4850	cytoplasm	
YDR484W	SAC2	tagged	visualized	3130	punctate composite	
YPL057C	SUR1	tagged	visualized	technical problem	vacuole	
YOR129C		tagged	visualized	768	cytoplasm	
YLR138W	NHA1	tagged	visualized	1480	cell periphery	
YLR150W	STM1	tagged	visualized	46800	cytoplasm	
YLR006C	SSK1	tagged	visualized	1200	cytoplasm	
YIR004W	DJP1	tagged	visualized	8970	ER	
YJR131W	MNS1	tagged	visualized	8260	ER	
YOR142W	LSC1	tagged	visualized	18400	mitochondrion	
YLR397C	AFG2	tagged	visualized	799	cytoplasm	
YMR032W	HOF1	tagged	visualized	195	bud neck	
YER079W		tagged	visualized	1890	cytoplasm,nucleus	
YOR147W	MDM32	tagged	visualized	10400	mitochondrion	
YDR128W		tagged	visualized	556	vacuolar membrane	
YIL122W	POG1	tagged	visualized	736	nucleus	
YLL008W	DRS1	tagged	visualized	not visualized	cytoplasm,nucleolus,nucleus	
YBR047W		tagged	visualized	2160	mitochondrion	
YGR256W	GND2	tagged	visualized	556	ambiguous	
YLL014W		tagged	visualized	low signal	ER	
YDR460W	TFB3	tagged	visualized	3050	nucleus	
YJR055W	HIT1	tagged	visualized	2730	cytoplasm,nucleus	
YDR363W	ESC2	tagged	visualized	1890	cytoplasm,nucleus	
YDL205C	HEM3	tagged	visualized	8480	cytoplasm,nucleus	
YAL035W	FUN12	tagged	visualized	13400	cytoplasm	
YGL011C	SCL1	tagged	visualized	15200	cytoplasm,nucleus	
YNL181W		tagged	visualized	13900	ER	
YPL089C	RLM1	tagged	visualized	736	cytoplasm,nucleus	
YNL162W	RPL42A	tagged	visualized	13600	cytoplasm	
YKL089W	MIF2	tagged	visualized	465	spindle pole	
YOR258W	HNT3	tagged	visualized	396	cytoplasm,nucleus	
YMR128W	ECM16	tagged	visualized	2000	nucleolus	
YJL138C	TIF2	tagged	visualized	technical problem	cytoplasm	
YBL064C	PRX1	tagged	visualized	4510	mitochondrion	
YCR053W	THR4	tagged	visualized	26000	cytoplasm,nucleus	
YJR089W	BIR1	tagged	visualized	not visualized	nucleus,spindle pole,microtubule	
YJL039C	NUP192	tagged	visualized	2520	nuclear periphery	
YNL214W	PEX17	tagged	visualized	656	peroxisome	
YDL064W	UBC9	tagged	visualized	2600	cytoplasm,nucleus	
YMR095C	SNO1	tagged	visualized	low signal	cytoplasm	
YDR197W	CBS2	tagged	visualized	2140	mitochondrion	
YJL201W	ECM25	tagged	visualized	1750	cytoplasm	
YDL066W	IDP1	tagged	visualized	not visualized	mitochondrion	
YHR072W-A	NOP10	tagged	visualized	not visualized	nucleolus	
YBR223C	TDP1	tagged	visualized	2130	cytoplasm,nucleus	
YBL074C	AAR2	tagged	visualized	7330	cytoplasm,nucleus	
YDR508C	GNP1	tagged	visualized	10600	ER,cell periphery	
YNL153C	GIM3	tagged	visualized	7470	cytoplasm	
YPL155C	KIP2	tagged	visualized	656	spindle pole,microtubule	
YBR263W	SHM1	tagged	visualized	17700	mitochondrion	
YLR130C	ZRT2	tagged	visualized	technical problem	ER	
YDR275W	BSC2	tagged	visualized	922	lipid particle	
YGR121C	MEP1	tagged	visualized	technical problem	cell periphery	
YJL178C	ETF1	tagged	visualized	8970	punctate composite	
YGL067W	NPY1	tagged	visualized	846	cytoplasm,nucleus	
YBR082C	UBC4	tagged	visualized	13500	cytoplasm,nucleus	
YLR354C	TAL1	tagged	visualized	53000	nucleus	
YNL147W	LSM7	tagged	visualized	3070	cytoplasm	
YKL016C	ATP7	tagged	visualized	6820	mitochondrion	
YBL022C	PIM1	tagged	visualized	14500	mitochondrion	
YBR185C	MBA1	tagged	visualized	2720	mitochondrion	
YML029W	USA1	tagged	visualized	1890	ambiguous	
YNL024C		tagged	visualized	1760	cytoplasm	
YPR129W	SCD6	tagged	visualized	1280	cytoplasm	
YOR076C	SKI7	tagged	visualized	233	ambiguous	
YER095W	RAD51	tagged	visualized	6960	cytoplasm,nucleus	
YJR067C	YAE1	tagged	visualized	1500	cytoplasm,nucleus	
YIL106W	MOB1	tagged	visualized	5020	cytoplasm,spindle pole	
YGL004C	RPN14	tagged	visualized	2210	cytoplasm	
YML013W	SEL1	tagged	visualized	12600	ER	
YIL083C		tagged	visualized	3170	cytoplasm,nucleus	
YBR179C	FZO1	tagged	visualized	1010	mitochondrion	
YLR327C		tagged	visualized	504	cytoplasm,nucleus	
YMR190C	SGS1	tagged	visualized	not visualized	cytoplasm,nucleus	
YOR234C	RPL33B	tagged	visualized	65600	cytoplasm	
YDR472W	TRS31	tagged	visualized	8350	late Golgi	
YPL231W	FAS2	tagged	visualized	17000	cytoplasm	
YGL070C	RPB9	tagged	visualized	2440	nucleus	
YMR098C		tagged	visualized	2430	mitochondrion	
YOR095C	RKI1	tagged	visualized	5680	cytoplasm,nucleus	
YNL121C	TOM70	tagged	visualized	45300	mitochondrion	
YLR166C	SEC10	tagged	visualized	2340	ambiguous,bud neck,cell periphery,bud	
YFL017W-A	SMX2	tagged	visualized	1400	nucleus	
YIR012W	SQT1	tagged	visualized	19700	cytoplasm,nucleus	
YGR215W	RSM27	tagged	visualized	not visualized	mitochondrion	
YNL312W	RFA2	tagged	visualized	6080	nucleus	
YLR093C	NYV1	tagged	visualized	1890	vacuole	
YKL210W	UBA1	tagged	visualized	17700	cytoplasm,nucleus	
YHR015W	MIP6	tagged	visualized	98.9	cytoplasm	
YHL034C	SBP1	tagged	visualized	12800	cytoplasm	
YNL183C	NPR1	tagged	visualized	284	cytoplasm	
YOL061W	PRS5	tagged	visualized	3310	cytoplasm	
YLL002W	RTT109	tagged	visualized	1140	nucleus	
YNL221C	POP1	tagged	visualized	846	cytoplasm,nucleus	
YER110C	KAP123	tagged	visualized	38300	cytoplasm,nucleus	
YJL148W	RPA34	tagged	visualized	3360	nucleolus	
YML001W	YPT7	tagged	visualized	5530	cytoplasm,nucleus	
YLR129W	DIP2	tagged	visualized	9620	cytoplasm,nucleus	
YJL074C	SMC3	tagged	visualized	2660	nucleus	
YKR023W		tagged	visualized	1710	cytoplasm	
YFR053C	HXK1	tagged	visualized	40800	cytoplasm	
YBR215W	HPC2	tagged	visualized	238	nucleus	
YBL025W	RRN10	tagged	visualized	low signal	nucleolus	
YOR084W		tagged	visualized	2350	ambiguous	
YHL021C		tagged	visualized	5800	mitochondrion	
YDR370C		tagged	visualized	1040	cytoplasm	
YPR144C	NOC4	tagged	visualized	1630	nucleus	
YMR276W	DSK2	tagged	visualized	3930	cytoplasm,nucleus	
YOL111C		tagged	visualized	6510	cytoplasm	
YER080W		tagged	visualized	8200	mitochondrion	
YOR217W	RFC1	tagged	visualized	2360	nucleus	
YPR052C	NHP6A	tagged	visualized	3870	nucleus	
YGL010W		tagged	visualized	486	ER	
YKL122C	SRP21	tagged	visualized	3400	ER	
YAL056W	GPB2	tagged	visualized	low signal	cytoplasm,mitochondrion	
YOR359W	VTS1	tagged	visualized	3200	cytoplasm	
YOR167C	RPS28A	tagged	visualized	94500	cytoplasm	
YNR040W		tagged	visualized	1140	mitochondrion	
YOL072W	THP1	tagged	visualized	1140	nuclear periphery	
YNL086W		tagged	visualized	195	endosome	
YBR002C	RER2	tagged	visualized	8970	ER	
YJR130C	STR2	tagged	visualized	2070	cytoplasm,nucleus	
YEL040W	UTR2	tagged	visualized	technical problem	ER	
YFL034C-A	RPL22B	tagged	visualized	74700	cytoplasm	
YPL048W	CAM1	tagged	visualized	60900	cytoplasm	
YGL082W		tagged	visualized	7620	cytoplasm,nucleus	
YDR221W		tagged	visualized	9760	ER	
YHR175W	CTR2	tagged	visualized	technical problem	ER	
YDR168W	CDC37	tagged	visualized	10200	cytoplasm	
YJL203W	PRP21	tagged	visualized	2490	nucleus	
YPL214C	THI6	tagged	visualized	technical problem	cytoplasm,punctate composite	
YOR131C		tagged	visualized	396	cytoplasm,nucleus	
YNL227C		tagged	visualized	2310	cytoplasm	
YGR250C		tagged	visualized	1910	cytoplasm	
YJR031C	GEA1	tagged	visualized	2940	Golgi	
YBR205W	KTR3	tagged	visualized	704	vacuole	
YHL017W		tagged	visualized	14600	late Golgi	
YDL184C	RPL41A	tagged	visualized	11900	cytoplasm	
YJL143W	TIM17	tagged	visualized	1210	cytoplasm,nucleus	
YKL033W		tagged	visualized	721	cytoplasm	
YDL028C	MPS1	tagged	visualized	low signal	bud neck	
YJR053W	BFA1	tagged	visualized	1380	spindle pole	
YGR203W		tagged	visualized	2310	cytoplasm,nucleus	
YPL111W	CAR1	tagged	visualized	42800	cytoplasm,nucleus	
YDR122W	KIN1	tagged	visualized	279	cytoplasm	
YMR301C	ATM1	tagged	visualized	3250	mitochondrion	
YCR048W	ARE1	tagged	visualized	technical problem	ER	
YOR091W		tagged	visualized	4220	cytoplasm	
YDR056C		tagged	visualized	1600	ER	
YMR105C	PGM2	tagged	visualized	3790	cytoplasm,nucleus	
YBL029W		tagged	visualized	low signal	cytoplasm,nucleus	
YER151C	UBP3	tagged	visualized	2210	cytoplasm	
YOR179C		tagged	visualized	1430	nucleus	
YBL028C		tagged	visualized	6210	nucleolus,nucleus	
YLR163C	MAS1	tagged	visualized	1360	mitochondrion	
YPR010C	RPA135	tagged	visualized	14100	nucleolus	
YPL087W	YDC1	tagged	visualized	not visualized	vacuole	
YPR069C	SPE3	tagged	visualized	not visualized	cytoplasm,nucleus	
YNL141W	AAH1	tagged	visualized	20700	cytoplasm,nucleus	
YGR007W	MUQ1	tagged	visualized	4700	cytoplasm,nucleus	
YBR034C	HMT1	tagged	visualized	37600	cytoplasm,nucleus	
YPR090W		tagged	visualized	3690	late Golgi	
YGL247W	BRR6	tagged	visualized	125	nuclear periphery	
YER169W	RPH1	tagged	visualized	2230	nucleus	
YPL061W	ALD6	tagged	visualized	135000	cytoplasm,nucleus	
YOL041C	NOP12	tagged	visualized	5910	nucleolus	
YLR442C	SIR3	tagged	visualized	1400	nuclear periphery	
YDR141C	DOP1	tagged	visualized	2700	punctate composite,early Golgi	
YJR035W	RAD26	tagged	visualized	low signal	cytoplasm,nucleus	
YMR242C	RPL20A	tagged	visualized	54300	cytoplasm	
YJL078C	PRY3	tagged	visualized	not visualized	ER	
YDR258C	HSP78	tagged	visualized	2990	mitochondrion	
YLR052W	IES3	tagged	visualized	2280	nucleus	
YPR070W	MED1	tagged	visualized	4670	nucleus	
YGL040C	HEM2	tagged	visualized	11600	cytoplasm,nucleus	
YFL034C-B	MOB2	tagged	visualized	2250	cytoplasm,cell periphery	
YDR189W	SLY1	tagged	visualized	5780	Golgi,early Golgi	
YER167W	BCK2	tagged	visualized	not visualized	cytoplasm,nucleus	
YAL011W	SWC1	tagged	visualized	1380	nucleus	
YJR056C		tagged	visualized	1890	cytoplasm,nucleus	
YDR398W	UTP5	tagged	visualized	33100	nucleolus	
YDR458C		tagged	visualized	1250	nuclear periphery	
YPR134W	MSS18	tagged	visualized	861	mitochondrion	
YEL024W	RIP1	tagged	visualized	not visualized	mitochondrion	
YDR299W	BFR2	tagged	visualized	15400	nucleolus	
YER031C	YPT31	tagged	visualized	5960	cytoplasm,nucleus	
YER092W	IES5	tagged	visualized	2280	nucleus	
YFR037C	RSC8	tagged	visualized	3380	nucleus	
YJR146W		tagged	visualized	952	cytoplasm,nucleus	
YMR218C	TRS130	tagged	visualized	432	late Golgi	
YIL050W	PCL7	tagged	visualized	3390	cytoplasm	
YGR010W	NMA2	tagged	visualized	1430	cytoplasm,nucleus	
YAL027W		tagged	visualized	1170	nucleus	
YNL108C		tagged	visualized	1950	cytoplasm,nucleus	
YER061C	CEM1	tagged	visualized	1660	mitochondrion	
YBR080C	SEC18	tagged	visualized	5920	Golgi,early Golgi	
YDR127W	ARO1	tagged	visualized	6420	cytoplasm	
YPL065W	VPS28	tagged	visualized	1420	punctate composite	
YKR093W	PTR2	tagged	visualized	technical problem	cell periphery,vacuole	
YBR207W	FTH1	tagged	visualized	486	vacuolar membrane	
YER165W	PAB1	tagged	visualized	198000	cytoplasm	
YOL105C	WSC3	tagged	visualized	technical problem	cell periphery	
YFL046W		tagged	visualized	low signal	mitochondrion	
YPR047W	MSF1	tagged	visualized	1800	mitochondrion	
YOL101C		tagged	visualized	technical problem	ER	
YER116C	SLX8	tagged	visualized	technical problem	cytoplasm,nucleus	
YNR024W		tagged	visualized	1350	nucleus	
YDR524C	AGE1	tagged	visualized	396	cytoplasm	
YFR019W	FAB1	tagged	visualized	149	vacuolar membrane	
YKR014C	YPT52	tagged	visualized	9380	cytoplasm,nucleus	
YBR055C	PRP6	tagged	visualized	2250	cytoplasm,nucleus	
YEL044W	IES6	tagged	visualized	1720	nucleus	
YIL136W	OM45	tagged	visualized	6490	mitochondrion	
YNL326C		tagged	visualized	2130	vacuole	
YNL283C	WSC2	tagged	visualized	low signal	cell periphery	
YOR052C		tagged	visualized	9520	nucleus	
YHR058C	MED6	tagged	visualized	4820	cytoplasm,nucleus	
YDR352W		tagged	visualized	6350	vacuolar membrane	
YIL009W	FAA3	tagged	visualized	6440	cell periphery	
YML104C	MDM1	tagged	visualized	784	ambiguous	
YPR049C	CVT9	tagged	visualized	85.5	punctate composite	
YNR017W	MAS6	tagged	visualized	1440	mitochondrion	
YDL058W	USO1	tagged	visualized	2330	punctate composite	
YGR061C	ADE6	tagged	visualized	40800	cytoplasm	
YNL008C	ASI3	tagged	visualized	low signal	nuclear periphery	
YJR149W		tagged	visualized	172	cytoplasm	
YJL066C	MPM1	tagged	visualized	3390	ambiguous,mitochondrion	
YNL072W	RNH35	tagged	visualized	623	cytoplasm,nucleus	
YBR112C	CYC8	tagged	visualized	3890	nucleus	
YNL287W	SEC21	tagged	visualized	77900	Golgi,early Golgi	
YPR017C	DSS4	tagged	visualized	1500	cytoplasm,nucleus	
YDR247W	VHS1	tagged	visualized	784	cytoplasm	
YBR253W	SRB6	tagged	visualized	2180	nucleus	
YDR320C-A	DAD4	tagged	visualized	967	spindle pole	
YPL014W		tagged	visualized	technical problem	cytoplasm,nucleus	
YDL139C	SCM3	tagged	visualized	556	cytoplasm,nucleus	
YKL074C	MUD2	tagged	visualized	4170	cytoplasm,nucleus	
YGL029W	CGR1	tagged	visualized	2340	nucleus	
YDR523C	SPS1	tagged	visualized	not visualized	cytoplasm,nucleus	
YML055W	SPC2	tagged	visualized	4890	ER	
YLR094C	GIS3	tagged	visualized	1050	cytoplasm,nucleus	
YPR097W		tagged	visualized	3080	ambiguous	
YGR084C	MRP13	tagged	visualized	16000	mitochondrion	
YGR082W	TOM20	tagged	visualized	5680	mitochondrion	
YBL055C		tagged	visualized	1460	cytoplasm	
YEL038W	UTR4	tagged	visualized	2850	cytoplasm,nucleus	
YOR248W	TOS11	tagged	visualized	not visualized	vacuole	
YBR181C	RPS6B	tagged	visualized	38800	cytoplasm	
YGL147C	RPL9A	tagged	visualized	52400	cytoplasm	
YNL218W	MGS1	tagged	visualized	1180	cytoplasm,nucleus	
YKR066C	CCP1	tagged	visualized	6730	mitochondrion	
YKL027W		tagged	visualized	1170	mitochondrion	
YBR269C		tagged	visualized	not visualized	mitochondrion	
YLR422W		tagged	visualized	238	cytoplasm	
YPL117C	IDI1	tagged	visualized	25500	cytoplasm,nucleus	
YCL026C-A	FRM2	tagged	visualized	not visualized	cytoplasm,nucleus	
YKL072W	STB6	tagged	visualized	211	ambiguous	
YGR081C		tagged	visualized	3670	nucleolus,nucleus	
YMR049C	ERB1	tagged	visualized	2680	nucleolus,nucleus	
YDR497C	ITR1	tagged	visualized	technical problem	cell periphery,vacuole	
YPR173C	VPS4	tagged	visualized	5350	endosome	
YDL182W	LYS20	tagged	visualized	28100	nucleus	
YCR083W	TRX3	tagged	visualized	1010	mitochondrion	
YBL034C	STU1	tagged	visualized	521	ambiguous,spindle pole	
YJR049C	UTR1	tagged	visualized	5040	cytoplasm,nucleus	
YNL336W	COS1	tagged	visualized	1730	vacuole	
YDL107W	MSS2	tagged	visualized	736	mitochondrion	
YJL025W	RRN7	tagged	visualized	398	nucleolus	
YMR196W		tagged	visualized	2220	cytoplasm	
YNL006W	LST8	tagged	visualized	589	punctate composite	
YIL019W		tagged	visualized	not visualized	cytoplasm,nucleus	
YBR143C	SUP45	tagged	visualized	13100	cytoplasm	
YIL057C		tagged	visualized	5530	cytoplasm	
YNL306W	MRPS18	tagged	visualized	5300	mitochondrion	
YDL046W	NPC2	tagged	visualized	2840	vacuole	
YHR008C	SOD2	tagged	visualized	10900	mitochondrion	
YPL169C	MEX67	tagged	visualized	2830	nuclear periphery	
YNL111C	CYB5	tagged	visualized	5390	ER	
YJL177W	RPL17B	tagged	visualized	21100	cytoplasm	
YPL161C	BEM4	tagged	visualized	6330	cytoplasm,nucleus	
YKL129C	MYO3	tagged	visualized	155	cytoplasm,actin	
YAL009W	SPO7	tagged	visualized	861	nucleus	
YML064C	TEM1	tagged	visualized	573	punctate composite,spindle pole	
YDR332W		tagged	visualized	172	mitochondrion	
YOR261C	RPN8	tagged	visualized	19800	cytoplasm,nucleus	
YOR226C	ISU2	tagged	visualized	3420	mitochondrion	
YOR243C	PUS7	tagged	visualized	4150	nucleus	
YDR347W	MRP1	tagged	visualized	2840	mitochondrion	
YEL039C	CYC7	tagged	visualized	1310	cytoplasm	
YHR104W	GRE3	tagged	visualized	12900	cytoplasm,nucleus	
YDR135C	YCF1	tagged	visualized	396	vacuolar membrane	
YDR001C	NTH1	tagged	visualized	1840	cytoplasm	
YKR026C	GCN3	tagged	visualized	8970	cytoplasm	
YPR190C	RPC82	tagged	visualized	2520	cytoplasm,nucleus	
YPL120W	VPS30	tagged	visualized	2490	vacuole	
YBL052C	SAS3	tagged	visualized	low signal	nucleus	
YPL270W	MDL2	tagged	visualized	3390	mitochondrion	
YNL200C		tagged	visualized	1380	cytoplasm	
YPL040C	ISM1	tagged	visualized	1270	mitochondrion	
YFR047C	BNA6	tagged	visualized	2660	cytoplasm,nucleus	
YER027C	GAL83	tagged	visualized	3590	cytoplasm	
YJR112W	NNF1	tagged	visualized	2070	spindle pole	
YBR001C	NTH2	tagged	visualized	2500	cytoplasm,mitochondrion	
YPL127C	HHO1	tagged	visualized	6560	nucleus	
YDR238C	SEC26	tagged	visualized	26000	Golgi,early Golgi	
YDR473C	PRP3	tagged	visualized	432	nucleus	
YGR206W		tagged	visualized	752	endosome	
YMR209C		tagged	visualized	981	ambiguous	
YJL183W	MNN11	tagged	visualized	3480	Golgi	
YML124C	TUB3	tagged	visualized	12300	cytoplasm,nucleus,spindle pole	
YDR076W	RAD55	tagged	visualized	1050	cytoplasm,nucleus	
YDR084C	TVP23	tagged	visualized	1040	punctate composite,early Golgi,late Golgi	
YNL124W	NAF1	tagged	visualized	1810	nucleus	
YDR322C-A	TIM11	tagged	visualized	4590	mitochondrion	
YIL121W	QDR2	tagged	visualized	not visualized	cell periphery	
YLR073C		tagged	visualized	377	endosome	
YOL143C	RIB4	tagged	visualized	3260	cytoplasm,nucleus	
YJL021C		tagged	visualized	2610	actin	
YFL034W		tagged	visualized	1110	ambiguous	
YLR200W	YKE2	tagged	visualized	784	cytoplasm	
YLR345W		tagged	visualized	3380	cytoplasm	
YHR129C	ARP1	tagged	visualized	1580	ambiguous	
YMR286W	MRPL33	tagged	visualized	1200	mitochondrion	
YLR221C	RSA3	tagged	visualized	2940	nucleolus	
YKL164C	PIR1	tagged	visualized	1170	cytoplasm,nucleus	
YBL084C	CDC27	tagged	visualized	593	cytoplasm,nucleus	
YKR046C	PET10	tagged	visualized	2160	lipid particle	
YOR115C	TRS33	tagged	visualized	not visualized	punctate composite	
YNL177C	MRPL22	tagged	visualized	1810	mitochondrion	
YDL087C	LUC7	tagged	visualized	2270	nucleus	
YMR024W	MRPL3	tagged	visualized	300	mitochondrion	
YPR149W	NCE102	tagged	visualized	technical problem	punctate composite	
YJR137C	ECM17	tagged	visualized	2900	cytoplasm	
YIL135C	VHS2	tagged	visualized	2180	cytoplasm	
YDR173C	ARG82	tagged	visualized	2720	cytoplasm,nucleus	
YDL234C	GYP7	tagged	visualized	2460	cytoplasm	
YFR021W	AUT10	tagged	visualized	1560	ambiguous	
YGR186W	TFG1	tagged	visualized	1920	nucleus	
YOR298C-A	MBF1	tagged	visualized	47300	cytoplasm	
YKL126W	YPK1	tagged	visualized	2950	cytoplasm	
YOR329C	SCD5	tagged	visualized	704	ambiguous	
YBR200W	BEM1	tagged	visualized	6490	ambiguous,bud neck,cell periphery,bud	
YKR079C		tagged	visualized	2710	cytoplasm,nucleus	
YNL084C	END3	tagged	visualized	2610	punctate composite	
YMR029C	FAR8	tagged	visualized	4010	ER,ambiguous,cytoplasm	
YNR014W		tagged	visualized	2360	cytoplasm	
YNL149C		tagged	visualized	not visualized	ER	
YMR225C	MRPL44	tagged	visualized	1560	mitochondrion	
YCR011C	ADP1	tagged	visualized	339	ER	
YJR024C		tagged	visualized	952	cytoplasm	
YDR481C	PHO8	tagged	visualized	3060	vacuole	
YMR052W	FAR3	tagged	visualized	1540	ER	
YFR016C		tagged	visualized	704	ambiguous,cytoplasm,bud	
YHR169W	DBP8	tagged	visualized	3500	nucleolus,nucleus	
YOR038C	HIR2	tagged	visualized	922	nucleus	
YLR146C	SPE4	tagged	visualized	3870	cytoplasm	
YPL009C		tagged	visualized	7700	cytoplasm	
YNL300W	TOS6	tagged	visualized	1480	ER	
YPL183W-A	GON5	tagged	visualized	538	mitochondrion	
YML106W	URA5	tagged	visualized	39300	cytoplasm,nucleus	
YER177W	BMH1	tagged	visualized	158000	cytoplasm	
YDL168W	SFA1	tagged	visualized	8370	cytoplasm	
YOR271C		tagged	visualized	9290	mitochondrion	
YKR036C	CAF4	tagged	visualized	589	mitochondrion	
YFR052W	RPN12	tagged	visualized	9890	nucleus	
YBR272C	HSM3	tagged	visualized	468	cytoplasm	
YPL104W	MSD1	tagged	visualized	1550	mitochondrion	
YCR079W		tagged	visualized	432	mitochondrion	
YPL008W	CHL1	tagged	visualized	98.9	cytoplasm,nucleus	
YDR211W	GCD6	tagged	visualized	33800	cytoplasm	
YNL143C		tagged	visualized	238	cytoplasm,nucleus	
YBL063W	KIP1	tagged	visualized	56.9	microtubule	
