orfid	yORF	gene name	GFP tagged?	GFP visualized?	abundance	error	
595	YOR018W	ROD1	tagged	visualized	386	NA	
808	YIL078W	THS1	tagged	visualized	42600	4750.0	
2701	YGR180C	RNR4	tagged	visualized	88900	NA	
2256	YNL152W		tagged	visualized	technical problem	NA	
1018	YLR299W	ECM38	tagged	visualized	672	NA	
1102	YDR477W	SNF1	tagged	visualized	589	NA	
4626	YJL169W		tagged	visualized	not visualized	NA	
2647	YNL007C	SIS1	tagged	visualized	20300	NA	
5180	YLR388W	RPS29A	tagged	visualized	6490	NA	
2289	YGR214W	RPS0A	tagged	visualized	93700	NA	
5887	YBR159W		tagged	visualized	41900	NA	
1167	YNL061W	NOP2	tagged	visualized	18700	2460.0	
3154	YLR132C		tagged	visualized	486	NA	
220	YFR031C	SMC2	tagged	visualized	3290	NA	
1783	YHR030C	SLT2	tagged	visualized	3230	NA	
366	YDR379W	RGA2	tagged	visualized	254	NA	
5091	YDR363W-A	SEM1	tagged	visualized	5590	NA	
3498	YBR107C	IML3	tagged	visualized	125	NA	
2864	YJR070C		tagged	visualized	39900	NA	
2795	YBR046C	ZTA1	tagged	visualized	not visualized	NA	
5215	YLL040C	VPS13	tagged	visualized	125	NA	
4446	YDR511W	ACN9	tagged	visualized	195	NA	
171	YDR293C	SSD1	tagged	visualized	1100	NA	
2175	YDR528W	HLR1	tagged	visualized	259	NA	
123	YJL042W	MHP1	tagged	visualized	279	NA	
1344	YGR088W	CTT1	tagged	visualized	319	NA	
3483	YKL152C	GPM1	tagged	visualized	172000	NA	
318	YDR310C	SUM1	tagged	visualized	149	NA	
2945	YNL063W		tagged	visualized	13200	NA	
4340	YCL056C		tagged	visualized	not visualized	NA	
2734	YDR411C		tagged	visualized	technical problem	NA	
2028	YBR279W	PAF1	tagged	visualized	1040	NA	
3760	YML053C		tagged	visualized	656	NA	
1214	YML057W	CMP2	tagged	visualized	7110	NA	
2211	YLR423C	APG17	tagged	visualized	358	NA	
937	YLR117C	CLF1	tagged	visualized	2140	204.0	
1963	YDR364C	CDC40	tagged	visualized	1630	NA	
1362	YKL127W	PGM1	tagged	visualized	9820	NA	
1279	YGR068C		tagged	visualized	1970	NA	
6102	YLR268W	SEC22	tagged	visualized	396	NA	
2516	YDL134C	PPH21	tagged	visualized	5620	NA	
3414	YGR248W	SOL4	tagged	visualized	4320	NA	
4034	YBR137W		tagged	visualized	1200	NA	
2325	YHR201C	PPX1	tagged	visualized	3170	NA	
2939	YML073C	RPL6A	tagged	visualized	37100	NA	
5980	YPR139C	VPS66	tagged	visualized	6630	NA	
5735	YPL259C	APM1	tagged	visualized	4420	NA	
5930	YDR033W	MRH1	tagged	visualized	182000	NA	
3428	YLR194C		tagged	visualized	688	NA	
1719	YDR132C		tagged	visualized	172	NA	
757	YMR179W	SPT21	tagged	visualized	low signal	NA	
693	YGR200C	ELP2	tagged	visualized	6090	NA	
5562	YBR015C	MNN2	tagged	visualized	6730	NA	
5914	YMR060C	TOM37	tagged	visualized	1580	NA	
514	YOR058C	ASE1	tagged	visualized	556	NA	
448	YPR135W	CTF4	tagged	visualized	3280	NA	
57	YOR341W	RPA190	tagged	visualized	2840	NA	
5150	YHR143W-A	RPC10	tagged	visualized	907	NA	
3253	YKL023W		tagged	visualized	1730	NA	
5669	YHR007C	ERG11	tagged	visualized	73200	NA	
1083	YIL046W	MET30	tagged	visualized	217	NA	
3774	YBR067C	TIP1	tagged	visualized	35600	NA	
5995	YPL232W	SSO1	tagged	visualized	450	NA	
3298	YIL069C	RPS24B	tagged	visualized	6160	NA	
579	YMR031C		tagged	visualized	5570	NA	
2440	YCL016C	DCC1	tagged	visualized	1660	NA	
1002	YDR194C	MSS116	tagged	visualized	10300	NA	
3069	YNL156C	YIG2	tagged	visualized	3390	NA	
3973	YER112W	LSM4	tagged	visualized	3440	NA	
4137	YML098W	TAF13	tagged	visualized	2080	NA	
5163	YJL012C-A		tagged	visualized	8710	NA	
449	YDR069C	DOA4	tagged	visualized	428	NA	
873	YKR090W	PXL1	tagged	visualized	1310	NA	
383	YOR346W	REV1	tagged	visualized	521	NA	
3630	YOL102C	TPT1	tagged	visualized	672	NA	
5228	YLR342W	FKS1	tagged	visualized	technical problem	NA	
1654	YIL104C	SHQ1	tagged	visualized	7060	NA	
5074	YBR233W-A	DAD3	tagged	visualized	468	NA	
3706	YER063W	THO1	tagged	visualized	6580	NA	
236	YER013W	PRP22	tagged	visualized	907	NA	
2402	YNL001W	DOM34	tagged	visualized	1720	NA	
5489	YIL037C	PRM2	tagged	visualized	not visualized	NA	
3835	YER128W		tagged	visualized	967	NA	
301	YER033C	ZRG8	tagged	visualized	not visualized	NA	
2082	YBR236C	ABD1	tagged	visualized	not visualized	NA	
3108	YDR184C	ATC1	tagged	visualized	846	NA	
1197	YLR401C	DUS3	tagged	visualized	3630	NA	
1607	YDL159W	STE7	tagged	visualized	672	NA	
463	YKR021W		tagged	visualized	414	NA	
3659	YDR067C		tagged	visualized	low signal	NA	
4292	YER044C	ERG28	tagged	visualized	377	NA	
3614	YBR111C	YSA1	tagged	visualized	7330	NA	
1542	YER025W	GCD11	tagged	visualized	20800	2840.0	
743	YHR197W	RIX1	tagged	visualized	7820	NA	
