orfid	yORF	gene name	GFP tagged?	GFP visualized?	abundance	error	
3532	YGR136W	LSB1	tagged	visualized	not visualized	NA	
3158	YOR385W		tagged	visualized	504	NA	
1627	YPL122C	TFB2	tagged	visualized	8900	1880.0	
1397	YKR072C	SIS2	tagged	visualized	3750	NA	
6218	YER087C-B	SBH1	tagged	visualized	217	NA	
1106	YOR181W	LAS17	tagged	visualized	8580	NA	
3679	YOL135C	MED7	tagged	visualized	7600	NA	
2017	YDR515W	SLF1	tagged	visualized	861	NA	
2957	YDL236W	PHO13	tagged	visualized	2980	NA	
2575	YPL096W	PNG1	tagged	visualized	4850	NA	
5501	YDR484W	SAC2	tagged	visualized	3130	NA	
5845	YPL057C	SUR1	tagged	visualized	technical problem	NA	
501	YOR129C		tagged	visualized	768	NA	
5324	YLR138W	NHA1	tagged	visualized	1480	NA	
3288	YLR150W	STM1	tagged	visualized	46800	NA	
859	YLR006C	SSK1	tagged	visualized	1200	NA	
5780	YIR004W	DJP1	tagged	visualized	8970	NA	
5634	YJR131W	MNS1	tagged	visualized	8260	NA	
2827	YOR142W	LSC1	tagged	visualized	18400	NA	
706	YLR397C	AFG2	tagged	visualized	799	NA	
989	YMR032W	HOF1	tagged	visualized	195	NA	
3778	YER079W		tagged	visualized	1890	NA	
1041	YOR147W	MDM32	tagged	visualized	10400	NA	
232	YDR128W		tagged	visualized	556	NA	
2651	YIL122W	POG1	tagged	visualized	736	NA	
771	YLL008W	DRS1	tagged	visualized	not visualized	NA	
4061	YBR047W		tagged	visualized	2160	NA	
1734	YGR256W	GND2	tagged	visualized	556	NA	
4875	YLL014W		tagged	visualized	low signal	NA	
2888	YDR460W	TFB3	tagged	visualized	3050	NA	
4158	YJR055W	HIT1	tagged	visualized	2730	NA	
1952	YDR363W	ESC2	tagged	visualized	1890	NA	
2842	YDL205C	HEM3	tagged	visualized	8480	1080.0	
371	YAL035W	FUN12	tagged	visualized	13400	NA	
3440	YGL011C	SCL1	tagged	visualized	15200	NA	
2268	YNL181W		tagged	visualized	13900	NA	
974	YPL089C	RLM1	tagged	visualized	736	NA	
3258	YNL162W	RPL42A	tagged	visualized	13600	NA	
1462	YKL089W	MIF2	tagged	visualized	465	38.1	
3717	YOR258W	HNT3	tagged	visualized	396	NA	
167	YMR128W	ECM16	tagged	visualized	2000	NA	
2338	YJL138C	TIF2	tagged	visualized	technical problem	NA	
3364	YBL064C	PRX1	tagged	visualized	4510	NA	
1612	YCR053W	THR4	tagged	visualized	26000	NA	
420	YJR089W	BIR1	tagged	visualized	not visualized	NA	
5233	YJL039C	NUP192	tagged	visualized	2520	NA	
6128	YNL214W	PEX17	tagged	visualized	656	NA	
3931	YDL064W	UBC9	tagged	visualized	2600	NA	
3664	YMR095C	SNO1	tagged	visualized	low signal	NA	
2382	YDR197W	CBS2	tagged	visualized	2140	NA	
1228	YJL201W	ECM25	tagged	visualized	1750	NA	
2146	YDL066W	IDP1	tagged	visualized	not visualized	NA	
5176	YHR072W-A	NOP10	tagged	visualized	not visualized	NA	
1480	YBR223C	TDP1	tagged	visualized	2130	NA	
2623	YBL074C	AAR2	tagged	visualized	7330	500.0	
5485	YDR508C	GNP1	tagged	visualized	10600	NA	
4516	YNL153C	GIM3	tagged	visualized	7470	NA	
876	YPL155C	KIP2	tagged	visualized	656	NA	
1381	YBR263W	SHM1	tagged	visualized	17700	NA	
5795	YLR130C	ZRT2	tagged	visualized	technical problem	NA	
3586	YDR275W	BSC2	tagged	visualized	922	NA	
5715	YGR121C	MEP1	tagged	visualized	technical problem	NA	
3916	YJL178C	ETF1	tagged	visualized	8970	NA	
2414	YGL067W	NPY1	tagged	visualized	846	NA	
4031	YBR082C	UBC4	tagged	visualized	13500	NA	
2790	YLR354C	TAL1	tagged	visualized	53000	NA	
4312	YNL147W	LSM7	tagged	visualized	3070	NA	
6157	YKL016C	ATP7	tagged	visualized	6820	NA	
5289	YBL022C	PIM1	tagged	visualized	14500	NA	
6017	YBR185C	MBA1	tagged	visualized	2720	NA	
592	YML029W	USA1	tagged	visualized	1890	NA	
3494	YNL024C		tagged	visualized	1760	NA	
2668	YPR129W	SCD6	tagged	visualized	1280	NA	
786	YOR076C	SKI7	tagged	visualized	233	NA	
2305	YER095W	RAD51	tagged	visualized	6960	NA	
4377	YJR067C	YAE1	tagged	visualized	1500	NA	
2720	YIL106W	MOB1	tagged	visualized	5020	NA	
2207	YGL004C	RPN14	tagged	visualized	2210	NA	
1293	YML013W	SEL1	tagged	visualized	12600	NA	
2553	YIL083C		tagged	visualized	3170	NA	
5381	YBR179C	FZO1	tagged	visualized	1010	NA	
5102	YLR327C		tagged	visualized	504	NA	
102	YMR190C	SGS1	tagged	visualized	not visualized	NA	
3211	YOR234C	RPL33B	tagged	visualized	65600	NA	
6006	YDR472W	TRS31	tagged	visualized	8350	NA	
37	YPL231W	FAS2	tagged	visualized	17000	NA	
4623	YGL070C	RPB9	tagged	visualized	2440	NA	
1179	YMR098C		tagged	visualized	2430	NA	
3394	YOR095C	RKI1	tagged	visualized	5680	NA	
5527	YNL121C	TOM70	tagged	visualized	45300	NA	
5371	YLR166C	SEC10	tagged	visualized	2340	NA	
5128	YFL017W-A	SMX2	tagged	visualized	1400	NA	
2130	YIR012W	SQT1	tagged	visualized	19700	5170.0	
4834	YGR215W	RSM27	tagged	visualized	not visualized	NA	
2997	YNL312W	RFA2	tagged	visualized	6080	NA	
3058	YLR093C	NYV1	tagged	visualized	1890	NA	
355	YKL210W	UBA1	tagged	visualized	17700	NA	
1022	YHR015W	MIP6	tagged	visualized	98.9	NA	
3111	YHL034C	SBP1	tagged	visualized	12800	NA	
689	YNL183C	NPR1	tagged	visualized	284	NA	
1715	YOL061W	PRS5	tagged	visualized	3310	NA	
2085	YLL002W	RTT109	tagged	visualized	1140	NA	
534	YNL221C	POP1	tagged	visualized	846	NA	
265	YER110C	KAP123	tagged	visualized	38300	NA	
3602	YJL148W	RPA34	tagged	visualized	3360	NA	
6113	YML001W	YPT7	tagged	visualized	5530	NA	
436	YLR129W	DIP2	tagged	visualized	9620	NA	
183	YJL074C	SMC3	tagged	visualized	2660	NA	
1527	YKR023W		tagged	visualized	1710	NA	
1780	YFR053C	HXK1	tagged	visualized	40800	NA	
1145	YBR215W	HPC2	tagged	visualized	238	NA	
4328	YBL025W	RRN10	tagged	visualized	low signal	NA	
2398	YOR084W		tagged	visualized	2350	NA	
1895	YHL021C		tagged	visualized	5800	NA	
2052	YDR370C		tagged	visualized	1040	NA	
1446	YPR144C	NOC4	tagged	visualized	1630	NA	
2492	YMR276W	DSK2	tagged	visualized	3930	NA	
3763	YOL111C		tagged	visualized	6510	NA	
1128	YER080W		tagged	visualized	8200	NA	
551	YOR217W	RFC1	tagged	visualized	2360	130.0	
5085	YPR052C	NHP6A	tagged	visualized	3870	NA	
6156	YGL010W		tagged	visualized	486	NA	
4134	YKL122C	SRP21	tagged	visualized	3400	NA	
574	YAL056W	GPB2	tagged	visualized	low signal	NA	
1577	YOR359W	VTS1	tagged	visualized	3200	NA	
5160	YOR167C	RPS28A	tagged	visualized	94500	NA	
3410	YNR040W		tagged	visualized	1140	NA	
1967	YOL072W	THP1	tagged	visualized	1140	NA	
5005	YNL086W		tagged	visualized	195	NA	
5999	YBR002C	RER2	tagged	visualized	8970	NA	
1088	YJR130C	STR2	tagged	visualized	2070	NA	
1880	YEL040W	UTR2	tagged	visualized	technical problem	NA	
3633	YFL034C-A	RPL22B	tagged	visualized	74700	NA	
2223	YPL048W	CAM1	tagged	visualized	60900	NA	
2431	YGL082W		tagged	visualized	7620	NA	
891	YDR221W		tagged	visualized	9760	NA	
3961	YHR175W	CTR2	tagged	visualized	technical problem	NA	
1658	YDR168W	CDC37	tagged	visualized	10200	NA	
3228	YJL203W	PRP21	tagged	visualized	2490	NA	
1496	YPL214C	THI6	tagged	visualized	technical problem	NA	
3710	YOR131C		tagged	visualized	396	NA	
1258	YNL227C		tagged	visualized	2310	NA	
704	YGR250C		tagged	visualized	1910	NA	
118	YJR031C	GEA1	tagged	visualized	2940	NA	
5811	YBR205W	KTR3	tagged	visualized	704	NA	
5665	YHL017W		tagged	visualized	14600	NA	
5211	YDL184C	RPL41A	tagged	visualized	11900	NA	
6174	YJL143W	TIM17	tagged	visualized	1210	NA	
338	YKL033W		tagged	visualized	721	NA	
739	YDL028C	MPS1	tagged	visualized	low signal	NA	
1340	YJR053W	BFA1	tagged	visualized	1380	NA	
4296	YGR203W		tagged	visualized	2310	NA	
2806	YPL111W	CAR1	tagged	visualized	42800	NA	
5305	YDR122W	KIN1	tagged	visualized	279	NA	
5470	YMR301C	ATM1	tagged	visualized	3250	483.0	
5541	YCR048W	ARE1	tagged	visualized	technical problem	NA	
2301	YOR091W		tagged	visualized	4220	NA	
3809	YDR056C		tagged	visualized	1600	NA	
1366	YMR105C	PGM2	tagged	visualized	3790	NA	
2459	YBL029W		tagged	visualized	low signal	NA	
468	YER151C	UBP3	tagged	visualized	2210	NA	
3969	YOR179C		tagged	visualized	1430	NA	
4908	YBL028C		tagged	visualized	6210	NA	
1917	YLR163C	MAS1	tagged	visualized	1360	108.0	
200	YPR010C	RPA135	tagged	visualized	14100	NA	
5934	YPL087W	YDC1	tagged	visualized	not visualized	NA	
3127	YPR069C	SPE3	tagged	visualized	not visualized	NA	
2684	YNL141W	AAH1	tagged	visualized	20700	NA	
2874	YGR007W	MUQ1	tagged	visualized	4700	NA	
2669	YBR034C	HMT1	tagged	visualized	37600	NA	
804	YPR090W		tagged	visualized	3690	NA	
3900	YGL247W	BRR6	tagged	visualized	125	NA	
674	YER169W	RPH1	tagged	visualized	2230	NA	
1700	YPL061W	ALD6	tagged	visualized	135000	NA	
1937	YOL041C	NOP12	tagged	visualized	5910	NA	
388	YLR442C	SIR3	tagged	visualized	1400	NA	
53	YDR141C	DOP1	tagged	visualized	2700	NA	
289	YJR035W	RAD26	tagged	visualized	low signal	NA	
4030	YMR242C	RPL20A	tagged	visualized	54300	NA	
518	YJL078C	PRY3	tagged	visualized	not visualized	NA	
639	YDR258C	HSP78	tagged	visualized	2990	NA	
3464	YLR052W	IES3	tagged	visualized	2280	NA	
1380	YPR070W	MED1	tagged	visualized	4670	NA	
2722	YGL040C	HEM2	tagged	visualized	11600	1210.0	
2860	YFL034C-B	MOB2	tagged	visualized	2250	NA	
5484	YDR189W	SLY1	tagged	visualized	5780	1600.0	
567	YER167W	BCK2	tagged	visualized	not visualized	NA	
1090	YAL011W	SWC1	tagged	visualized	1380	NA	
3579	YJR056C		tagged	visualized	1890	NA	
1071	YDR398W	UTP5	tagged	visualized	33100	NA	
1006	YDR458C		tagged	visualized	1250	NA	
3327	YPR134W	MSS18	tagged	visualized	861	NA	
6098	YEL024W	RIP1	tagged	visualized	not visualized	NA	
1511	YDR299W	BFR2	tagged	visualized	15400	NA	
6078	YER031C	YPT31	tagged	visualized	5960	NA	
4564	YER092W	IES5	tagged	visualized	2280	NA	
1416	YFR037C	RSC8	tagged	visualized	3380	341.0	
4713	YJR146W		tagged	visualized	952	NA	
272	YMR218C	TRS130	tagged	visualized	432	NA	
3188	YIL050W	PCL7	tagged	visualized	3390	NA	
2337	YGR010W	NMA2	tagged	visualized	1430	NA	
3363	YAL027W		tagged	visualized	1170	NA	
3310	YNL108C		tagged	visualized	1950	NA	
2053	YER061C	CEM1	tagged	visualized	1660	NA	
5428	YBR080C	SEC18	tagged	visualized	5920	1230.0	
70	YDR127W	ARO1	tagged	visualized	6420	NA	
3525	YPL065W	VPS28	tagged	visualized	1420	NA	
5558	YKR093W	PTR2	tagged	visualized	technical problem	NA	
5746	YBR207W	FTH1	tagged	visualized	486	NA	
1323	YER165W	PAB1	tagged	visualized	198000	48500.0	
5623	YOL105C	WSC3	tagged	visualized	technical problem	NA	
3793	YFL046W		tagged	visualized	low signal	NA	
1844	YPR047W	MSF1	tagged	visualized	1800	NA	
5948	YOL101C		tagged	visualized	technical problem	NA	
3272	YER116C	SLX8	tagged	visualized	technical problem	NA	
3985	YNR024W		tagged	visualized	1350	NA	
1799	YDR524C	AGE1	tagged	visualized	396	NA	
13	YFR019W	FAB1	tagged	visualized	149	NA	
6064	YKR014C	YPT52	tagged	visualized	9380	NA	
485	YBR055C	PRP6	tagged	visualized	2250	295.0	
4141	YEL044W	IES6	tagged	visualized	1720	NA	
5829	YIL136W	OM45	tagged	visualized	6490	NA	
5903	YNL326C		tagged	visualized	2130	NA	
5701	YNL283C	WSC2	tagged	visualized	low signal	NA	
4279	YOR052C		tagged	visualized	9520	NA	
3098	YHR058C	MED6	tagged	visualized	4820	NA	
2921	YDR352W		tagged	visualized	6350	NA	
909	YIL009W	FAA3	tagged	visualized	6440	NA	
249	YML104C	MDM1	tagged	visualized	784	NA	
215	YPR049C	CVT9	tagged	visualized	85.5	NA	
6082	YNR017W	MAS6	tagged	visualized	1440	NA	
5232	YDL058W	USO1	tagged	visualized	2330	NA	
135	YGR061C	ADE6	tagged	visualized	40800	NA	
990	YNL008C	ASI3	tagged	visualized	low signal	NA	
2284	YJR149W		tagged	visualized	172	NA	
3441	YJL066C	MPM1	tagged	visualized	3390	NA	
3010	YNL072W	RNH35	tagged	visualized	623	NA	
403	YBR112C	CYC8	tagged	visualized	3890	NA	
5341	YNL287W	SEC21	tagged	visualized	77900	NA	
6189	YPR017C	DSS4	tagged	visualized	1500	NA	
1921	YDR247W	VHS1	tagged	visualized	784	NA	
4638	YBR253W	SRB6	tagged	visualized	2180	NA	
5146	YDR320C-A	DAD4	tagged	visualized	967	NA	
2436	YPL014W		tagged	visualized	technical problem	NA	
3479	YDL139C	SCM3	tagged	visualized	556	NA	
1546	YKL074C	MUD2	tagged	visualized	4170	NA	
4656	YGL029W	CGR1	tagged	visualized	2340	NA	
1749	YDR523C	SPS1	tagged	visualized	not visualized	NA	
4046	YML055W	SPC2	tagged	visualized	4890	NA	
1684	YLR094C	GIS3	tagged	visualized	1050	NA	
306	YPR097W		tagged	visualized	3080	NA	
2757	YGR084C	MRP13	tagged	visualized	16000	NA	
6143	YGR082W	TOM20	tagged	visualized	5680	NA	
2200	YBL055C		tagged	visualized	1460	NA	
3531	YEL038W	UTR4	tagged	visualized	2850	NA	
5052	YOR248W	TOS11	tagged	visualized	not visualized	NA	
2635	YBR181C	RPS6B	tagged	visualized	38800	NA	
3947	YGL147C	RPL9A	tagged	visualized	52400	NA	
1275	YNL218W	MGS1	tagged	visualized	1180	NA	
2590	YKR066C	CCP1	tagged	visualized	6730	NA	
2018	YKL027W		tagged	visualized	1170	NA	
4484	YBR269C		tagged	visualized	not visualized	NA	
30	YLR422W		tagged	visualized	238	NA	
3171	YPL117C	IDI1	tagged	visualized	25500	NA	
3932	YCL026C-A	FRM2	tagged	visualized	not visualized	NA	
736	YKL072W	STB6	tagged	visualized	211	NA	
3779	YGR081C		tagged	visualized	3670	NA	
657	YMR049C	ERB1	tagged	visualized	2680	NA	
5577	YDR497C	ITR1	tagged	visualized	technical problem	NA	
5779	YPR173C	VPS4	tagged	visualized	5350	NA	
2147	YDL182W	LYS20	tagged	visualized	28100	NA	
4531	YCR083W	TRX3	tagged	visualized	1010	NA	
85	YBL034C	STU1	tagged	visualized	521	NA	
1526	YJR049C	UTR1	tagged	visualized	5040	NA	
5846	YNL336W	COS1	tagged	visualized	1730	NA	
2650	YDL107W	MSS2	tagged	visualized	736	NA	
1613	YJL025W	RRN7	tagged	visualized	398	110.0	
288	YMR196W		tagged	visualized	2220	NA	
3040	YNL006W	LST8	tagged	visualized	589	NA	
2690	YIL019W		tagged	visualized	not visualized	NA	
2070	YBR143C	SUP45	tagged	visualized	13100	NA	
4157	YIL057C		tagged	visualized	5530	NA	
3716	YNL306W	MRPS18	tagged	visualized	5300	NA	
4083	YDL046W	NPC2	tagged	visualized	2840	NA	
3601	YHR008C	SOD2	tagged	visualized	10900	NA	
1229	YPL169C	MEX67	tagged	visualized	2830	408.0	
4673	YNL111C	CYB5	tagged	visualized	5390	NA	
3159	YJL177W	RPL17B	tagged	visualized	21100	NA	
1107	YPL161C	BEM4	tagged	visualized	6330	NA	
166	YKL129C	MYO3	tagged	visualized	155	NA	
3381	YAL009W	SPO7	tagged	visualized	861	NA	
6047	YML064C	TEM1	tagged	visualized	573	NA	
925	YDR332W		tagged	visualized	172	NA	
2772	YOR261C	RPN8	tagged	visualized	19800	NA	
4224	YOR226C	ISU2	tagged	visualized	3420	NA	
973	YOR243C	PUS7	tagged	visualized	4150	NA	
2887	YDR347W	MRP1	tagged	visualized	2840	NA	
6205	YEL039C	CYC7	tagged	visualized	1310	NA	
2843	YHR104W	GRE3	tagged	visualized	12900	NA	
5248	YDR135C	YCF1	tagged	visualized	396	NA	
772	YDR001C	NTH1	tagged	visualized	1840	NA	
5969	YKR026C	GCN3	tagged	visualized	8970	NA	
1040	YPR190C	RPC82	tagged	visualized	2520	278.0	
5622	YPL120W	VPS30	tagged	visualized	2490	NA	
606	YBL052C	SAS3	tagged	visualized	low signal	NA	
5397	YPL270W	MDL2	tagged	visualized	3390	NA	
3495	YNL200C		tagged	visualized	1380	NA	
372	YPL040C	ISM1	tagged	visualized	1270	NA	
3096	YFR047C	BNA6	tagged	visualized	2660	NA	
2206	YER027C	GAL83	tagged	visualized	3590	NA	
3854	YJR112W	NNF1	tagged	visualized	2070	NA	
705	YBR001C	NTH2	tagged	visualized	2500	NA	
3395	YPL127C	HHO1	tagged	visualized	6560	NA	
5325	YDR238C	SEC26	tagged	visualized	26000	NA	
1865	YDR473C	PRP3	tagged	visualized	432	NA	
5021	YGR206W		tagged	visualized	752	NA	
1951	YMR209C		tagged	visualized	981	NA	
5794	YJL183W	MNN11	tagged	visualized	3480	NA	
1479	YML124C	TUB3	tagged	visualized	12300	NA	
2269	YDR076W	RAD55	tagged	visualized	1050	NA	
6127	YDR084C	TVP23	tagged	visualized	1040	NA	
1735	YNL124W	NAF1	tagged	visualized	1810	NA	
5069	YDR322C-A	TIM11	tagged	visualized	4590	NA	
5649	YIL121W	QDR2	tagged	visualized	not visualized	NA	
3869	YLR073C		tagged	visualized	377	NA	
4118	YOL143C	RIB4	tagged	visualized	3260	NA	
2554	YJL021C		tagged	visualized	2610	NA	
304	YFL034W		tagged	visualized	1110	NA	
4770	YLR200W	YKE2	tagged	visualized	784	NA	
1643	YLR345W		tagged	visualized	3380	NA	
2415	YHR129C	ARP1	tagged	visualized	1580	NA	
5103	YMR286W	MRPL33	tagged	visualized	1200	NA	
3695	YLR221C	RSA3	tagged	visualized	2940	NA	
2738	YKL164C	PIR1	tagged	visualized	1170	NA	
753	YBL084C	CDC27	tagged	visualized	593	88.0	
3210	YKR046C	PET10	tagged	visualized	2160	NA	
6032	YOR115C	TRS33	tagged	visualized	not visualized	NA	
2996	YNL177C	MRPL22	tagged	visualized	1810	NA	
3365	YDL087C	LUC7	tagged	visualized	2270	NA	
2381	YMR024W	MRPL3	tagged	visualized	300	NA	
6158	YPR149W	NCE102	tagged	visualized	technical problem	NA	
103	YJR137C	ECM17	tagged	visualized	2900	NA	
2084	YIL135C	VHS2	tagged	visualized	2180	NA	
2624	YDR173C	ARG82	tagged	visualized	2720	NA	
787	YDL234C	GYP7	tagged	visualized	2460	NA	
1698	YFR021W	AUT10	tagged	visualized	1560	NA	
805	YGR186W	TFG1	tagged	visualized	1920	NA	
5177	YOR298C-A	MBF1	tagged	visualized	47300	NA	
956	YKL126W	YPK1	tagged	visualized	2950	NA	
5370	YOR329C	SCD5	tagged	visualized	704	NA	
1447	YBR200W	BEM1	tagged	visualized	6490	NA	
591	YKR079C		tagged	visualized	2710	NA	
2667	YNL084C	END3	tagged	visualized	2610	NA	
1576	YMR029C	FAR8	tagged	visualized	4010	NA	
3762	YNR014W		tagged	visualized	2360	NA	
4515	YNL149C		tagged	visualized	not visualized	NA	
4311	YMR225C	MRPL44	tagged	visualized	1560	NA	
5307	YCR011C	ADP1	tagged	visualized	339	NA	
3511	YJR024C		tagged	visualized	952	NA	
5606	YDR481C	PHO8	tagged	visualized	3060	NA	
3825	YMR052W	FAR3	tagged	visualized	1540	NA	
182	YFR016C		tagged	visualized	704	NA	
2129	YHR169W	DBP8	tagged	visualized	3500	NA	
535	YOR038C	HIR2	tagged	visualized	922	NA	
3059	YLR146C	SPE4	tagged	visualized	3870	NA	
339	YPL009C		tagged	visualized	7700	NA	
5006	YNL300W	TOS6	tagged	visualized	1480	NA	
5084	YPL183W-A	GON5	tagged	visualized	538	NA	
3648	YML106W	URA5	tagged	visualized	39300	NA	
3332	YER177W	BMH1	tagged	visualized	158000	NA	
2399	YDL168W	SFA1	tagged	visualized	8370	NA	
5917	YOR271C		tagged	visualized	9290	NA	
1023	YKR036C	CAF4	tagged	visualized	589	NA	
3273	YFR052W	RPN12	tagged	visualized	9890	NA	
1813	YBR272C	HSM3	tagged	visualized	468	NA	
1025	YPL104W	MSD1	tagged	visualized	1550	NA	
2051	YCR079W		tagged	visualized	432	NA	
552	YPL008W	CHL1	tagged	visualized	98.9	NA	
858	YDR211W	GCD6	tagged	visualized	33800	6700.0	
4498	YNL143C		tagged	visualized	238	NA	
266	YBL063W	KIP1	tagged	visualized	56.9	NA	
2323	YPL028W	ERG10	tagged	visualized	60900	5910.0	
1968	YPL146C		tagged	visualized	1600	NA	
6000	YDR313C	PIB1	tagged	visualized	195	NA	
1896	YHR146W	CRP1	tagged	visualized	2990	NA	
877	YBL035C	POL12	tagged	visualized	11200	1700.0	
1243	YDR101C	ARX1	tagged	visualized	45100	NA	
1127	YLR177W		tagged	visualized	1550	NA	
2491	YIR034C	LYS1	tagged	visualized	112000	NA	
1310	YBR170C	NPL4	tagged	visualized	1050	NA	
3227	YHR163W	SOL3	tagged	visualized	3420	NA	
5542	YBR068C	BAP2	tagged	visualized	8660	NA	
469	YGL141W	HUL5	tagged	visualized	3120	NA	
940	YIL105C	LIT2	tagged	visualized	5190	NA	
5159	YLR264W	RPS28B	tagged	visualized	8600	NA	
1495	YKR016W		tagged	visualized	5730	NA	
5731	YJL054W	TIM54	tagged	visualized	not visualized	NA	
3885	YDR478W	SNM1	tagged	visualized	172	NA	
4190	YER030W		tagged	visualized	623	NA	
2538	YLR405W	DUS4	tagged	visualized	3390	NA	
5118	YLR038C	COX12	tagged	visualized	1390	NA	
738	YKR027W		tagged	visualized	2540	NA	
1659	YMR169C	ALD3	tagged	visualized	172	NA	
3711	YDR500C	RPL37B	tagged	visualized	19700	NA	
2805	YNL265C	IST1	tagged	visualized	4760	NA	
825	YLR219W	MSC3	tagged	visualized	131	NA	
1714	YEL071W	DLD3	tagged	visualized	13000	NA	
4329	YER035W	EDC2	tagged	visualized	538	NA	
2432	YGR295C	COS6	tagged	visualized	not visualized	NA	
5918	YPR011C		tagged	visualized	not visualized	NA	
119	YCR042C	TAF2	tagged	visualized	1160	NA	
2352	YHL004W	MRP4	tagged	visualized	6890	NA	
1987	YGL194C	HOS2	tagged	visualized	4890	NA	
690	YJL200C		tagged	visualized	4670	NA	
5212	YOR302W		tagged	visualized	not visualized	NA	
1916	YKL194C	MST1	tagged	visualized	1240	NA	
2100	YDR448W	ADA2	tagged	visualized	1720	NA	
5145	YDR079C-A		tagged	visualized	technical problem	NA	
1664	YPL181W	CTI6	tagged	visualized	1590	NA	
5306	YML075C	HMG1	tagged	visualized	low signal	NA	
2046	YER178W	PDA1	tagged	visualized	100000	NA	
5877	YCR044C	PER1	tagged	visualized	3050	NA	
3025	YNL096C	RPS7B	tagged	visualized	43500	NA	
136	YDR301W	CFT1	tagged	visualized	639	NA	
568	YOR373W	NUD1	tagged	visualized	892	NA	
2458	YOL047C		tagged	visualized	155	NA	
199	YPR122W	AXL1	tagged	visualized	623	NA	
1699	YGL202W	ARO8	tagged	visualized	1770	NA	
5483	YLR083C	EMP70	tagged	visualized	technical problem	NA	
3143	YLR003C		tagged	visualized	1200	NA	
1143	YOR171C	LCB4	tagged	visualized	2840	NA	
3810	YDR231C	COX20	tagged	visualized	low signal	NA	
1365	YLR253W		tagged	visualized	1600	NA	
1091	YDL070W	BDF2	tagged	visualized	2930	NA	
233	YGR097W	ASK10	tagged	visualized	low signal	NA	
452	YER032W	FIR1	tagged	visualized	low signal	NA	
5448	YGL022W	STT3	tagged	visualized	3000	NA	
5353	YGL233W	SEC15	tagged	visualized	4280	NA	
1379	YOR023C	AHC1	tagged	visualized	339	NA	
3463	YLR022C		tagged	visualized	5060	NA	
3350	YLR102C	APC9	tagged	visualized	low signal	NA	
2723	YGR031W		tagged	visualized	7400	NA	
5469	YLR396C	VPS33	tagged	visualized	830	NA	
1829	YDL103C	QRI1	tagged	visualized	5480	NA	
2475	YDL193W		tagged	visualized	not visualized	NA	
1257	YMR227C	TAF7	tagged	visualized	1050	NA	
5716	YIL090W		tagged	visualized	606	NA	
675	YFL023W	BUD27	tagged	visualized	1300	NA	
4232	YGL031C	RPL24A	tagged	visualized	247000	NA	
3747	YBR005W		tagged	visualized	not visualized	NA	
5933	YIL117C	PRM5	tagged	visualized	not visualized	NA	
1510	YDR147W	EKI1	tagged	visualized	3420	NA	
1983	YNL016W	PUB1	tagged	visualized	49600	NA	
486	YLR336C	SGD1	tagged	visualized	3060	NA	
1766	YER133W	GLC7	tagged	visualized	14600	NA	
1798	YDR388W	RVS167	tagged	visualized	14600	NA	
2521	YOR136W	IDH2	tagged	visualized	43100	NA	
5747	YBR199W	KTR4	tagged	visualized	5240	NA	
910	YMR246W	FAA4	tagged	visualized	31200	NA	
3097	YHR046C	INM1	tagged	visualized	2440	NA	
2437	YPL193W	RSA1	tagged	visualized	259	NA	
5429	YLL001W	DNM1	tagged	visualized	9620	NA	
14	YNR016C	ACC1	tagged	visualized	20200	NA	
4376	YIL027C	KRE27	tagged	visualized	5240	NA	
322	YLR039C	RIC1	tagged	visualized	78.6	NA	
5500	YNR019W	ARE2	tagged	visualized	279	NA	
250	YHR077C	NMD2	tagged	visualized	1280	NA	
6188	YKL006C-A	SFT1	tagged	visualized	low signal	NA	
2054	YFL001W	DEG1	tagged	visualized	5860	NA	
5511	YER005W	YND1	tagged	visualized	450	NA	
4000	YOL129W	VPS68	tagged	visualized	1900	NA	
3187	YDR116C	MRPL1	tagged	visualized	7010	NA	
2936	YCR073W-A	SOL2	tagged	visualized	1160	NA	
5830	YML018C		tagged	visualized	2010	NA	
1592	YOR374W	ALD4	tagged	visualized	22200	NA	
519	YKL073W	LHS1	tagged	visualized	137	NA	
2873	YDR480W	DIG2	tagged	visualized	1310	NA	
2705	YBR149W	ARA1	tagged	visualized	30200	NA	
1211	YDR200C	VPS64	tagged	visualized	377	NA	
6063	YJL192C	SOP4	tagged	visualized	11700	NA	
5700	YKL175W	ZRT3	tagged	visualized	not visualized	NA	
305	YJL050W	MTR4	tagged	visualized	12500	NA	
4639	YDL152W		tagged	visualized	not visualized	NA	
5949	YOR069W	VPS5	tagged	visualized	6120	NA	
4409	YDR156W	RPA14	tagged	visualized	3100	NA	
1845	YDR105C	TMS1	tagged	visualized	low signal	NA	
3009	YML110C	COQ5	tagged	visualized	8100	NA	
4694	YDL157C		tagged	visualized	752	NA	
1194	YLR248W	RCK2	tagged	visualized	1790	NA	
6234	YDL232W	OST4	tagged	visualized	2430	NA	
1683	YLR033W	RSC58	tagged	visualized	4460	NA	
1936	YNL309W	STB1	tagged	visualized	319	NA	
216	YLR272C	YCS4	tagged	visualized	2540	NA	
2222	YOL082W	CVT19	tagged	visualized	1250	NA	
52	YOR290C	SNF2	tagged	visualized	217	NA	
5953	YJR077C	MIR1	tagged	visualized	not visualized	NA	
4047	YAL044C	GCV3	tagged	visualized	3510	NA	
1750	YHR113W		tagged	visualized	172	NA	
5810	YPR124W	CTR1	tagged	visualized	1180	NA	
