yORF	gene name	GFP tagged?	GFP visualized?	localization summary	
YOL143C	RIB4	tagged	visualized	cytoplasm,nucleus	
YDR416W	SYF1	tagged	visualized	nucleus	
YCR020W-B	HTL1	tagged	visualized	nucleus	
YBR081C	SPT7	tagged	visualized	nucleus	
YKL164C	PIR1	tagged	visualized	cytoplasm,nucleus	
YMR043W	MCM1	tagged	visualized	nucleus	
YKL125W	RRN3	tagged	visualized	nucleolus,nucleus	
YBL084C	CDC27	tagged	visualized	cytoplasm,nucleus	
YCR092C	MSH3	tagged	visualized	cytoplasm,nucleus	
YDL156W		tagged	visualized	cytoplasm,nucleus	
YKL149C	DBR1	tagged	visualized	cytoplasm,nucleus	
YNR012W	URK1	tagged	visualized	cytoplasm,nucleus	
YDL087C	LUC7	tagged	visualized	nucleus	
YNL015W	PBI2	tagged	visualized	cytoplasm,nucleus	
YDR173C	ARG82	tagged	visualized	cytoplasm,nucleus	
YGR186W	TFG1	tagged	visualized	nucleus	
YDR243C	PRP28	tagged	visualized	cytoplasm,nucleus	
YNL216W	RAP1	tagged	visualized	nucleus	
YGR063C	SPT4	tagged	visualized	nucleus	
YGL250W		tagged	visualized	cytoplasm,nucleus	
YKR079C		tagged	visualized	cytoplasm,nucleus	
YKR075C		tagged	visualized	cytoplasm,nucleus	
YHR069C	RRP4	tagged	visualized	cytoplasm,nucleolus,nucleus	
YOR386W	PHR1	tagged	visualized	cytoplasm,nucleus	
YKR060W	UTP30	tagged	visualized	nucleolus,nucleus	
YPL082C	MOT1	tagged	visualized	nucleus	
YOR224C	RPB8	tagged	visualized	nucleus	
YBR158W	AMN1	tagged	visualized	cytoplasm,nucleus	
YCL039W	GID7	tagged	visualized	cytoplasm,nucleus	
YER029C	SMB1	tagged	visualized	nucleus	
YHR169W	DBP8	tagged	visualized	nucleolus,nucleus	
YDR021W	FAL1	tagged	visualized	nucleolus,nucleus	
YOR038C	HIR2	tagged	visualized	nucleus	
YPL011C	TAF3	tagged	visualized	nucleus	
YOR274W	MOD5	tagged	visualized	cytoplasm,nucleus	
YEL046C	GLY1	tagged	visualized	cytoplasm,nucleus	
YDR514C		tagged	visualized	mitochondrion,nucleus	
YLR403W	SFP1	tagged	visualized	cytoplasm,nucleus	
YOR089C	VPS21	tagged	visualized	cytoplasm,nucleus	
YKL038W	RGT1	tagged	visualized	cytoplasm,nucleus	
YBR197C		tagged	visualized	cytoplasm,nucleus	
YNL273W	TOF1	tagged	visualized	nucleus	
YOR117W	RPT5	tagged	visualized	nucleus	
YMR170C	ALD2	tagged	visualized	cytoplasm,nucleus	
YIR018W	YAP5	tagged	visualized	cytoplasm,nucleus	
YML106W	URA5	tagged	visualized	cytoplasm,nucleus	
YML079W		tagged	visualized	cytoplasm,nucleus	
YER049W		tagged	visualized	nucleus	
YDL111C	RRP42	tagged	visualized	cytoplasm,nucleolus,nucleus	
YJL173C	RFA3	tagged	visualized	nucleus	
YPL213W	LEA1	tagged	visualized	nucleus	
YJL162C		tagged	visualized	cytoplasm,nucleus	
YPR107C	YTH1	tagged	visualized	nucleus	
YFR052W	RPN12	tagged	visualized	nucleus	
YBL093C	ROX3	tagged	visualized	nucleus	
YMR047C	NUP116	tagged	visualized	cytoplasm,nucleus	
YGR204W	ADE3	tagged	visualized	cytoplasm,nucleus	
YLR228C	ECM22	tagged	visualized	cytoplasm,nucleus	
YKL173W	SNU114	tagged	visualized	nucleus	
YPL008W	CHL1	tagged	visualized	cytoplasm,nucleus	
YDL197C	ASF2	tagged	visualized	nucleus	
YNL143C		tagged	visualized	cytoplasm,nucleus	
YCL031C	RRP7	tagged	visualized	nucleolus,nucleus	
YOR229W	WTM2	tagged	visualized	nucleus	
YIL075C	RPN2	tagged	visualized	cytoplasm,nucleus	
YOR252W		tagged	visualized	nucleus	
YKL043W	PHD1	tagged	visualized	nucleus	
YIL145C	PAN6	tagged	visualized	cytoplasm,nucleus	
YOR061W	CKA2	tagged	visualized	cytoplasm,nucleus	
YFL017C	GNA1	tagged	visualized	cytoplasm,nucleus	
YDR487C	RIB3	tagged	visualized	cytoplasm,nucleus	
YDL201W	TRM8	tagged	visualized	nucleus	
YGL232W		tagged	visualized	cytoplasm,nucleus	
YPL028W	ERG10	tagged	visualized	nucleus	
YBL024W	NCL1	tagged	visualized	nucleus	
YDL108W	KIN28	tagged	visualized	nucleus	
YGR095C	RRP46	tagged	visualized	cytoplasm,nucleolus,nucleus	
YPL146C		tagged	visualized	nucleus	
YBL035C	POL12	tagged	visualized	nucleus	
YFL049W		tagged	visualized	nucleus	
YDR101C	ARX1	tagged	visualized	nucleus	
YIR034C	LYS1	tagged	visualized	cytoplasm,nucleus	
YBR170C	NPL4	tagged	visualized	cytoplasm,nucleus	
YPL022W	RAD1	tagged	visualized	nucleus	
YKR002W	PAP1	tagged	visualized	nucleus	
YHR163W	SOL3	tagged	visualized	cytoplasm,nucleus	
YGL141W	HUL5	tagged	visualized	cytoplasm,nucleus	
YAL019W	FUN30	tagged	visualized	nucleus	
YDL074C	BRE1	tagged	visualized	nucleus	
YOL001W	PHO80	tagged	visualized	cytoplasm,nucleus	
YDR478W	SNM1	tagged	visualized	nucleus	
YER030W		tagged	visualized	nucleus	
YKL214C	YRA2	tagged	visualized	cytoplasm,nucleus	
YJR147W	HMS2	tagged	visualized	cytoplasm,nucleus	
YDL106C	PHO2	tagged	visualized	nucleus	
YGR108W	CLB1	tagged	visualized	nucleus	
YGR274C	TAF1	tagged	visualized	nucleus	
YNL292W	PUS4	tagged	visualized	cytoplasm,nucleus	
YPL064C	CWC27	tagged	visualized	cytoplasm,nucleus	
YDR031W		tagged	visualized	cytoplasm,nucleus	
YJL055W		tagged	visualized	cytoplasm,nucleus	
YOL148C	SPT20	tagged	visualized	nucleus	
YJR140C	HIR3	tagged	visualized	nucleus	
YEL071W	DLD3	tagged	visualized	cytoplasm,nucleus	
YER035W	EDC2	tagged	visualized	cytoplasm,nucleus	
YOR144C	ELG1	tagged	visualized	cytoplasm,nucleus	
YOL142W	RRP40	tagged	visualized	nucleolus,nucleus	
YCR042C	TAF2	tagged	visualized	nucleus	
YIL056W		tagged	visualized	cytoplasm,nucleus	
YGL194C	HOS2	tagged	visualized	cytoplasm,nucleus	
YLR438W	CAR2	tagged	visualized	cytoplasm,nucleus	
YOR302W		tagged	visualized	cytoplasm,nucleus	
YDR335W	MSN5	tagged	visualized	cytoplasm,nuclear periphery,nucleus	
YDR448W	ADA2	tagged	visualized	nucleus	
YDR079C-A		tagged	visualized	nucleus	
YJR139C	HOM6	tagged	visualized	cytoplasm,nucleus	
YLR179C		tagged	visualized	cytoplasm,nucleus	
YPR154W	PIN3	tagged	visualized	cytoplasm,nucleus	
YPR110C	RPC40	tagged	visualized	nucleolus,nucleus	
YPL181W	CTI6	tagged	visualized	nucleus	
YBR010W	HHT1	tagged	visualized	nucleus	
YHR055C	CUP1-2	tagged	visualized	cytoplasm,nucleus	
YDR301W	CFT1	tagged	visualized	nucleus	
YML011C		tagged	visualized	nucleus	
YGR211W	ZPR1	tagged	visualized	cytoplasm,nucleus	
YOL054W	PSH1	tagged	visualized	nucleus	
YNL136W		tagged	visualized	nucleus	
YDR381W	YRA1	tagged	visualized	nucleus	
YGL157W		tagged	visualized	cytoplasm,nucleus	
YIL130W	GIN1	tagged	visualized	nucleus	
YDL047W	SIT4	tagged	visualized	cytoplasm,nucleus	
YDR308C	SRB7	tagged	visualized	nucleus	
YPL256C	CLN2	tagged	visualized	cytoplasm,nucleus	
YLR003C		tagged	visualized	nucleus	
YGR098C	ESP1	tagged	visualized	cytoplasm,nucleus	
YDL070W	BDF2	tagged	visualized	cytoplasm,nucleus	
YFL002C	SPB4	tagged	visualized	nucleolus,nucleus	
YPL038W	MET31	tagged	visualized	cytoplasm,nucleus	
YCL061C	MRC1	tagged	visualized	nucleus	
YOR023C	AHC1	tagged	visualized	cytoplasm,nucleus	
YLR022C		tagged	visualized	cytoplasm,nucleus	
YLR323C	CWC24	tagged	visualized	nucleus	
YCR035C	RRP43	tagged	visualized	nucleolus,nucleus	
YLR102C	APC9	tagged	visualized	cytoplasm,nucleus	
YHR062C	RPP1	tagged	visualized	nucleus	
YNL330C	RPD3	tagged	visualized	cytoplasm,nucleus	
YDR253C	MET32	tagged	visualized	cytoplasm,nucleus	
YDL085C-A		tagged	visualized	cytoplasm,nucleus	
YDL103C	QRI1	tagged	visualized	cytoplasm,nucleus	
YDR024W	FYV1	tagged	visualized	cytoplasm,nucleus	
YDR130C	FIN1	tagged	visualized	cytoplasm,nucleus,spindle pole	
YMR227C	TAF7	tagged	visualized	cytoplasm,nucleus	
YBL103C	RTG3	tagged	visualized	cytoplasm,nucleus	
YER171W	RAD3	tagged	visualized	cytoplasm,nucleus	
YLR115W	CFT2	tagged	visualized	nucleus	
YER022W	SRB4	tagged	visualized	nucleus	
YDR421W	ARO80	tagged	visualized	nucleus	
YGR270W	YTA7	tagged	visualized	nucleus	
YGL207W	SPT16	tagged	visualized	nucleus	
YJR048W	CYC1	tagged	visualized	cytoplasm,nucleus	
YIL112W	HOS4	tagged	visualized	nucleus	
YOL064C	MET22	tagged	visualized	cytoplasm,nucleus	
YOL136C	PFK27	tagged	visualized	cytoplasm,nucleus	
YIR017C	MET28	tagged	visualized	cytoplasm,nucleus	
YNL251C	NRD1	tagged	visualized	nucleus	
YAR003W	SWD1	tagged	visualized	nucleus	
YHL025W	SNF6	tagged	visualized	nucleus	
YOL151W	GRE2	tagged	visualized	cytoplasm,nucleus	
YDR464W	SPP41	tagged	visualized	nucleus	
YEL007W	TOS9	tagged	visualized	cytoplasm,nucleus	
YAL043C	PTA1	tagged	visualized	nucleus	
YDL076C	RXT3	tagged	visualized	nucleus	
YER133W	GLC7	tagged	visualized	cytoplasm,nucleus,punctate composite	
YPL012W	RRP12	tagged	visualized	cytoplasm,nucleus	
YBR100W		tagged	visualized	cytoplasm,nucleus	
YER059W	PCL6	tagged	visualized	cytoplasm,nucleus	
YGR002C	GOD1	tagged	visualized	nucleus	
YER006W	NUG1	tagged	visualized	nucleolus,nucleus	
YER088C	DOT6	tagged	visualized	cytoplasm,nucleus	
YNL025C	SSN8	tagged	visualized	nucleus	
YLR234W	TOP3	tagged	visualized	cytoplasm,nucleus	
YOL125W		tagged	visualized	cytoplasm,nucleus	
YDR272W	GLO2	tagged	visualized	cytoplasm,nucleus	
YGR091W	PRP31	tagged	visualized	cytoplasm,nucleus	
YER038C	KRE29	tagged	visualized	cytoplasm,nucleus	
YFR005C	SAD1	tagged	visualized	cytoplasm,nucleus	
YOR101W	RAS1	tagged	visualized	cytoplasm,nucleus	
YHR046C	INM1	tagged	visualized	cytoplasm,nucleus	
YPL193W	RSA1	tagged	visualized	cytoplasm,nucleus	
YER003C	PMI40	tagged	visualized	cytoplasm,nucleus	
YNL059C	ARP5	tagged	visualized	cytoplasm,nucleus	
YDL063C		tagged	visualized	cytoplasm,nucleus	
YMR036C	MIH1	tagged	visualized	cytoplasm,nucleus	
YOL145C	CTR9	tagged	visualized	nucleus	
YLR449W	FPR4	tagged	visualized	nucleolus,nucleus	
YMR310C		tagged	visualized	nucleus	
YOR060C		tagged	visualized	nucleus,spindle pole	
YML027W	YOX1	tagged	visualized	cytoplasm,nucleus	
YKL006C-A	SFT1	tagged	visualized	cytoplasm,nucleus	
YCR082W		tagged	visualized	cytoplasm,nucleus	
YFL001W	DEG1	tagged	visualized	nucleus	
YOR259C	RPT4	tagged	visualized	nucleus	
YDL017W	CDC7	tagged	visualized	cytoplasm,nucleus	
YDR052C	DBF4	tagged	visualized	cytoplasm,nucleus	
YKL160W	ELF1	tagged	visualized	nucleus	
YIL143C	SSL2	tagged	visualized	nucleus	
YDR480W	DIG2	tagged	visualized	cytoplasm,nucleus	
YKL213C	DOA1	tagged	visualized	cytoplasm,nucleus	
YBR149W	ARA1	tagged	visualized	cytoplasm,nucleus	
YMR288W	HSH155	tagged	visualized	cytoplasm,nucleus	
YCR047C	BUD23	tagged	visualized	cytoplasm,nucleus	
YPR119W	CLB2	tagged	visualized	ambiguous,nucleus	
YPR179C	PLO1	tagged	visualized	nucleus	
YMR167W	MLH1	tagged	visualized	cytoplasm,nucleus	
YJL050W	MTR4	tagged	visualized	nucleolus,nucleus	
YJL011C	RPC17	tagged	visualized	nucleus	
YDL152W		tagged	visualized	nucleus	
YGL019W	CKB1	tagged	visualized	cytoplasm,nucleus	
YLR376C	PSY3	tagged	visualized	cytoplasm,nucleus	
YER148W	SPT15	tagged	visualized	nucleus	
YNL082W	PMS1	tagged	visualized	cytoplasm,nucleus	
YEL009C	GCN4	tagged	visualized	cytoplasm,nucleus	
YER147C	SCC4	tagged	visualized	cytoplasm,nucleus	
YGL087C	MMS2	tagged	visualized	cytoplasm,nucleus	
YDL227C	HO	tagged	visualized	nucleus	
YLR178C	TFS1	tagged	visualized	cytoplasm,nucleus	
YNL236W	SIN4	tagged	visualized	nucleus	
YGR074W	SMD1	tagged	visualized	nucleus	
YLR033W	RSC58	tagged	visualized	nucleus	
YDR120C	TRM1	tagged	visualized	nuclear periphery,nucleus	
YNL309W	STB1	tagged	visualized	cytoplasm,nucleus	
YOR163W	DDP1	tagged	visualized	cytoplasm,nucleus	
YGL101W		tagged	visualized	cytoplasm,nucleus	
YGR093W		tagged	visualized	nucleus	
YLR272C	YCS4	tagged	visualized	cytoplasm,nucleolus,nucleus	
YJL082W	IML2	tagged	visualized	cytoplasm,nucleus	
YOR290C	SNF2	tagged	visualized	nucleus	
YKL169C		tagged	visualized	cytoplasm,nucleus	
YML081W		tagged	visualized	nucleus	
YBL087C	RPL23A	tagged	visualized	nucleus	
YGL150C	INO80	tagged	visualized	nucleus	
YKR103W		tagged	visualized	cytoplasm,nucleus	
YDR369C	XRS2	tagged	visualized	cytoplasm,nucleus	
YLR016C		tagged	visualized	cytoplasm,nucleus	
YDR190C	RVB1	tagged	visualized	nucleus	
YLR098C	CHA4	tagged	visualized	cytoplasm,nucleus	
YHR135C	YCK1	tagged	visualized	cytoplasm,nucleus	
YDR311W	TFB1	tagged	visualized	nucleus	
YBR289W	SNF5	tagged	visualized	nucleus	
YKR099W	BAS1	tagged	visualized	nucleus	
YAR007C	RFA1	tagged	visualized	nucleus	
YLR035C	MLH2	tagged	visualized	cytoplasm,nucleus	
YOR344C	TYE7	tagged	visualized	cytoplasm,nucleus	
YPL129W	TAF14	tagged	visualized	nucleus	
YDR368W	YPR1	tagged	visualized	cytoplasm,nucleus	
YDR354W	TRP4	tagged	visualized	cytoplasm,nucleus	
YCR059C	YIH1	tagged	visualized	cytoplasm,nucleus	
YNL103W	MET4	tagged	visualized	nucleus	
YBL005W	PDR3	tagged	visualized	cytoplasm,nucleus	
YDR390C	UBA2	tagged	visualized	nucleus	
YKR018C		tagged	visualized	cytoplasm,nucleus	
YKL183W	LOT5	tagged	visualized	cytoplasm,nucleus	
YNL010W		tagged	visualized	cytoplasm,nucleus	
YER134C		tagged	visualized	cytoplasm,nucleus	
YDR485C	VPS72	tagged	visualized	nucleus	
YOR033C	EXO1	tagged	visualized	nucleus	
YMR127C	SAS2	tagged	visualized	cytoplasm,nucleus	
YBL056W	PTC3	tagged	visualized	cytoplasm,nucleus	
YOR048C	RAT1	tagged	visualized	nucleus	
YLR435W	TSR2	tagged	visualized	cytoplasm,nucleus	
YOL080C	REX4	tagged	visualized	nucleolus,nucleus	
YMR308C	PSE1	tagged	visualized	cytoplasm,nucleus	
YGR233C	PHO81	tagged	visualized	cytoplasm,nucleus	
YJL125C	GCD14	tagged	visualized	nucleus	
YDL101C	DUN1	tagged	visualized	nucleus	
YGL113W	SLD3	tagged	visualized	cytoplasm,nucleus	
YDR035W	ARO3	tagged	visualized	cytoplasm,nucleus	
YHR090C	YNG2	tagged	visualized	nucleus	
YBR073W	RDH54	tagged	visualized	nucleus	
YEL029C	BUD16	tagged	visualized	cytoplasm,nucleus	
YGL073W	HSF1	tagged	visualized	nucleus	
YNL102W	POL1	tagged	visualized	nucleus	
YER142C	MAG1	tagged	visualized	cytoplasm,nucleus	
YML007W	YAP1	tagged	visualized	cytoplasm,nucleus	
YIL101C	XBP1	tagged	visualized	nucleus	
YER104W	RTT105	tagged	visualized	cytoplasm,nucleus	
YPR086W	SUA7	tagged	visualized	nucleus	
YBR198C	TAF5	tagged	visualized	nucleus	
YJR084W	CSN12	tagged	visualized	cytoplasm,nucleus	
YIR005W	IST3	tagged	visualized	cytoplasm,nucleus	
YLR421C	RPN13	tagged	visualized	cytoplasm,nucleus	
YER159C	BUR6	tagged	visualized	nucleus	
YOL034W	SMC5	tagged	visualized	cytoplasm,nucleus	
YOL021C	DIS3	tagged	visualized	cytoplasm,nucleolus,nucleus	
YCL011C	GBP2	tagged	visualized	nucleus	
YMR112C	MED11	tagged	visualized	nucleus	
YDR240C	SNU56	tagged	visualized	nucleus	
YLR183C	TOS4	tagged	visualized	cytoplasm,nucleus	
YGL174W	BUD13	tagged	visualized	cytoplasm,nucleus	
YAL033W	POP5	tagged	visualized	cytoplasm,nucleus	
YKL067W	YNK1	tagged	visualized	cytoplasm,nucleus	
YCL010C	SGF29	tagged	visualized	nucleus	
YKL091C		tagged	visualized	cytoplasm,nucleus	
YMR106C	YKU80	tagged	visualized	nucleus	
YPR187W	RPO26	tagged	visualized	cytoplasm,nucleus	
YBR049C	REB1	tagged	visualized	nucleus	
YHR087W		tagged	visualized	cytoplasm,nucleus	
YBR095C	RXT2	tagged	visualized	nucleus	
YOR279C	RFM1	tagged	visualized	cytoplasm,nucleus	
YHR009C		tagged	visualized	cytoplasm,nucleus	
YOR362C	PRE10	tagged	visualized	cytoplasm,nucleus	
YMR213W	CEF1	tagged	visualized	cytoplasm,nucleus	
YOR315W		tagged	visualized	cytoplasm,nucleus	
YPL016W	SWI1	tagged	visualized	nucleus	
YBL036C		tagged	visualized	cytoplasm,nucleus	
YLR182W	SWI6	tagged	visualized	nucleus	
YHR152W	SPO12	tagged	visualized	nucleus	
YDL209C	CWC2	tagged	visualized	nucleus	
YDR361C	BCP1	tagged	visualized	cytoplasm,nucleus	
YLR244C	MAP1	tagged	visualized	cytoplasm,nucleus	
YPL151C	PRP46	tagged	visualized	cytoplasm,nucleus	
YAL001C	TFC3	tagged	visualized	cytoplasm,nucleus	
YNL281W	HCH1	tagged	visualized	cytoplasm,nucleus	
YMR284W	YKU70	tagged	visualized	cytoplasm,nucleus	
YPL128C	TBF1	tagged	visualized	nucleus	
YGR040W	KSS1	tagged	visualized	cytoplasm,nucleus	
YDR328C	SKP1	tagged	visualized	cytoplasm,nucleus	
YDR279W	RNH202	tagged	visualized	nucleus	
YDR020C		tagged	visualized	cytoplasm,nucleus	
YIL017C	VID28	tagged	visualized	cytoplasm,nucleus	
YMR061W	RNA14	tagged	visualized	nucleus	
YMR201C	RAD14	tagged	visualized	cytoplasm,nucleus	
YIL150C	MCM10	tagged	visualized	cytoplasm,nucleus	
YBL008W	HIR1	tagged	visualized	cytoplasm,nucleus	
YBR145W	ADH5	tagged	visualized	cytoplasm,nucleus	
YMR172W	HOT1	tagged	visualized	nucleus	
YDR353W	TRR1	tagged	visualized	cytoplasm,nucleus	
YGL013C	PDR1	tagged	visualized	nucleus	
YGR205W		tagged	visualized	cytoplasm,nucleus	
YJR148W	BAT2	tagged	visualized	cytoplasm,nucleus	
YDL220C	CDC13	tagged	visualized	cytoplasm,nucleus	
YBR117C	TKL2	tagged	visualized	cytoplasm,nucleus	
YFR036W	CDC26	tagged	visualized	nucleus	
YJR008W		tagged	visualized	cytoplasm,nucleus	
YGR044C	RME1	tagged	visualized	cytoplasm,nucleus	
YDR432W	NPL3	tagged	visualized	nucleus	
YHL009C	YAP3	tagged	visualized	cytoplasm,nucleus	
YNL110C	NOP15	tagged	visualized	nucleolus,nucleus	
YNL274C		tagged	visualized	cytoplasm,nucleus	
YKR055W	RHO4	tagged	visualized	cytoplasm,nucleus	
YPR040W	TIP41	tagged	visualized	cytoplasm,nucleus	
YOL052C	SPE2	tagged	visualized	cytoplasm,nucleus	
YPL049C	DIG1	tagged	visualized	nucleus	
YNR032W	PPG1	tagged	visualized	cytoplasm,nucleus	
YOR208W	PTP2	tagged	visualized	cytoplasm,nucleus	
YNL134C		tagged	visualized	cytoplasm,nucleus	
YGL175C	SAE2	tagged	visualized	cytoplasm,nucleus	
YPR104C	FHL1	tagged	visualized	nucleus	
YLR226W	BUR2	tagged	visualized	nucleus	
YDR520C		tagged	visualized	cytoplasm,nucleus	
YOL032W		tagged	visualized	cytoplasm,nucleus	
YNL068C	FKH2	tagged	visualized	nucleus	
YBR248C	HIS7	tagged	visualized	cytoplasm,nucleus	
YGR140W	CBF2	tagged	visualized	nucleus,spindle pole,microtubule	
YGR024C		tagged	visualized	cytoplasm,nucleus	
YMR135C	GID8	tagged	visualized	cytoplasm,nucleus	
YOL108C	INO4	tagged	visualized	cytoplasm,nucleus	
YNL180C	RHO5	tagged	visualized	cytoplasm,nucleus	
YMR315W		tagged	visualized	cytoplasm,nucleus	
YNL107W	YAF9	tagged	visualized	cytoplasm,nucleus	
YLR385C		tagged	visualized	nucleus	
YKR011C	TOS5	tagged	visualized	nucleus	
YGL246C	RAI1	tagged	visualized	nucleus	
YDR334W	SWR1	tagged	visualized	nucleus	
YGR188C	BUB1	tagged	visualized	nucleus,spindle pole,microtubule	
YPR034W	ARP7	tagged	visualized	nucleus	
YOR123C	LEO1	tagged	visualized	nucleus	
YIL063C	YRB2	tagged	visualized	nucleus	
YBL059C-A		tagged	visualized	cytoplasm,nucleus	
YCL026C-B		tagged	visualized	cytoplasm,nucleus	
YMR240C	CUS1	tagged	visualized	nucleus	
YCR090C		tagged	visualized	cytoplasm,nucleus	
YHR127W	HSN1	tagged	visualized	nucleus	
YPR057W	BRR1	tagged	visualized	nucleus	
YGR251W		tagged	visualized	nucleolus,nucleus	
YPR060C	ARO7	tagged	visualized	cytoplasm,nucleus	
YNL030W	HHF2	tagged	visualized	nucleus	
YOL068C	HST1	tagged	visualized	cytoplasm,nucleus	
YLR271W		tagged	visualized	cytoplasm,nucleus	
YGL237C	HAP2	tagged	visualized	nucleus	
YNL246W	VPS75	tagged	visualized	nucleus	
YPL043W	NOP4	tagged	visualized	nucleolus,nucleus	
YDR158W	HOM2	tagged	visualized	cytoplasm,nucleus	
YKL117W	SBA1	tagged	visualized	cytoplasm,nucleus	
YNL039W	BDP1	tagged	visualized	nucleus	
YIL092W		tagged	visualized	cytoplasm,nucleus	
YDL059C	RAD59	tagged	visualized	cytoplasm,nucleus	
YIL132C	CSM2	tagged	visualized	cytoplasm,nucleus	
YKL012W	PRP40	tagged	visualized	nucleus	
YNR011C	PRP2	tagged	visualized	cytoplasm,nucleus	
YFL006W		tagged	visualized	cytoplasm,nucleus	
YGL184C	STR3	tagged	visualized	cytoplasm,nucleus	
YDL105W	QRI2	tagged	visualized	nucleus	
YJL092W	HPR5	tagged	visualized	nucleus	
YJR104C	SOD1	tagged	visualized	ambiguous,cytoplasm,nucleus	
YLR153C	ACS2	tagged	visualized	nucleus	
YDR224C	HTB1	tagged	visualized	nucleus	
YPR103W	PRE2	tagged	visualized	cytoplasm,nucleus	
YDR063W		tagged	visualized	cytoplasm,nucleus	
YLR301W		tagged	visualized	cytoplasm,nucleus	
YDR138W	HPR1	tagged	visualized	nucleus	
YML076C	WAR1	tagged	visualized	nucleus	
YHL030W	ECM29	tagged	visualized	cytoplasm,nucleus	
YKR043C		tagged	visualized	cytoplasm,nucleus	
YGL066W	SGF73	tagged	visualized	nucleus	
YER174C	GRX4	tagged	visualized	cytoplasm,nucleus	
YBR066C	NRG2	tagged	visualized	cytoplasm,nucleus	
YOR057W	SGT1	tagged	visualized	cytoplasm,nucleus,bud	
YMR039C	SUB1	tagged	visualized	nucleus	
YJR052W	RAD7	tagged	visualized	cytoplasm,nucleus	
YGR258C	RAD2	tagged	visualized	cytoplasm,nucleus	
YDR423C	CAD1	tagged	visualized	cytoplasm,nucleus	
YDR005C	MAF1	tagged	visualized	cytoplasm,nucleus	
YMR244C-A		tagged	visualized	cytoplasm,nucleus	
YBR239C		tagged	visualized	cytoplasm,nucleus	
YGR252W	GCN5	tagged	visualized	nucleus	
YML114C	TAF8	tagged	visualized	nucleus	
YDR047W	HEM12	tagged	visualized	cytoplasm,nucleus	
YLR451W	LEU3	tagged	visualized	nucleus	
YCR084C	TUP1	tagged	visualized	nucleus	
YFL008W	SMC1	tagged	visualized	cytoplasm,nucleus	
YDR440W	DOT1	tagged	visualized	cytoplasm,nucleus	
YOR110W	TFC7	tagged	visualized	cytoplasm,nucleus	
YEL018W	EAF5	tagged	visualized	nucleus	
YLR108C		tagged	visualized	nucleus	
YBR160W	CDC28	tagged	visualized	cytoplasm,nucleus	
YJL127C	SPT10	tagged	visualized	cytoplasm,nucleus	
YOR210W	RPB10	tagged	visualized	nucleolus,nucleus	
YBR202W	CDC47	tagged	visualized	cytoplasm,nucleus	
YOL134C		tagged	visualized	cytoplasm,nucleus	
YOR293W	RPS10A	tagged	visualized	nucleolus,nucleus	
YPR023C	EAF3	tagged	visualized	nucleus	
YDR454C	GUK1	tagged	visualized	cytoplasm,nucleus	
YBR083W	TEC1	tagged	visualized	cytoplasm,nucleus	
YOR140W	SFL1	tagged	visualized	nucleus	
YDL110C		tagged	visualized	cytoplasm,nucleus	
YPR074C	TKL1	tagged	visualized	cytoplasm,nucleus	
YGR037C	ACB1	tagged	visualized	cytoplasm,nucleus	
YGR158C	MTR3	tagged	visualized	cytoplasm,nucleus	
YDR540C		tagged	visualized	cytoplasm,nucleus	
YNL286W	CUS2	tagged	visualized	nucleus	
YJL197W	UBP12	tagged	visualized	cytoplasm,nucleus	
YOR078W	BUD21	tagged	visualized	nucleolus,nucleus	
YMR278W		tagged	visualized	cytoplasm,nucleus	
YPL007C	TFC8	tagged	visualized	nucleus	
YKR062W	TFA2	tagged	visualized	nucleus	
YBR065C	ECM2	tagged	visualized	nucleus	
YNL139C	RLR1	tagged	visualized	nucleus	
YOR156C	NFI1	tagged	visualized	cytoplasm,nucleus	
YNL215W	IES2	tagged	visualized	nucleus	
YBL071W-A	KTI11	tagged	visualized	cytoplasm,nucleus	
YMR125W	STO1	tagged	visualized	nucleus	
YBL021C	HAP3	tagged	visualized	cytoplasm,nucleus	
YOR014W	RTS1	tagged	visualized	cytoplasm,nucleus	
YDR513W	TTR1	tagged	visualized	nucleus	
YER089C	PTC2	tagged	visualized	cytoplasm,nucleus	
YGR052W		tagged	visualized	cytoplasm,nucleus	
YGL128C	CWC23	tagged	visualized	cytoplasm,nucleus	
YOR122C	PFY1	tagged	visualized	cytoplasm,nucleus	
YOR120W	GCY1	tagged	visualized	cytoplasm,nucleus	
YGR090W	UTP22	tagged	visualized	nucleolus,nucleus	
YGR208W	SER2	tagged	visualized	cytoplasm,nucleus	
YDL102W	CDC2	tagged	visualized	nucleus	
YML102W	CAC2	tagged	visualized	nucleus	
YBL058W	SHP1	tagged	visualized	cytoplasm,nucleus	
YEL055C	POL5	tagged	visualized	nucleolus,nucleus	
YNL282W	POP3	tagged	visualized	nucleus	
YDR123C	INO2	tagged	visualized	nucleus	
YER042W	MXR1	tagged	visualized	cytoplasm,nucleus	
YOL093W	TRM10	tagged	visualized	cytoplasm,nucleus	
YLR127C	APC2	tagged	visualized	cytoplasm,nucleus	
YMR121C	RPL15B	tagged	visualized	nucleolus,nucleus	
YMR111C		tagged	visualized	nucleus	
YDL097C	RPN6	tagged	visualized	cytoplasm,nucleus	
YBR245C	ISW1	tagged	visualized	nucleus	
YAL059W	ECM1	tagged	visualized	nucleus	
YDR195W	REF2	tagged	visualized	nucleus	
YOR189W	IES4	tagged	visualized	nucleus	
YMR144W		tagged	visualized	nucleus	
