yORF	gene name	GFP tagged?	GFP visualized?	abundance	
YBR010W	HHT1	tagged	visualized	213000	
YBR011C	IPP1	tagged	visualized	68400	
YBR014C		tagged	visualized	not visualized	
YBR015C	MNN2	tagged	visualized	6730	
YBR016W		tagged	visualized	1760	
YBR017C	KAP104	tagged	visualized	2130	
YBR023C	CHS3	tagged	visualized	1510	
YBR025C		tagged	visualized	36800	
YBR026C	ETR1	tagged	visualized	1560	
YBR028C		tagged	visualized	1470	
YBR030W		tagged	visualized	7880	
YBR031W	RPL4A	tagged	visualized	not visualized	
YBR034C	HMT1	tagged	visualized	37600	
YBR036C	CSG2	tagged	visualized	technical problem	
YBR037C	SCO1	tagged	visualized	2550	
YBR039W	ATP3	tagged	visualized	28100	
YBR041W	FAT1	tagged	visualized	16900	
YBR042C		tagged	visualized	2010	
YBR043C	AQR2	tagged	visualized	279	
YBR046C	ZTA1	tagged	visualized	not visualized	
YBR047W		tagged	visualized	2160	
YBR048W	RPS11B	tagged	visualized	1200	
YBR049C	REB1	tagged	visualized	7510	
YBR052C		tagged	visualized	7060	
YBR054W	YRO2	tagged	visualized	1950	
YBR055C	PRP6	tagged	visualized	2250	
YBR056W		tagged	visualized	1960	
YBR057C	MUM2	tagged	visualized	3400	
YBR058C	UBP14	tagged	visualized	3040	
YBR058C-A	TSC3	tagged	visualized	not visualized	
YBR059C	AKL1	tagged	visualized	3000	
YBR060C	ORC2	tagged	visualized	1700	
YBR061C	TRM7	tagged	visualized	4110	
YBR065C	ECM2	tagged	visualized	4260	
YBR066C	NRG2	tagged	visualized	704	
YBR067C	TIP1	tagged	visualized	35600	
YBR068C	BAP2	tagged	visualized	8660	
YBR069C	TAT1	tagged	visualized	504	
YBR070C		tagged	visualized	339	
YBR071W		tagged	visualized	1200	
YBR072W	HSP26	tagged	visualized	19300	
YBR073W	RDH54	tagged	visualized	1270	
YBR077C		tagged	visualized	3490	
YBR079C	RPG1	tagged	visualized	52700	
YBR080C	SEC18	tagged	visualized	5920	
YBR081C	SPT7	tagged	visualized	2360	
YBR082C	UBC4	tagged	visualized	13500	
YBR083W	TEC1	tagged	visualized	530	
YBR084C-A	RPL19A	tagged	visualized	97700	
YBR084W	MIS1	tagged	visualized	11400	
YBR085C-A		tagged	visualized	not visualized	
YBR085W	AAC3	tagged	visualized	1080	
YBR086C	IST2	tagged	visualized	technical problem	
YBR087W	RFC5	tagged	visualized	5040	
YBR088C	POL30	tagged	visualized	not visualized	
YBR089C-A	NHP6B	tagged	visualized	4590	
YBR090C		tagged	visualized	not visualized	
YBR092C	PHO3	tagged	visualized	952	
YBR093C	PHO5	tagged	visualized	1110	
YBR094W		tagged	visualized	1770	
YBR095C	RXT2	tagged	visualized	1630	
YBR096W		tagged	visualized	1950	
YBR097W	VPS15	tagged	visualized	279	
YBR100W		tagged	visualized	low signal	
YBR101C	FES1	tagged	visualized	13100	
YBR102C	EXO84	tagged	visualized	not visualized	
YBR103W	SIF2	tagged	visualized	1620	
YBR104W	YMC2	tagged	visualized	1050	
YBR105C	VID24	tagged	visualized	6650	
YBR106W	PHO88	tagged	visualized	61800	
YBR107C	IML3	tagged	visualized	125	
YBR109C	CMD1	tagged	visualized	not visualized	
YBR110W	ALG1	tagged	visualized	1890	
YBR111C	YSA1	tagged	visualized	7330	
YBR112C	CYC8	tagged	visualized	3890	
YBR114W	RAD16	tagged	visualized	358	
YBR115C	LYS2	tagged	visualized	7430	
YBR117C	TKL2	tagged	visualized	149	
YBR118W	TEF2	tagged	visualized	450	
YBR119W	MUD1	tagged	visualized	2950	
YBR120C	CBP6	tagged	visualized	2130	
YBR121C	GRS1	tagged	visualized	98400	
