yORF	gene name	GFP tagged?	GFP visualized?	
YDR540C		tagged	visualized	
YJL017W		tagged	visualized	
YHR192W		tagged	visualized	
YHR112C		tagged	visualized	
YLR262C-A		tagged	visualized	
YJR097W		tagged	visualized	
YHR121W		tagged	visualized	
YHL013C		tagged	visualized	
YLR364W		tagged	visualized	
YDR066C		tagged	visualized	
YMR074C		tagged	visualized	
YLL054C		tagged	visualized	
YJR129C		tagged	visualized	
YBR094W		tagged	visualized	
YKL086W		tagged	visualized	
YPR127W		tagged	visualized	
YNL022C		tagged	visualized	
YKL088W		tagged	visualized	
YMR099C		tagged	visualized	
YCR051W		tagged	visualized	
YPL141C		tagged	visualized	
YLR145W		tagged	visualized	
YDR003W		tagged	visualized	
YNR034W-A		tagged	visualized	
YMR030W		tagged	visualized	
YNR047W		tagged	visualized	
YOR352W		tagged	visualized	
YGR272C		tagged	visualized	
YLR412W		tagged	visualized	
YJL084C		tagged	visualized	
YML131W		tagged	visualized	
YKR096W		tagged	visualized	
YKL215C		tagged	visualized	
YER152C		tagged	visualized	
YNL247W		tagged	visualized	
YJL016W		tagged	visualized	
YOL057W		tagged	visualized	
YKL206C		tagged	visualized	
YGR111W		tagged	visualized	
YHR132W-A		tagged	visualized	
YPL260W		tagged	visualized	
YOL098C		tagged	visualized	
YLR218C		tagged	visualized	
YDR266C		tagged	visualized	
YDR111C		tagged	visualized	
YML005W		tagged	visualized	
YBL104C		tagged	visualized	
YOR227W		tagged	visualized	
YNL129W		tagged	visualized	
YPL071C		tagged	visualized	
YKR041W		tagged	visualized	
YKL069W		tagged	visualized	
YLR118C		tagged	visualized	
YDR267C		tagged	visualized	
YOL124C		tagged	visualized	
YOR220W		tagged	visualized	
YHR182W		tagged	visualized	
YMR067C		tagged	visualized	
YKL047W		tagged	visualized	
YDL124W		tagged	visualized	
YER007C-A		tagged	visualized	
YNL311C		tagged	visualized	
YMR226C		tagged	visualized	
YLR343W		tagged	visualized	
YBR271W		tagged	visualized	
YOR238W		tagged	visualized	
YHR097C		tagged	visualized	
YOR385W		tagged	visualized	
YNR009W		tagged	visualized	
YOR129C		tagged	visualized	
YKL018C-A		tagged	visualized	
YMR184W		tagged	visualized	
YOR342C		tagged	visualized	
YER079W		tagged	visualized	
YGR151C		tagged	visualized	
YML108W		tagged	visualized	
YMR114C		tagged	visualized	
YHL039W		tagged	visualized	
YOR251C		tagged	visualized	
YLL029W		tagged	visualized	
YBR242W		tagged	visualized	
YOR199W		tagged	visualized	
YNL024C		tagged	visualized	
YIL083C		tagged	visualized	
YLR424W		tagged	visualized	
YLR327C		tagged	visualized	
YBL060W		tagged	visualized	
YOL070C		tagged	visualized	
YKR023W		tagged	visualized	
YGR126W		tagged	visualized	
YDL144C		tagged	visualized	
YER156C		tagged	visualized	
YDR370C		tagged	visualized	
YOL111C		tagged	visualized	
YIR036C		tagged	visualized	
YMR178W		tagged	visualized	
YGL082W		tagged	visualized	
YOR131C		tagged	visualized	
YNL227C		tagged	visualized	
YGR250C		tagged	visualized	
YPL208W		tagged	visualized	
YKL033W		tagged	visualized	
YGR203W		tagged	visualized	
YIL137C		tagged	visualized	
YOR091W		tagged	visualized	
YBL029W		tagged	visualized	
YNL191W		tagged	visualized	
YLL032C		tagged	visualized	
YJR056C		tagged	visualized	
YJR146W		tagged	visualized	
YNL108C		tagged	visualized	
YER163C		tagged	visualized	
YNL155W		tagged	visualized	
YGR210C		tagged	visualized	
YNL157W		tagged	visualized	
YJR149W		tagged	visualized	
YPL014W		tagged	visualized	
YBL055C		tagged	visualized	
YLR422W		tagged	visualized	
YMR196W		tagged	visualized	
YIL019W		tagged	visualized	
YIL057C		tagged	visualized	
YPL066W		tagged	visualized	
YOL022C		tagged	visualized	
YNL200C		tagged	visualized	
YBR281C		tagged	visualized	
YDR391C		tagged	visualized	
YNR046W		tagged	visualized	
YDR444W		tagged	visualized	
YLR345W		tagged	visualized	
YJL068C		tagged	visualized	
YKR079C		tagged	visualized	
YNR014W		tagged	visualized	
YFR017C		tagged	visualized	
YJR024C		tagged	visualized	
YFR016C		tagged	visualized	
YPL009C		tagged	visualized	
YDR239C		tagged	visualized	
YNL143C		tagged	visualized	
YLR177W		tagged	visualized	
YPL017C		tagged	visualized	
YJL055W		tagged	visualized	
YMR299C		tagged	visualized	
YOR302W		tagged	visualized	
YPL108W		tagged	visualized	
YLR022C		tagged	visualized	
YOL125W		tagged	visualized	
YAL049C		tagged	visualized	
YCR082W		tagged	visualized	
YLR126C		tagged	visualized	
YKL169C		tagged	visualized	
YHR113W		tagged	visualized	
YKR103W		tagged	visualized	
YKL075C		tagged	visualized	
YNL234W		tagged	visualized	
YDR049W		tagged	visualized	
YPL110C		tagged	visualized	
YKL151C		tagged	visualized	
YHR087W		tagged	visualized	
YJR110W		tagged	visualized	
YHR009C		tagged	visualized	
YIL001W		tagged	visualized	
YDR020C		tagged	visualized	
YLR419W		tagged	visualized	
YDL146W		tagged	visualized	
YNL274C		tagged	visualized	
YER139C		tagged	visualized	
YOL032W		tagged	visualized	
YGR024C		tagged	visualized	
YNL056W		tagged	visualized	
YBL059C-A		tagged	visualized	
YCR090C		tagged	visualized	
YDR250C		tagged	visualized	
YPL191C		tagged	visualized	
YPL030W		tagged	visualized	
YDR063W		tagged	visualized	
YLR301W		tagged	visualized	
YBR028C		tagged	visualized	
YBR239C		tagged	visualized	
YMR244C-A		tagged	visualized	
YGL245W		tagged	visualized	
YOL134C		tagged	visualized	
YDL110C		tagged	visualized	
YMR278W		tagged	visualized	
YGR052W		tagged	visualized	
YIR035C		tagged	visualized	
YFL044C		tagged	visualized	
YDR531W		tagged	visualized	
YPR022C		tagged	visualized	
YBR025C		tagged	visualized	
YOR062C		tagged	visualized	
YOR289W		tagged	visualized	
YLR254C		tagged	visualized	
YGL185C		tagged	visualized	
YGL046W		tagged	visualized	
YMR009W		tagged	visualized	
YDR333C		tagged	visualized	
YER034W		tagged	visualized	
YNL313C		tagged	visualized	
YGR017W		tagged	visualized	
YNL162W-A		tagged	visualized	
YOR138C		tagged	visualized	
YCR060W		tagged	visualized	
YMR002W		tagged	visualized	
YMR124W		tagged	visualized	
YEL008W		tagged	visualized	
YJL217W		tagged	visualized	
YJR119C		tagged	visualized	
YBR261C		tagged	visualized	
YKR064W		tagged	visualized	
YGR042W		tagged	visualized	
YHR149C		tagged	visualized	
YBL107C		tagged	visualized	
YBR071W		tagged	visualized	
YER067W		tagged	visualized	
YBR238C		tagged	visualized	
YLR211C		tagged	visualized	
YOR262W		tagged	visualized	
YBL054W		tagged	visualized	
YPL247C		tagged	visualized	
YDR539W		tagged	visualized	
YMR132C		tagged	visualized	
YOR118W		tagged	visualized	
YJL123C		tagged	visualized	
YOR112W		tagged	visualized	
YPL166W		tagged	visualized	
YOR283W		tagged	visualized	
YDR051C		tagged	visualized	
YAL061W		tagged	visualized	
YGR219W		tagged	visualized	
YGL039W		tagged	visualized	
YLL007C		tagged	visualized	
YPL199C		tagged	visualized	
YLR199C		tagged	visualized	
YGR058W		tagged	visualized	
YER084W		tagged	visualized	
YJR098C		tagged	visualized	
YGR277C		tagged	visualized	
YCR018C-A		tagged	visualized	
YEL047C		tagged	visualized	
YNL254C		tagged	visualized	
YJR072C		tagged	visualized	
YIR007W		tagged	visualized	
YLR387C		tagged	visualized	
YNL045W		tagged	visualized	
YOR164C		tagged	visualized	
YDL053C		tagged	visualized	
YGL220W		tagged	visualized	
YIL110W		tagged	visualized	
YJR014W		tagged	visualized	
YNL141W	AAH1	tagged	visualized	
YHR047C	AAP1'	tagged	visualized	
YBL074C	AAR2	tagged	visualized	
YOR239W	ABP140	tagged	visualized	
YNR033W	ABZ1	tagged	visualized	
YMR289W	ABZ2	tagged	visualized	
YGR037C	ACB1	tagged	visualized	
YNR016C	ACC1	tagged	visualized	
YLR131C	ACE2	tagged	visualized	
YLR144C	ACF2	tagged	visualized	
YAL054C	ACS1	tagged	visualized	
YAR015W	ADE1	tagged	visualized	
YNL220W	ADE12	tagged	visualized	
YLR028C	ADE16	tagged	visualized	
YMR120C	ADE17	tagged	visualized	
YOR128C	ADE2	tagged	visualized	
YGR204W	ADE3	tagged	visualized	
YMR300C	ADE4	tagged	visualized	
YGL234W	ADE5,7	tagged	visualized	
YGR061C	ADE6	tagged	visualized	
YDR408C	ADE8	tagged	visualized	
YMR303C	ADH2	tagged	visualized	
YBR145W	ADH5	tagged	visualized	
YMR318C	ADH6	tagged	visualized	
YDR226W	ADK1	tagged	visualized	
YJR105W	ADO1	tagged	visualized	
YDR216W	ADR1	tagged	visualized	
YLR397C	AFG2	tagged	visualized	
YDR524C	AGE1	tagged	visualized	
YDR214W	AHA1	tagged	visualized	
YOR023C	AHC1	tagged	visualized	
YLR109W	AHP1	tagged	visualized	
YIL079C	AIR1	tagged	visualized	
YBR059C	AKL1	tagged	visualized	
YOR335C	ALA1	tagged	visualized	
YMR170C	ALD2	tagged	visualized	
YMR169C	ALD3	tagged	visualized	
YPL061W	ALD6	tagged	visualized	
YML035C	AMD1	tagged	visualized	
YBR158W	AMN1	tagged	visualized	
YJR047C	ANB1	tagged	visualized	
YCL050C	APA1	tagged	visualized	
YDR530C	APA2	tagged	visualized	
YNL172W	APC1	tagged	visualized	
YLR127C	APC2	tagged	visualized	
YDR118W	APC4	tagged	visualized	
YLR102C	APC9	tagged	visualized	
YBR151W	APD1	tagged	visualized	
YKL157W	APE2	tagged	visualized	
YPR185W	APG13	tagged	visualized	
YNL077W	APJ1	tagged	visualized	
YBL019W	APN2	tagged	visualized	
YNL094W	APP1	tagged	visualized	
YMR192W	APP2	tagged	visualized	
YML022W	APT1	tagged	visualized	
YDR441C	APT2	tagged	visualized	
YBR149W	ARA1	tagged	visualized	
YGL105W	ARC1	tagged	visualized	
YHR013C	ARD1	tagged	visualized	
YOL058W	ARG1	tagged	visualized	
YJL088W	ARG3	tagged	visualized	
YHR018C	ARG4	tagged	visualized	
YML099C	ARG81	tagged	visualized	
YDR173C	ARG82	tagged	visualized	
YDR127W	ARO1	tagged	visualized	
YDR380W	ARO10	tagged	visualized	
YGL148W	ARO2	tagged	visualized	
YDR035W	ARO3	tagged	visualized	
YBR249C	ARO4	tagged	visualized	
YPR060C	ARO7	tagged	visualized	
YGL202W	ARO8	tagged	visualized	
YHR137W	ARO9	tagged	visualized	
YNL059C	ARP5	tagged	visualized	
YLR085C	ARP6	tagged	visualized	
YGR097W	ASK10	tagged	visualized	
YPR145W	ASN1	tagged	visualized	
YGR124W	ASN2	tagged	visualized	
YBL069W	AST1	tagged	visualized	
YER101C	AST2	tagged	visualized	
YDR184C	ATC1	tagged	visualized	
YGL017W	ATE1	tagged	visualized	
YJL180C	ATP12	tagged	visualized	
YNL259C	ATX1	tagged	visualized	
YNR007C	AUT1	tagged	visualized	
YNL223W	AUT2	tagged	visualized	
YJR148W	BAT2	tagged	visualized	
YHR040W	BCD1	tagged	visualized	
YJL095W	BCK1	tagged	visualized	
YER167W	BCK2	tagged	visualized	
YDR361C	BCP1	tagged	visualized	
YIL033C	BCY1	tagged	visualized	
YDL070W	BDF2	tagged	visualized	
YAL060W	BDH1	tagged	visualized	
YER155C	BEM2	tagged	visualized	
YPL115C	BEM3	tagged	visualized	
YPL161C	BEM4	tagged	visualized	
YJL058C	BIT61	tagged	visualized	
YFL007W	BLM3	tagged	visualized	
YER177W	BMH1	tagged	visualized	
YDR099W	BMH2	tagged	visualized	
YJR025C	BNA1	tagged	visualized	
YJL060W	BNA3	tagged	visualized	
YLR231C	BNA5	tagged	visualized	
YFR047C	BNA6	tagged	visualized	
YNL271C	BNI1	tagged	visualized	
YNL233W	BNI4	tagged	visualized	
YNL166C	BNI5	tagged	visualized	
YBL085W	BOI1	tagged	visualized	
YER114C	BOI2	tagged	visualized	
YNL042W	BOP3	tagged	visualized	
YDL141W	BPL1	tagged	visualized	
YNR051C	BRE5	tagged	visualized	
YPL084W	BRO1	tagged	visualized	
YER172C	BRR2	tagged	visualized	
YGR142W	BTN2	tagged	visualized	
YDR252W	BTT1	tagged	visualized	
YOR026W	BUB3	tagged	visualized	
YGL174W	BUD13	tagged	visualized	
YAR014C	BUD14	tagged	visualized	
YEL029C	BUD16	tagged	visualized	
YNR027W	BUD17	tagged	visualized	
YKL092C	BUD2	tagged	visualized	
YCR047C	BUD23	tagged	visualized	
YFL023W	BUD27	tagged	visualized	
YGR262C	BUD32	tagged	visualized	
YLR319C	BUD6	tagged	visualized	
YMR275C	BUL1	tagged	visualized	
YML111W	BUL2	tagged	visualized	
YDR423C	CAD1	tagged	visualized	
YNL278W	CAF120	tagged	visualized	
YGR134W	CAF130	tagged	visualized	
YFL028C	CAF16	tagged	visualized	
YOR276W	CAF20	tagged	visualized	
YNL288W	CAF40	tagged	visualized	
YFL029C	CAK1	tagged	visualized	
YPL048W	CAM1	tagged	visualized	
YPL111W	CAR1	tagged	visualized	
YLR438W	CAR2	tagged	visualized	
YMR280C	CAT8	tagged	visualized	
YNL161W	CBK1	tagged	visualized	
YER168C	CCA1	tagged	visualized	
YGR217W	CCH1	tagged	visualized	
YAL021C	CCR4	tagged	visualized	
YLR215C	CDC123	tagged	visualized	
YDL220C	CDC13	tagged	visualized	
YAL038W	CDC19	tagged	visualized	
YGL116W	CDC20	tagged	visualized	
YOR074C	CDC21	tagged	visualized	
YAL041W	CDC24	tagged	visualized	
YLR310C	CDC25	tagged	visualized	
YBL084C	CDC27	tagged	visualized	
YBR160W	CDC28	tagged	visualized	
YOL139C	CDC33	tagged	visualized	
YDR054C	CDC34	tagged	visualized	
YDL165W	CDC36	tagged	visualized	
YDR168W	CDC37	tagged	visualized	
YCR093W	CDC39	tagged	visualized	
YDR364C	CDC40	tagged	visualized	
YGL155W	CDC43	tagged	visualized	
YBR202W	CDC47	tagged	visualized	
YDL126C	CDC48	tagged	visualized	
YDL132W	CDC53	tagged	visualized	
YPR019W	CDC54	tagged	visualized	
YGL190C	CDC55	tagged	visualized	
YJL194W	CDC6	tagged	visualized	
YPL160W	CDC60	tagged	visualized	
YDL017W	CDC7	tagged	visualized	
YJR057W	CDC8	tagged	visualized	
YLR245C	CDD1	tagged	visualized	
YMR213W	CEF1	tagged	visualized	
YGL130W	CEG1	tagged	visualized	
YLR098C	CHA4	tagged	visualized	
YBR274W	CHK1	tagged	visualized	
YPL008W	CHL1	tagged	visualized	
YHR142W	CHS7	tagged	visualized	
YMR138W	CIN4	tagged	visualized	
YOR028C	CIN5	tagged	visualized	
YCR005C	CIT2	tagged	visualized	
YIL035C	CKA1	tagged	visualized	
YOR061W	CKA2	tagged	visualized	
YGL019W	CKB1	tagged	visualized	
YOR039W	CKB2	tagged	visualized	
YLR133W	CKI1	tagged	visualized	
YBR135W	CKS1	tagged	visualized	
YNL298W	CLA4	tagged	visualized	
YDL155W	CLB3	tagged	visualized	
YMR199W	CLN1	tagged	visualized	
YPL256C	CLN2	tagged	visualized	
YMR012W	CLU1	tagged	visualized	
YFR014C	CMK1	tagged	visualized	
YOL016C	CMK2	tagged	visualized	
YML057W	CMP2	tagged	visualized	
YKL190W	CNB1	tagged	visualized	
YBR155W	CNS1	tagged	visualized	
YLR038C	COX12	tagged	visualized	
YLL009C	COX17	tagged	visualized	
YLL018C-A	COX19	tagged	visualized	
YOR303W	CPA1	tagged	visualized	
YJR109C	CPA2	tagged	visualized	
YDR155C	CPR1	tagged	visualized	
YLR216C	CPR6	tagged	visualized	
YJR032W	CPR7	tagged	visualized	
YGR189C	CRH1	tagged	visualized	
YNL027W	CRZ1	tagged	visualized	
YGL238W	CSE1	tagged	visualized	
YNL232W	CSL4	tagged	visualized	
YIL132C	CSM2	tagged	visualized	
YJR084W	CSN12	tagged	visualized	
YDR179C	CSN9	tagged	visualized	
YMR078C	CTF18	tagged	visualized	
YKL139W	CTK1	tagged	visualized	
YML112W	CTK3	tagged	visualized	
YCR054C	CTR86	tagged	visualized	
YDR371W	CTS2	tagged	visualized	
YGR088W	CTT1	tagged	visualized	
YMR264W	CUE1	tagged	visualized	
YGL110C	CUE3	tagged	visualized	
YGR003W	CUL3	tagged	visualized	
YHR053C	CUP1-1	tagged	visualized	
YHR055C	CUP1-2	tagged	visualized	
YGL166W	CUP2	tagged	visualized	
YPL177C	CUP9	tagged	visualized	
YDR482C	CWC21	tagged	visualized	
YGR278W	CWC22	tagged	visualized	
YGL128C	CWC23	tagged	visualized	
YPL064C	CWC27	tagged	visualized	
YJR048W	CYC1	tagged	visualized	
YEL039C	CYC7	tagged	visualized	
YDL117W	CYK3	tagged	visualized	
YAL012W	CYS3	tagged	visualized	
YGR155W	CYS4	tagged	visualized	
YML070W	DAK1	tagged	visualized	
YPL170W	DAP1	tagged	visualized	
YGR092W	DBF2	tagged	visualized	
YPR111W	DBF20	tagged	visualized	
YDR052C	DBF4	tagged	visualized	
YPL119C	DBP1	tagged	visualized	
YNL112W	DBP2	tagged	visualized	
YKL149C	DBR1	tagged	visualized	
YHR144C	DCD1	tagged	visualized	
YLR270W	DCS1	tagged	visualized	
YOR173W	DCS2	tagged	visualized	
YPL194W	DDC1	tagged	visualized	
YER143W	DDI1	tagged	visualized	
YOR163W	DDP1	tagged	visualized	
YOL052C-A	DDR2	tagged	visualized	
YMR173W	DDR48	tagged	visualized	
YKL054C	DEF1	tagged	visualized	
YOR236W	DFR1	tagged	visualized	
YOR245C	DGA1	tagged	visualized	
YDL160C	DHH1	tagged	visualized	
YDR480W	DIG2	tagged	visualized	
YLR129W	DIP2	tagged	visualized	
YOL021C	DIS3	tagged	visualized	
YEL071W	DLD3	tagged	visualized	
YMR162C	DNF3	tagged	visualized	
YKL213C	DOA1	tagged	visualized	
YGL240W	DOC1	tagged	visualized	
YHR043C	DOG2	tagged	visualized	
YNL001W	DOM34	tagged	visualized	
YDR068W	DOS2	tagged	visualized	
YDR440W	DOT1	tagged	visualized	
YER088C	DOT6	tagged	visualized	
YJL090C	DPB11	tagged	visualized	
YPR175W	DPB2	tagged	visualized	
YBR278W	DPB3	tagged	visualized	
YDR121W	DPB4	tagged	visualized	
YKL191W	DPH2	tagged	visualized	
YLR172C	DPH5	tagged	visualized	
YLL018C	DPS1	tagged	visualized	
YKR071C	DRE2	tagged	visualized	
YLL008W	DRS1	tagged	visualized	
YMR276W	DSK2	tagged	visualized	
YPR017C	DSS4	tagged	visualized	
YDL219W	DTD1	tagged	visualized	
YBR208C	DUR1,2	tagged	visualized	
YLR401C	DUS3	tagged	visualized	
YBR252W	DUT1	tagged	visualized	
YKR054C	DYN1	tagged	visualized	
YHR068W	DYS1	tagged	visualized	
YKL204W	EAP1	tagged	visualized	
YBL001C	ECM15	tagged	visualized	
YJR137C	ECM17	tagged	visualized	
YBL101C	ECM21	tagged	visualized	
YLR228C	ECM22	tagged	visualized	
YJL201W	ECM25	tagged	visualized	
YHL030W	ECM29	tagged	visualized	
YLR436C	ECM30	tagged	visualized	
YER176W	ECM32	tagged	visualized	
YKR076W	ECM4	tagged	visualized	
YFR027W	ECO1	tagged	visualized	
YGL222C	EDC1	tagged	visualized	
YER035W	EDC2	tagged	visualized	
YLR114C	EFR4	tagged	visualized	
YOR133W	EFT1	tagged	visualized	
YDR385W	EFT2	tagged	visualized	
YPL037C	EGD1	tagged	visualized	
YHR193C	EGD2	tagged	visualized	
YDR147W	EKI1	tagged	visualized	
YPL046C	ELC1	tagged	visualized	
YOR144C	ELG1	tagged	visualized	
YGR200C	ELP2	tagged	visualized	
YPL086C	ELP3	tagged	visualized	
YLR186W	EMG1	tagged	visualized	
YDR516C	EMI2	tagged	visualized	
YGR254W	ENO1	tagged	visualized	
YHR174W	ENO2	tagged	visualized	
YBR247C	ENP1	tagged	visualized	
YMR208W	ERG12	tagged	visualized	
YMR220W	ERG8	tagged	visualized	
YDR363W	ESC2	tagged	visualized	
YOL017W	ESC8	tagged	visualized	
YGR098C	ESP1	tagged	visualized	
YJR017C	ESS1	tagged	visualized	
YDL045C	FAD1	tagged	visualized	
YDL166C	FAP7	tagged	visualized	
YMR029C	FAR8	tagged	visualized	
YKL182W	FAS1	tagged	visualized	
YPL231W	FAS2	tagged	visualized	
YKL060C	FBA1	tagged	visualized	
YJL155C	FBP26	tagged	visualized	
YPR062W	FCY1	tagged	visualized	
YBR101C	FES1	tagged	visualized	
YDR130C	FIN1	tagged	visualized	
YDR236C	FMN1	tagged	visualized	
YNL256W	FOL1	tagged	visualized	
YGR267C	FOL2	tagged	visualized	
YMR113W	FOL3	tagged	visualized	
YNL135C	FPR1	tagged	visualized	
YCL026C-A	FRM2	tagged	visualized	
YLR060W	FRS1	tagged	visualized	
YHR049W	FSH1	tagged	visualized	
YMR222C	FSH2	tagged	visualized	
YPL262W	FUM1	tagged	visualized	
YAL036C	FUN11	tagged	visualized	
YAL035W	FUN12	tagged	visualized	
YAL031C	FUN21	tagged	visualized	
YMR232W	FUS2	tagged	visualized	
YBL016W	FUS3	tagged	visualized	
YDR024W	FYV1	tagged	visualized	
YIL097W	FYV10	tagged	visualized	
YDR140W	FYV9	tagged	visualized	
YGL254W	FZF1	tagged	visualized	
YMR250W	GAD1	tagged	visualized	
YDR009W	GAL3	tagged	visualized	
YML051W	GAL80	tagged	visualized	
YER027C	GAL83	tagged	visualized	
YMR215W	GAS3	tagged	visualized	
YFL021W	GAT1	tagged	visualized	
YOR260W	GCD1	tagged	visualized	
YER025W	GCD11	tagged	visualized	
YGR083C	GCD2	tagged	visualized	
YDR211W	GCD6	tagged	visualized	
YLR291C	GCD7	tagged	visualized	
YGL195W	GCN1	tagged	visualized	
YDR283C	GCN2	tagged	visualized	
YFR009W	GCN20	tagged	visualized	
YKR026C	GCN3	tagged	visualized	
YEL009C	GCN4	tagged	visualized	
YPL075W	GCR1	tagged	visualized	
YDL226C	GCS1	tagged	visualized	
YOR120W	GCY1	tagged	visualized	
YPR184W	GDB1	tagged	visualized	
YOR375C	GDH1	tagged	visualized	
YDL215C	GDH2	tagged	visualized	
YER136W	GDI1	tagged	visualized	
YOR355W	GDS1	tagged	visualized	
YEL022W	GEA2	tagged	visualized	
YMR255W	GFD1	tagged	visualized	
YDR358W	GGA1	tagged	visualized	
YHR061C	GIC1	tagged	visualized	
YDR309C	GIC2	tagged	visualized	
YCL039W	GID7	tagged	visualized	
YMR135C	GID8	tagged	visualized	
YNL153C	GIM3	tagged	visualized	
YEL003W	GIM4	tagged	visualized	
YML094W	GIM5	tagged	visualized	
YDR507C	GIN4	tagged	visualized	
YER054C	GIP2	tagged	visualized	
YGR173W	GIR1	tagged	visualized	
YDR152W	GIR2	tagged	visualized	
YNL255C	GIS2	tagged	visualized	
YLR094C	GIS3	tagged	visualized	
YML006C	GIS4	tagged	visualized	
YEL011W	GLC3	tagged	visualized	
YER133W	GLC7	tagged	visualized	
YMR311C	GLC8	tagged	visualized	
YER107C	GLE2	tagged	visualized	
YJL137C	GLG2	tagged	visualized	
YCL040W	GLK1	tagged	visualized	
YPR035W	GLN1	tagged	visualized	
YER040W	GLN3	tagged	visualized	
YOR168W	GLN4	tagged	visualized	
YML004C	GLO1	tagged	visualized	
YDR272W	GLO2	tagged	visualized	
YPL091W	GLR1	tagged	visualized	
YEL046C	GLY1	tagged	visualized	
YFL017C	GNA1	tagged	visualized	
YHR183W	GND1	tagged	visualized	
YOR371C	GPB1	tagged	visualized	
YAL056W	GPB2	tagged	visualized	
YOL059W	GPD2	tagged	visualized	
YPR160W	GPH1	tagged	visualized	
YMR281W	GPI12	tagged	visualized	
YKL152C	GPM1	tagged	visualized	
YDL021W	GPM2	tagged	visualized	
YOL056W	GPM3	tagged	visualized	
YBR244W	GPX2	tagged	visualized	
YPL223C	GRE1	tagged	visualized	
YOL151W	GRE2	tagged	visualized	
