yORF	gene name	GFP tagged?	GFP visualized?	
YCR095C		tagged	visualized	
YDR248C		tagged	visualized	
YNL119W		tagged	visualized	
YDR288W		tagged	visualized	
YIL108W		tagged	visualized	
YDR193W		tagged	visualized	
YNL224C		tagged	visualized	
YKR077W		tagged	visualized	
YKL102C		tagged	visualized	
YDR330W		tagged	visualized	
YPL184C		tagged	visualized	
YFR006W		tagged	visualized	
YIL064W		tagged	visualized	
YKR078W		tagged	visualized	
YNL116W		tagged	visualized	
YDR533C		tagged	visualized	
YMR258C		tagged	visualized	
YDR186C		tagged	visualized	
YMR073C		tagged	visualized	
YDL238C		tagged	visualized	
YDL129W		tagged	visualized	
YMR291W		tagged	visualized	
YGR122W		tagged	visualized	
YGR269W		tagged	visualized	
YLR143W		tagged	visualized	
YPL245W		tagged	visualized	
YNL152W		tagged	visualized	
YJL169W		tagged	visualized	
YIL161W		tagged	visualized	
YLR132C		tagged	visualized	
YJR070C		tagged	visualized	
YML053C		tagged	visualized	
YBR137W		tagged	visualized	
YDR132C		tagged	visualized	
YKL023W		tagged	visualized	
YDR071C		tagged	visualized	
YHR116W		tagged	visualized	
YDL233W		tagged	visualized	
YIL103W		tagged	visualized	
YKR021W		tagged	visualized	
YDR067C		tagged	visualized	
YHR131C		tagged	visualized	
YPR172W		tagged	visualized	
YKR074W		tagged	visualized	
YIL172C		tagged	visualized	
YGR237C		tagged	visualized	
YOR322C		tagged	visualized	
YJR154W		tagged	visualized	
YPR118W		tagged	visualized	
YBR090C		tagged	visualized	
YGR117C		tagged	visualized	
YDL036C		tagged	visualized	
YOR006C		tagged	visualized	
YEL020C		tagged	visualized	
YDR527W		tagged	visualized	
YLR187W		tagged	visualized	
YJR096W		tagged	visualized	
YHR034C		tagged	visualized	
YEL014C		tagged	visualized	
YNR054C		tagged	visualized	
YML082W		tagged	visualized	
YBR056W		tagged	visualized	
YOL087C		tagged	visualized	
YNL040W		tagged	visualized	
YPL229W		tagged	visualized	
YKR022C		tagged	visualized	
YOR304C-A		tagged	visualized	
YOR296W		tagged	visualized	
YBR085C-A		tagged	visualized	
YLR225C		tagged	visualized	
YKL071W		tagged	visualized	
YDL156W		tagged	visualized	
YPL137C		tagged	visualized	
YGL250W		tagged	visualized	
YPR115W		tagged	visualized	
YKR075C		tagged	visualized	
YDL173W		tagged	visualized	
YGR001C		tagged	visualized	
YOL159C-A		tagged	visualized	
YBR197C		tagged	visualized	
YML079W		tagged	visualized	
YJR015W		tagged	visualized	
YJL162C		tagged	visualized	
YLR257W		tagged	visualized	
YGL232W		tagged	visualized	
YDR031W		tagged	visualized	
YIL056W		tagged	visualized	
YPL105C		tagged	visualized	
YLR179C		tagged	visualized	
YPL067C		tagged	visualized	
YJL144W		tagged	visualized	
YGL157W		tagged	visualized	
YMR259C		tagged	visualized	
YLR392C		tagged	visualized	
YDL085C-A		tagged	visualized	
YHL029C		tagged	visualized	
YHR122W		tagged	visualized	
YBR100W		tagged	visualized	
YDL063C		tagged	visualized	
YMR122W-A		tagged	visualized	
YHR159W		tagged	visualized	
YGL101W		tagged	visualized	
YLR016C		tagged	visualized	
YNR029C		tagged	visualized	
YKR018C		tagged	visualized	
YNL010W		tagged	visualized	
YER134C		tagged	visualized	
YML096W		tagged	visualized	
YFR011C		tagged	visualized	
YPR147C		tagged	visualized	
YKL091C		tagged	visualized	
YOR315W		tagged	visualized	
YBL036C		tagged	visualized	
YBR267W		tagged	visualized	
YPL183C		tagged	visualized	
YGR205W		tagged	visualized	
YJR008W		tagged	visualized	
YJL070C		tagged	visualized	
YPL144W		tagged	visualized	
YNL134C		tagged	visualized	
YDR520C		tagged	visualized	
YLR414C		tagged	visualized	
YMR090W		tagged	visualized	
YMR315W		tagged	visualized	
YLR063W		tagged	visualized	
YCL026C-B		tagged	visualized	
YLR271W		tagged	visualized	
YJR136C		tagged	visualized	
YIL092W		tagged	visualized	
YFR044C		tagged	visualized	
YFL006W		tagged	visualized	
YKR043C		tagged	visualized	
YPL225W		tagged	visualized	
YKL056C		tagged	visualized	
