ORF Name	Plate No.	Well No.
YKR096W	GFP(+)02	E9
YAL001C	GFP(+)02	F9
YJL076W	GFP(+)02	G9
YEL025C	GFP(+)02	H9
YOR086C	GFP(+)02	A10
YNL106C	GFP(+)02	B10
YBR218C	GFP(+)02	C10
YGL062W	GFP(+)02	D10
YGR233C	GFP(+)02	E10
YPR049C	GFP(+)02	F10
YLR272C	GFP(+)02	G10
YJL092W	GFP(+)02	H10
YJR041C	GFP(+)02	A11
YFR031C	GFP(+)02	B11
YKL038W	GFP(+)02	C11
YLR032W	GFP(+)02	D11
YHR158C	GFP(+)02	E11
YLR035C-A	GFP(+)02	F11
YBL105C	GFP(+)02	G11
YIL026C	GFP(+)02	H11
YOR207C	GFP(+)02	A12
YDR128W	GFP(+)02	B12
YGR097W	GFP(+)02	C12
YLR410W	GFP(+)02	D12
YER013W	GFP(+)02	E12
YDR507C	GFP(+)02	F12
YER129W	GFP(+)02	G12
YOR188W	GFP(+)02	H12
YML117W	GFP(+)03	A1
YPR022C	GFP(+)03	B1
YGL151W	GFP(+)03	C1
YKL105C	GFP(+)03	D1
YAL019W	GFP(+)03	E1
YBR245C	GFP(+)03	F1
YPL115C	GFP(+)03	G1
YML104C	GFP(+)03	H1
YHR077C	GFP(+)03	A2
YGR134W	GFP(+)03	B2
YER176W	GFP(+)03	C2
YOR304W	GFP(+)03	D2
YIL151C	GFP(+)03	E2
YJR109C	GFP(+)03	F2
YBL101C	GFP(+)03	G2
YNR067C	GFP(+)03	H2
YOL087C	GFP(+)03	A3
YGL094C	GFP(+)03	B3
YLR383W	GFP(+)03	C3
YER110C	GFP(+)03	D3
YBL063W	GFP(+)03	E3
YNL163C	GFP(+)03	F3
YBR059C	GFP(+)03	G3
YOR109W	GFP(+)03	H3
YGR094W	GFP(+)03	A4
YKL092C	GFP(+)03	B4
YMR218C	GFP(+)03	C4
YOL045W	GFP(+)03	D4
YKL205W	GFP(+)03	E4
YPL022W	GFP(+)03	F4
YML100W	GFP(+)03	G4
YDL102W	GFP(+)03	H4
YCL061C	GFP(+)03	A5
YBR150C	GFP(+)03	B5
YER111C	GFP(+)03	C5
YOL034W	GFP(+)03	D5
YDL215C	GFP(+)03	E5
YJR091C	GFP(+)03	F5
YPL160W	GFP(+)03	G5
YMR308C	GFP(+)03	H5
YMR196W	GFP(+)03	A6
YJR035W	GFP(+)03	B6
YLR223C	GFP(+)03	C6
YGR218W	GFP(+)03	D6
YIL112W	GFP(+)03	E6
YPR115W	GFP(+)03	F6
YLR071C	GFP(+)03	G6
YOL051W	GFP(+)03	H6
YOL100W	GFP(+)03	A7
YHR102W	GFP(+)03	B7
YHR119W	GFP(+)03	C7
YDR291W	GFP(+)03	D7
YOL145C	GFP(+)03	E7
YER033C	GFP(+)03	F7
YPR042C	GFP(+)03	G7
YFL034W	GFP(+)03	H7
